ags,municipality_name,source
15001000,"Dessau-Roßlau, Stadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15002000,"Halle (Saale), Stadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15003000,"Magdeburg, Landeshauptstadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15081026,"Apenburg-Winterfeld, Flecken",official-statla-2026-wahlkreise-gemeinden-xlsx
15081030,"Arendsee (Altmark), Stadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15081045,Beetzendorf,official-statla-2026-wahlkreise-gemeinden-xlsx
15081095,Dähre,official-statla-2026-wahlkreise-gemeinden-xlsx
15081105,"Diesdorf, Flecken",official-statla-2026-wahlkreise-gemeinden-xlsx
15081135,"Gardelegen, Hansestadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15081225,Jübar,official-statla-2026-wahlkreise-gemeinden-xlsx
15081240,"Kalbe (Milde), Stadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15081280,"Klötze, Stadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15081290,Kuhfelde,official-statla-2026-wahlkreise-gemeinden-xlsx
15081440,Rohrberg,official-statla-2026-wahlkreise-gemeinden-xlsx
15081455,"Salzwedel, Hansestadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15081545,Wallstawe,official-statla-2026-wahlkreise-gemeinden-xlsx
15082005,"Aken (Elbe), Stadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15082015,"Bitterfeld-Wolfen, Stadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15082180,"Köthen (Anhalt), Stadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15082241,Muldestausee,official-statla-2026-wahlkreise-gemeinden-xlsx
15082256,Osternienburger Land,official-statla-2026-wahlkreise-gemeinden-xlsx
15082301,"Raguhn-Jeßnitz, Stadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15082340,"Sandersdorf-Brehna, Stadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15082377,"Südliches Anhalt, Stadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15082430,"Zerbst/Anhalt, Stadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15082440,"Zörbig, Stadt",official-statla-2026-wahlkreise-gemeinden-xlsx
15083020,Altenhausen,official-statla-2026-wahlkreise-gemeinden-xlsx
15083025,Am Großen Bruch,official-statla-2026-wahlkreise-gemeinden-xlsx
15083030,Angern,official-statla-2026-wahlkreise-gemeinden-xlsx
15083035,Ausleben,official-statla-2026-wahlkreise-gemeinden-xlsx
15083040,Barleben,official-statla-2026-wahlkreise-gemeinden-xlsx
