capture_index,commit,acquired_at_utc,acquired_at_local,valid_votes_zweit,reported_precincts,total_precincts,source_url,source_git_url,AfD_votes,AfD_percent,CDU_votes,CDU_percent,Die Linke_votes,Die Linke_percent,GRÜNE_votes,GRÜNE_percent,SPD_votes,SPD_percent,frame_start,frame_count,movie_start_seconds,movie_duration_seconds,image
11,42a3d0a29f37fd0ef5facfd0e9f890f585694e54,2026-09-20T18:07:33.389465+00:00,2026-09-20T20:07:33.389465+02:00,636042,1542,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/42a3d0a29f37fd0ef5facfd0e9f890f585694e54/data/2026-be/latest,116994,18.394068316243267,113090,17.78027237195028,166537,26.1833338050003,84906,13.349118454441689,72476,11.39484499451294,305,19,12.2,0.76,frames/capture-011.png
12,3ca14e9a119413555fa86228124beab068266d74,2026-09-20T18:10:04.126538+00:00,2026-09-20T20:10:04.126538+02:00,681692,1649,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/3ca14e9a119413555fa86228124beab068266d74/data/2026-be/latest,124180,18.216437922111453,121614,17.84002159332954,178568,26.19482112156223,91213,13.380382929534159,78080,11.45385305973959,324,18,12.96,0.72,frames/capture-012.png
13,e927eebe82c07587da7dbbf5a9312c5ca34cd1d3,2026-09-20T18:12:33.696975+00:00,2026-09-20T20:12:33.696975+02:00,726367,1754,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/e927eebe82c07587da7dbbf5a9312c5ca34cd1d3/data/2026-be/latest,130961,18.029591102018678,130680,17.990905423842218,189349,26.067951875567033,97746,13.456833804399153,83777,11.53370128323561,342,19,13.68,0.76,frames/capture-013.png
14,e0e484cbe7bf75b30c0bb5ce6b93010c087ae888,2026-09-20T18:15:07.046175+00:00,2026-09-20T20:15:07.046175+02:00,765298,1843,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/e0e484cbe7bf75b30c0bb5ce6b93010c087ae888/data/2026-be/latest,136977,17.898517962937312,138145,18.051138249413953,199511,26.069714019898132,103104,13.472398987061249,88675,11.58698964325008,361,22,14.44,0.88,frames/capture-014.png
15,4eeb7616b51702ac854b4c044a931d4c085e8ae6,2026-09-20T18:18:03.806157+00:00,2026-09-20T20:18:03.806157+02:00,808059,1938,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/4eeb7616b51702ac854b4c044a931d4c085e8ae6/data/2026-be/latest,143173,17.71813691822008,146527,18.133205619886667,210749,26.08089260808926,109540,13.555940840953445,93747,11.601504345598526,383,18,15.32,0.72,frames/capture-015.png
16,08d2cc44796b762de67afa4d7560cdfa3b2dae4f,2026-09-20T18:20:33.919190+00:00,2026-09-20T20:20:33.919190+02:00,843631,2022,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/08d2cc44796b762de67afa4d7560cdfa3b2dae4f/data/2026-be/latest,148087,17.55352754936696,153381,18.18105309074702,220393,26.124336350845333,114616,13.586034652591003,98310,11.653199088226962,401,19,16.04,0.76,frames/capture-016.png
17,19fdf87394fb97384cc823ec1c6a52d6e9ab9581,2026-09-20T18:23:05.068137+00:00,2026-09-20T20:23:05.068137+02:00,883370,2114,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/19fdf87394fb97384cc823ec1c6a52d6e9ab9581/data/2026-be/latest,154256,17.462218549418704,160735,18.195659802800638,231156,26.16751757474218,120293,13.617510216557049,103050,11.665553505326194,420,18,16.8,0.72,frames/capture-017.png
18,d6c3de89f7ccc534cf4b5bb7fe9cceb79d4d06ae,2026-09-20T18:25:34.739840+00:00,2026-09-20T20:25:34.739840+02:00,920881,2205,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/d6c3de89f7ccc534cf4b5bb7fe9cceb79d4d06ae/data/2026-be/latest,159947,17.36891085818906,168140,18.25860236013122,240621,26.129434747812148,125727,13.652904121162235,107665,11.691521488661401,438,18,17.52,0.72,frames/capture-018.png
19,5c7c1dd967765940aae4c91476a78bd8b6491b93,2026-09-20T18:28:04.232337+00:00,2026-09-20T20:28:04.232337+02:00,964005,2306,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/5c7c1dd967765940aae4c91476a78bd8b6491b93/data/2026-be/latest,166221,17.24275289028584,176318,18.290154096711117,252050,26.14612994745878,132094,13.702626023723944,113204,11.743092618814218,456,19,18.24,0.76,frames/capture-019.png
20,0a5d35530810d12d531edd737513b2f9f7dbc849,2026-09-20T18:30:34.451662+00:00,2026-09-20T20:30:34.451662+02:00,1003892,2395,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/0a5d35530810d12d531edd737513b2f9f7dbc849/data/2026-be/latest,172479,17.18103142569121,184111,18.33972180274372,261600,26.058580006614257,138110,13.7574559813207,118308,11.784933040605962,475,18,19.0,0.72,frames/capture-020.png
