capture_index,commit,acquired_at_utc,acquired_at_local,valid_votes_zweit,reported_precincts,total_precincts,source_url,source_git_url,AfD_votes,AfD_percent,CDU_votes,CDU_percent,Die Linke_votes,Die Linke_percent,GRÜNE_votes,GRÜNE_percent,SPD_votes,SPD_percent,frame_start,frame_count,movie_start_seconds,movie_duration_seconds,image
39,e968c9ff16f7620b8fefc9094e030483320f305e,2026-09-20T19:23:34.675350+00:00,2026-09-20T21:23:34.675350+02:00,1558446,3580,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/e968c9ff16f7620b8fefc9094e030483320f305e/data/2026-be/latest,253183,16.2458628659575,292959,18.798148925275562,401327,25.75174244086738,221412,14.207229509395898,188360,12.086398887096506,865,22,34.6,0.88,frames/capture-039.png
40,73e6764f7b17f79c749801843f65e285d3779ebe,2026-09-20T19:26:34.896832+00:00,2026-09-20T21:26:34.896832+02:00,1571512,3606,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/73e6764f7b17f79c749801843f65e285d3779ebe/data/2026-be/latest,255191,16.238565152540993,295413,18.79801108741136,404483,25.738460794445096,223399,14.215545283777661,190112,12.097394101985858,887,50,35.48,2.0,frames/capture-040.png
41,527a81cb9e3e70ea2461ecdc302501298f65bfc6,2026-09-20T19:33:24.182257+00:00,2026-09-20T21:33:24.182257+02:00,1604936,3673,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/527a81cb9e3e70ea2461ecdc302501298f65bfc6/data/2026-be/latest,259846,16.19042753106666,302292,18.835143582049376,412918,25.72800410732889,228486,14.236455534675526,194156,12.097429430207809,937,7,37.48,0.28,frames/capture-041.png
42,bcc6bf4254934a977eff9387ed35ebf2c28142ec,2026-09-20T19:34:22.503909+00:00,2026-09-20T21:34:22.503909+02:00,1604936,3673,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/bcc6bf4254934a977eff9387ed35ebf2c28142ec/data/2026-be/latest,259846,16.19042753106666,302292,18.835143582049376,412918,25.72800410732889,228486,14.236455534675526,194156,12.097429430207809,944,33,37.76,1.32,frames/capture-042.png
43,523d056a9224e356cf973f303d8b9517cf136541,2026-09-20T19:38:44.826528+00:00,2026-09-20T21:38:44.826528+02:00,1628122,3713,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/523d056a9224e356cf973f303d8b9517cf136541/data/2026-be/latest,262278,16.109235057323716,306321,18.814376318236594,419183,25.746412123907177,233088,14.31637186893857,197179,12.110824618793924,977,35,39.08,1.4,frames/capture-043.png
44,87de488950bb12e4ad100183b53d4513d95c76e6,2026-09-20T19:43:30.785115+00:00,2026-09-20T21:43:30.785115+02:00,1645342,3749,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/87de488950bb12e4ad100183b53d4513d95c76e6/data/2026-be/latest,264432,16.071552297333927,310114,18.847996343617314,423368,25.731306925854927,235818,14.33246097163994,199443,12.121674399608105,1012,33,40.48,1.32,frames/capture-044.png
45,58667d9e00a100463a02654375e13ee9e5bb07f4,2026-09-20T19:47:59.242801+00:00,2026-09-20T21:47:59.242801+02:00,1663093,3783,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/58667d9e00a100463a02654375e13ee9e5bb07f4/data/2026-be/latest,266656,16.033739544330956,313392,18.843925144294396,427996,25.734940860192424,238734,14.354819604195315,201771,12.132274021957882,1045,18,41.8,0.72,frames/capture-045.png
46,21900f44206350f5c45f442761f0abe5eddfc260,2026-09-20T19:50:30.221497+00:00,2026-09-20T21:50:30.221497+02:00,1670073,3797,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/21900f44206350f5c45f442761f0abe5eddfc260/data/2026-be/latest,267746,16.031993811048977,314603,18.837679550534617,429884,25.74043170567993,239762,14.356378433757087,202690,12.13659522667572,1063,37,42.52,1.48,frames/capture-046.png
47,de799270743f1fb0bd17ddfe3aa08b4d7386bd78,2026-09-20T19:55:29.825361+00:00,2026-09-20T21:55:29.825361+02:00,1675222,3807,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/de799270743f1fb0bd17ddfe3aa08b4d7386bd78/data/2026-be/latest,268163,16.007609737694466,315698,18.845144106273676,431161,25.737544038939316,240815,14.375109686954923,203354,12.138928452467793,1100,33,44.0,1.32,frames/capture-047.png
48,0db8ecc91188d67263dd94113bbec38286664e78,2026-09-20T19:59:59.958298+00:00,2026-09-20T21:59:59.958298+02:00,1689576,3832,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/0db8ecc91188d67263dd94113bbec38286664e78/data/2026-be/latest,270283,15.997090394276434,318329,18.840762416132804,434561,25.720121497937946,243282,14.398997144845808,205228,12.146716099187016,1133,33,45.32,1.32,frames/capture-048.png
49,5f27754ba6477fd493f4d0f538a9ab1b997f03d3,2026-09-20T20:04:29.478784+00:00,2026-09-20T22:04:29.478784+02:00,1704339,3859,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/5f27754ba6477fd493f4d0f538a9ab1b997f03d3/data/2026-be/latest,272169,15.969182187346531,320860,18.826066879887158,438696,25.7399496226983,245854,14.425181844691696,206992,12.145001669268849,1166,37,46.64,1.48,frames/capture-049.png
50,b4ab71442d9244afe8dc2bc44a0e78bda9867790,2026-09-20T20:09:29.283834+00:00,2026-09-20T22:09:29.283834+02:00,1713108,3877,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/b4ab71442d9244afe8dc2bc44a0e78bda9867790/data/2026-be/latest,273609,15.971497418726665,322703,18.83728288000523,440707,25.725581808035454,247103,14.424251127191047,208097,12.14733688710811,1203,33,48.12,1.32,frames/capture-050.png
51,cd34a92b5dea3da9748645b6c107f3620362181b,2026-09-20T20:13:59.356923+00:00,2026-09-20T22:13:59.356923+02:00,1716577,3884,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/cd34a92b5dea3da9748645b6c107f3620362181b/data/2026-be/latest,274012,15.962697857422068,323186,18.82735234131647,441821,25.73849002986758,247699,14.429821674180651,208456,12.143702263283267,1236,13,49.44,0.52,frames/capture-051.png
52,2725a4c5d817186c1344d69f1dd1137e0c563715,2026-09-20T20:15:46.969554+00:00,2026-09-20T22:15:46.969554+02:00,1719769,3890,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/2725a4c5d817186c1344d69f1dd1137e0c563715/data/2026-be/latest,274437,15.95778270221175,323744,18.824853803039826,442701,25.74188742790456,248122,14.427635339397327,208929,12.148666477881623,1249,20,49.96,0.8,frames/capture-052.png
53,292c6fa1c09ad3235ccfd4dde2b8482043f0cb82,2026-09-20T20:18:29.897732+00:00,2026-09-20T22:18:29.897732+02:00,1723371,3897,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/292c6fa1c09ad3235ccfd4dde2b8482043f0cb82/data/2026-be/latest,275077,15.961566023798706,324386,18.82276074043256,443455,25.731836035305225,248706,14.431367360829444,209445,12.153215993538245,1269,33,50.76,1.32,frames/capture-053.png
54,fca3b96f1079ada800f831614408f7e6271b269a,2026-09-20T20:22:59.452166+00:00,2026-09-20T22:22:59.452166+02:00,1732142,3913,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/fca3b96f1079ada800f831614408f7e6271b269a/data/2026-be/latest,275947,15.930968708108226,325866,18.812891783699026,446145,25.756837487919583,250271,14.448642201389955,210534,12.154546220806377,1302,30,52.08,1.2,frames/capture-054.png
55,e34b7eb40ee9b27543be4d8dc3ccdd64575c5b76,2026-09-20T20:26:59.567967+00:00,2026-09-20T22:26:59.567967+02:00,1738322,3926,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/e34b7eb40ee9b27543be4d8dc3ccdd64575c5b76/data/2026-be/latest,276827,15.924955215431893,327043,18.81371805683872,447650,25.751845745494794,251303,14.45664267034531,211235,12.151661199708684,1332,37,53.28,1.48,frames/capture-055.png
56,cdf7d560a68fd818655f9246a64cbe21a5cf239a,2026-09-20T20:32:02.115994+00:00,2026-09-20T22:32:02.115994+02:00,1741526,3933,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/cdf7d560a68fd818655f9246a64cbe21a5cf239a/data/2026-be/latest,277462,15.932119302267091,327740,18.819127592697438,448360,25.745237222987196,251640,14.449396678545138,211653,12.15330692737289,1369,36,54.76,1.44,frames/capture-056.png
57,929b144ba8a8241ead36e315af4cedba9a870303,2026-09-20T20:36:59.368064+00:00,2026-09-20T22:36:59.368064+02:00,1747697,3945,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/929b144ba8a8241ead36e315af4cedba9a870303/data/2026-be/latest,278558,15.938575164917031,329067,18.82860701826461,449716,25.731920350037793,252434,14.443808051395637,212457,12.156397819530502,1405,37,56.2,1.48,frames/capture-057.png
58,251b4fca5274fa5d51ca9ed7e10ed2d321937369,2026-09-20T20:42:01.446527+00:00,2026-09-20T22:42:01.446527+02:00,1754650,3960,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/251b4fca5274fa5d51ca9ed7e10ed2d321937369/data/2026-be/latest,280046,15.960219986891973,330179,18.817370985666656,451643,25.73977716353689,253202,14.430342233493858,213214,12.151369218932551,1442,33,57.68,1.32,frames/capture-058.png
59,b8d2b489e60697f68ca37d336a4052f99b462da7,2026-09-20T20:46:30.488328+00:00,2026-09-20T22:46:30.488328+02:00,1767305,3990,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/b8d2b489e60697f68ca37d336a4052f99b462da7/data/2026-be/latest,283975,16.06825081126348,332086,18.790531345749603,454584,25.72187596368482,254034,14.374089362051258,214359,12.129145789775958,1475,36,59.0,1.44,frames/capture-059.png
60,49ef1b59f2a1d9b49ae5d83495a78547f3b15e8b,2026-09-20T20:51:19.321267+00:00,2026-09-20T22:51:19.321267+02:00,1770614,3996,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/49ef1b59f2a1d9b49ae5d83495a78547f3b15e8b/data/2026-be/latest,284207,16.051324568765413,332559,18.782128685303515,455592,25.730735213886256,254795,14.390205883382826,214788,12.13070720100485,1511,34,60.44,1.36,frames/capture-060.png
61,7357d2894d51f027eede41854cd5c2a02873fd2d,2026-09-20T20:56:01.481671+00:00,2026-09-20T22:56:01.481671+02:00,1776468,4008,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/7357d2894d51f027eede41854cd5c2a02873fd2d/data/2026-be/latest,284913,16.038172373496174,333427,18.769096882127908,457465,25.751378578167465,255733,14.395587198868766,215522,12.132050788418367,1545,59,61.8,2.36,frames/capture-061.png
62,450d6c752bffc6f002e3da247a60330631a47c90,2026-09-20T21:04:02.035976+00:00,2026-09-20T23:04:02.035976+02:00,1778231,4013,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/450d6c752bffc6f002e3da247a60330631a47c90/data/2026-be/latest,285148,16.03548695304491,333650,18.76302910026875,458131,25.763300718523073,255949,14.393461816828072,215724,12.131382255736177,1604,112,64.16,4.48,frames/capture-062.png
63,6731dc7526558a28d0a030c19936a92b0603776e,2026-09-20T21:19:07.249831+00:00,2026-09-20T23:19:07.249831+02:00,1788652,4036,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/6731dc7526558a28d0a030c19936a92b0603776e/data/2026-be/latest,286500,16.017649045202756,335852,18.776821874797335,460682,25.755820584440126,257440,14.39296185060034,217255,12.14629788242766,1716,55,68.64,2.2,frames/capture-063.png
64,02fc843f059448808d52e03c9bb4039f0038a673,2026-09-20T21:26:35.350445+00:00,2026-09-20T23:26:35.350445+02:00,1790604,4040,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/02fc843f059448808d52e03c9bb4039f0038a673/data/2026-be/latest,286788,16.016271604441854,336209,18.77629001163853,461227,25.758179921411994,257703,14.391959361198792,217495,12.146460077158322,1771,29,70.84,1.16,frames/capture-064.png
65,e399481dbbd3e38808f9e3441461740d1d694bf8,2026-09-20T21:30:37.069727+00:00,2026-09-20T23:30:37.069727+02:00,1794601,4048,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/e399481dbbd3e38808f9e3441461740d1d694bf8/data/2026-be/latest,287608,16.026292195312497,336815,18.768238733846687,462321,25.76177100090772,258243,14.389995324866085,217933,12.143813583075012,1800,51,72.0,2.04,frames/capture-065.png
66,99eb6500bf846c5dbd68b9302ae2a48026620c12,2026-09-20T21:37:35.275352+00:00,2026-09-20T23:37:35.275352+02:00,1800446,4061,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/99eb6500bf846c5dbd68b9302ae2a48026620c12/data/2026-be/latest,288802,16.04058105602723,338269,18.78806695674294,463287,25.73179090069905,259010,14.38587994308077,218710,12.147545663685554,1851,41,74.04,1.64,frames/capture-066.png
67,43b3fe0886c53f7aa2bab3f7a2aceec162c0cbe8,2026-09-20T21:43:04.643922+00:00,2026-09-20T23:43:04.643922+02:00,1801844,4064,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/43b3fe0886c53f7aa2bab3f7a2aceec162c0cbe8/data/2026-be/latest,289150,16.047449168740467,338536,18.78830797782716,463605,25.729474915697473,259156,14.382821154328566,218841,12.145391054941493,1892,33,75.68,1.32,frames/capture-067.png
68,8d9a9aa0c8ad0c44a67c921a2b2b54234799c8fe,2026-09-20T21:47:34.491598+00:00,2026-09-20T23:47:34.491598+02:00,1802430,4065,4114,https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Erststimme_A_BE.csv;https://www.wahlen-berlin.de/wahlen/Be2026/AFSPRAES/agh/Datenexport_AGH2026_Zweitstimme_A_BE.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/8d9a9aa0c8ad0c44a67c921a2b2b54234799c8fe/data/2026-be/latest,289272,16.049000515970107,338635,18.787692171124537,463742,25.728710685019667,259197,14.380419766648359,218904,12.144937667482232,1925,75,77.0,3.0,frames/capture-068.png
