# (c) Statistisches Landesamt Baden-Württemberg, Fellbach 2025;;;;;;
# ;;;;;;
# Wahlkreise und zugeordnete Stadt- und Landkreise sowie Gemeinden bei der Wahl zum 18. Landtag von Baden-Württemberg am 08. März 2026;;;;;;
# ;;;;;;
# Stand: 30.04.2025;;;;;;
# ;;;;;;
;;;;;;
Wahlkreisnummer;Wahlkreisname;Kreis-Kennziffer;Kreisname;Gemeindekennziffer;Gemeindename;Stadtbezirke, -teile
12;Ludwigsburg;8118;Ludwigsburg;8118046;Kornwestheim, Stadt;
12;Ludwigsburg;8118;Ludwigsburg;8118048;Ludwigsburg, Stadt;
12;Ludwigsburg;8118;Ludwigsburg;8118051;Möglingen;
12;Ludwigsburg;8118;Ludwigsburg;8118071;Tamm;
12;Ludwigsburg;8118;Ludwigsburg;8118081;Remseck am Neckar, Stadt;
13;Vaihingen;8118;Ludwigsburg;8118010;Bönnigheim, Stadt;
13;Vaihingen;8118;Ludwigsburg;8118011;Ditzingen, Stadt;
13;Vaihingen;8118;Ludwigsburg;8118012;Eberdingen;
13;Vaihingen;8118;Ludwigsburg;8118019;Gerlingen, Stadt;
13;Vaihingen;8118;Ludwigsburg;8118027;Hemmingen;
13;Vaihingen;8118;Ludwigsburg;8118050;Markgröningen, Stadt;
13;Vaihingen;8118;Ludwigsburg;8118059;Oberriexingen, Stadt;
13;Vaihingen;8118;Ludwigsburg;8118067;Schwieberdingen;
13;Vaihingen;8118;Ludwigsburg;8118068;Sersheim;
13;Vaihingen;8118;Ludwigsburg;8118073;Vaihingen an der Enz, Stadt;
13;Vaihingen;8118;Ludwigsburg;8118076;Sachsenheim, Stadt;
13;Vaihingen;8118;Ludwigsburg;8118080;Korntal-Münchingen, Stadt;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118001;Affalterbach;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118006;Benningen am Neckar;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118007;Besigheim, Stadt;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118014;Erdmannhausen;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118015;Erligheim;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118016;Freudental;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118018;Gemmrigheim;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118021;Großbottwar, Stadt;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118028;Hessigheim;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118040;Kirchheim am Neckar;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118047;Löchgau;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118049;Marbach am Neckar, Stadt;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118053;Mundelsheim;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118054;Murr;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118060;Oberstenfeld;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118063;Pleidelsheim;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118070;Steinheim an der Murr, Stadt;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118074;Walheim;
14;Bietigheim-Bissingen;8118;Ludwigsburg;8118077;Ingersheim;
