ags,municipality_name,source
08111000,Stuttgart-_Landeshauptstadt,legacy-ltw26-bw
08115001,Aidlingen,legacy-ltw26-bw
08115002,Altdorf,legacy-ltw26-bw
08115003,Böblingen-_Stadt,legacy-ltw26-bw
08115004,Bondorf,legacy-ltw26-bw
08115010,Deckenpfronn,legacy-ltw26-bw
08115013,Ehningen,legacy-ltw26-bw
08115015,Gärtringen,legacy-ltw26-bw
08115016,Gäufelden,legacy-ltw26-bw
08115021,Herrenberg-_Stadt,legacy-ltw26-bw
08115022,Hildrizhausen,legacy-ltw26-bw
08115024,Holzgerlingen-_Stadt,legacy-ltw26-bw
08115028,Leonberg-_Stadt,legacy-ltw26-bw
08115029,Magstadt,legacy-ltw26-bw
08115034,Mötzingen,legacy-ltw26-bw
08115037,Nufringen,legacy-ltw26-bw
08115041,Renningen-_Stadt,legacy-ltw26-bw
08115042,Rutesheim-_Stadt,legacy-ltw26-bw
08115044,Schönaich,legacy-ltw26-bw
08115045,Sindelfingen-_Stadt,legacy-ltw26-bw
08115046,Steinenbronn,legacy-ltw26-bw
08115048,Waldenbuch-_Stadt,legacy-ltw26-bw
08115050,Weil_der_Stadt-_Stadt,legacy-ltw26-bw
08115051,Weil_im_Schönbuch,legacy-ltw26-bw
08115052,Weissach,legacy-ltw26-bw
08115053,Jettingen,legacy-ltw26-bw
08115054,Grafenau,legacy-ltw26-bw
08116004,Altbach,legacy-ltw26-bw
08116005,Altdorf,legacy-ltw26-bw
08116006,Altenriet,legacy-ltw26-bw
08116007,Baltmannsweiler,legacy-ltw26-bw
08116008,Bempflingen,legacy-ltw26-bw
08116011,Beuren,legacy-ltw26-bw
08116012,Bissingen_an_der_Teck,legacy-ltw26-bw
08116014,Deizisau,legacy-ltw26-bw
08116015,Denkendorf,legacy-ltw26-bw
08116016,Dettingen_unter_Teck,legacy-ltw26-bw
08116018,Erkenbrechtsweiler,legacy-ltw26-bw
08116019,Esslingen_am_Neckar-_Stadt,legacy-ltw26-bw
08116020,Frickenhausen,legacy-ltw26-bw
08116022,Großbettlingen,legacy-ltw26-bw
08116027,Hochdorf,legacy-ltw26-bw
08116029,Holzmaden,legacy-ltw26-bw
08116033,Kirchheim_unter_Teck-_Stadt,legacy-ltw26-bw
08116035,Köngen,legacy-ltw26-bw
08116036,Kohlberg,legacy-ltw26-bw
08116037,Lichtenwald,legacy-ltw26-bw
08116041,Neckartailfingen,legacy-ltw26-bw
08116042,Neckartenzlingen,legacy-ltw26-bw
08116043,Neidlingen,legacy-ltw26-bw
08116046,Neuffen-_Stadt,legacy-ltw26-bw
08116047,Neuhausen_auf_den_Fildern,legacy-ltw26-bw
08116048,Notzingen,legacy-ltw26-bw
08116049,Nürtingen-_Stadt,legacy-ltw26-bw
08116050,Oberboihingen,legacy-ltw26-bw
08116053,Ohmden,legacy-ltw26-bw
08116054,Owen-_Stadt,legacy-ltw26-bw
08116056,Plochingen-_Stadt,legacy-ltw26-bw
08116058,Reichenbach_an_der_Fils,legacy-ltw26-bw
08116063,Schlaitdorf,legacy-ltw26-bw
08116068,Unterensingen,legacy-ltw26-bw
08116070,Weilheim_an_der_Teck-_Stadt,legacy-ltw26-bw
08116071,Wendlingen_am_Neckar-_Stadt,legacy-ltw26-bw
08116072,Wernau_(Neckar)-_Stadt,legacy-ltw26-bw
08116073,Wolfschlugen,legacy-ltw26-bw
08116076,Aichwald,legacy-ltw26-bw
08116077,Filderstadt-_Stadt,legacy-ltw26-bw
08116078,Leinfelden-Echterdingen-_Stadt,legacy-ltw26-bw
08116079,Lenningen,legacy-ltw26-bw
08116080,Ostfildern-_Stadt,legacy-ltw26-bw
08116081,Aichtal-_Stadt,legacy-ltw26-bw
08117001,Adelberg,legacy-ltw26-bw
08117002,Aichelberg,legacy-ltw26-bw
08117003,Albershausen,legacy-ltw26-bw
08117006,Bad_Ditzenbach,legacy-ltw26-bw
08117007,Bad_Überkingen,legacy-ltw26-bw
08117009,Birenbach,legacy-ltw26-bw
08117010,Böhmenkirch,legacy-ltw26-bw
08117011,Börtlingen,legacy-ltw26-bw
08117012,Bad_Boll,legacy-ltw26-bw
08117014,Deggingen,legacy-ltw26-bw
08117015,Donzdorf-_Stadt,legacy-ltw26-bw
08117016,Drackenstein,legacy-ltw26-bw
08117017,Dürnau,legacy-ltw26-bw
08117018,Ebersbach_an_der_Fils-_Stadt,legacy-ltw26-bw
08117019,Eislingen/Fils-_Stadt,legacy-ltw26-bw
08117020,Eschenbach,legacy-ltw26-bw
08117023,Gammelshausen,legacy-ltw26-bw
08117024,Geislingen_an_der_Steige-_Stadt,legacy-ltw26-bw
08117025,Gingen_an_der_Fils,legacy-ltw26-bw
08117026,Göppingen-_Stadt,legacy-ltw26-bw
08117028,Gruibingen,legacy-ltw26-bw
08117029,Hattenhofen,legacy-ltw26-bw
08117030,Heiningen,legacy-ltw26-bw
08117031,Hohenstadt,legacy-ltw26-bw
08117033,Kuchen,legacy-ltw26-bw
08117035,Mühlhausen_im_Täle,legacy-ltw26-bw
08117037,Ottenbach,legacy-ltw26-bw
08117038,Rechberghausen,legacy-ltw26-bw
