row_key,ags,municipality_name,gebietsart,gebietsnummer,wahlkreisnummer,wahlbezirk_name,wahllokal,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,voters_total_2021,valid_votes_erst_2021,valid_votes_zweit_2021,delta_voters_total_vs_2021,delta_valid_votes_erst_vs_2021,delta_valid_votes_zweit_vs_2021,payload_hash,is_municipality_summary
lsa:GEMEINDE:15001000,15001000,"Dessau-Roßlau, Stadt",GEMEINDE,15001000,,,,79,79,47083,46414,46610,,,,,,,7d901b60853b22975dc9dc58013044f90bd1687fffa63caf2011edbac7d40c37,True
lsa:GEMEINDE:15002000,15002000,"Halle (Saale), Stadt",GEMEINDE,15002000,,,,186,186,134559,133221,133423,,,,,,,532e8219efc9be9d2be436140b815aa70455c340237eba3ca117a83c110028ce,True
lsa:GEMEINDE:15003000,15003000,"Magdeburg, Landeshauptstadt",GEMEINDE,15003000,,,,218,218,139563,138457,138521,,,,,,,d1f537ae785168cdc5b94ec88e5bd1cb292b80aec16a41ebf1cf4b26b006ac46,True
lsa:GEMEINDE:15081026,15081026,"Apenburg-Winterfeld, Flecken",GEMEINDE,15081026,,,,4,4,1069,1055,1054,,,,,,,99a60ef26c7dd7ff4a176410e8b29bb6d2511923e339dadfed52af288a7ed90b,True
lsa:GEMEINDE:15081030,15081030,"Arendsee (Altmark), Stadt",GEMEINDE,15081030,,,,17,17,4246,4189,4200,,,,,,,725a3b0e2b8abb6606d8b3a587eafa3cc37883b04063512b0555fb92f19fe0f9,True
lsa:GEMEINDE:15081045,15081045,Beetzendorf,GEMEINDE,15081045,,,,7,7,1890,1874,1875,,,,,,,86508eb201e3ac473ffb9e447d03bab5f84e02fcf520fe6fcde8f18e0dbb5986,True
lsa:GEMEINDE:15081095,15081095,Dähre,GEMEINDE,15081095,,,,3,3,899,892,891,,,,,,,3de4741afa806ab971b8ce75958a31d0cf5e099a52efa0d6f48e431cd7e2c6a5,True
lsa:GEMEINDE:15081105,15081105,"Diesdorf, Flecken",GEMEINDE,15081105,,,,2,2,1453,1440,1442,,,,,,,508be293d68797a0b68bc6ea4663ec61795592a9e5bc1720e90cfe3392e29720,True
lsa:GEMEINDE:15081135,15081135,"Gardelegen, Hansestadt",GEMEINDE,15081135,,,,40,40,13849,13703,13705,,,,,,,d7238b8c20ceee30af2a12979b6a871145b1dae99fcc5090b10a7c3f3f5503f0,True
lsa:GEMEINDE:15081225,15081225,Jübar,GEMEINDE,15081225,,,,6,6,1044,1037,1037,,,,,,,3895be91e673c6fae7b783570f578bb28c5c163d0f55c9f6e6fc4847d4f1177f,True
lsa:GEMEINDE:15081240,15081240,"Kalbe (Milde), Stadt",GEMEINDE,15081240,,,,18,18,4600,4559,4562,,,,,,,6f10e04469db2f441af1693dfdd24ae90e70a8609561cef3ddb93c4f9e60c41e,True
lsa:GEMEINDE:15081280,15081280,"Klötze, Stadt",GEMEINDE,15081280,,,,19,19,6354,6284,6288,,,,,,,2ec6653589b6090cdd51d9724dd00b03592fbfc48f955486c64f00cf5fd0b1d8,True
lsa:GEMEINDE:15081290,15081290,Kuhfelde,GEMEINDE,15081290,,,,4,4,708,699,700,,,,,,,735dbf4e1dd9874bed5b782afcc119ee56e93d00097f86ac1a51c34ad208ac1b,True
lsa:GEMEINDE:15081440,15081440,Rohrberg,GEMEINDE,15081440,,,,4,4,686,682,679,,,,,,,707dad3b6c1fd541b59bac212658801141a075d90b39d93729f893dcde135d0d,True
lsa:GEMEINDE:15081455,15081455,"Salzwedel, Hansestadt",GEMEINDE,15081455,,,,25,25,13649,13490,13506,,,,,,,24afcffe0b3cbb01ca6648835710416908ac87007f3384be53e49b7773ac12cd,True
lsa:GEMEINDE:15081545,15081545,Wallstawe,GEMEINDE,15081545,,,,3,3,573,565,565,,,,,,,045cf8e4d44427d85b2a1ccf092c17dbd6e6f8e8ec3c3fda70a67ae6ef394bb3,True
lsa:GEMEINDE:15082005,15082005,"Aken (Elbe), Stadt",GEMEINDE,15082005,,,,10,10,4692,4613,4635,,,,,,,eaaddda732550d8c41cd264e7bcac9b41a32bf5acf0486683ac82aff31f43b05,True
lsa:GEMEINDE:15082015,15082015,"Bitterfeld-Wolfen, Stadt",GEMEINDE,15082015,,,,31,31,21641,21389,21421,,,,,,,0dce738b0e2a18a358a8c3c639152b9b4e241a686309d7de7dfb78414065d418,True
lsa:GEMEINDE:15082180,15082180,"Köthen (Anhalt), Stadt",GEMEINDE,15082180,,,,24,24,14336,14146,14180,,,,,,,b16372460af62c7f624cb730dee044c8684e2672213dbef75b9d6fce1a8d72be,True
lsa:GEMEINDE:15082241,15082241,Muldestausee,GEMEINDE,15082241,,,,16,16,7990,7876,7909,,,,,,,de0b7ef06219d8334c82c67f3e1a03794f0bd23f4953f5cdb69bcc2eeee241bf,True
lsa:GEMEINDE:15082256,15082256,Osternienburger Land,GEMEINDE,15082256,,,,19,19,5424,5319,5345,,,,,,,4396f9bccc928d5353bfcda955edbd52d17c5b4730e5ff8cb09061eeef817d8c,True
lsa:GEMEINDE:15082301,15082301,"Raguhn-Jeßnitz, Stadt",GEMEINDE,15082301,,,,11,11,6200,6132,6141,,,,,,,dc5c107558448d0242d1aebacd9559142d9f2bd7dfec4e903f5b554e22e697c7,True
lsa:GEMEINDE:15082340,15082340,"Sandersdorf-Brehna, Stadt",GEMEINDE,15082340,,,,17,17,9619,9496,9513,,,,,,,c9fe709b4ddec1947f15b49b1ffaa8af67c6eba5139d5590ad9a320823795ab5,True
lsa:GEMEINDE:15082377,15082377,"Südliches Anhalt, Stadt",GEMEINDE,15082377,,,,28,28,8624,8527,8523,,,,,,,b6f11598fcdf3f703e2fc68074651a0cef86e06df7fdf7792da9ace3671c65ad,True
lsa:GEMEINDE:15082430,15082430,"Zerbst/Anhalt, Stadt",GEMEINDE,15082430,,,,36,36,12842,12620,12713,,,,,,,db6e3da20cddd4ef9ddae25021174ed6b5564ab80b6c011da8c4e361e5336c66,True
lsa:GEMEINDE:15082440,15082440,"Zörbig, Stadt",GEMEINDE,15082440,,,,13,13,6133,6050,6061,,,,,,,b958a11b9391aed4bd0b18b780173f650842480efc63adde1697fc91f3828057,True
lsa:GEMEINDE:15083020,15083020,Altenhausen,GEMEINDE,15083020,,,,4,4,695,687,690,,,,,,,94b007d93732fca3771afbba24161f3cfb5eeae3eb8966be048316ec8222ab18,True
lsa:GEMEINDE:15083025,15083025,Am Großen Bruch,GEMEINDE,15083025,,,,5,5,1349,1331,1336,,,,,,,25360e09acb074eeaffc0ef4b86db6296355421a54a1b53cdd9842489472a2d2,True
lsa:GEMEINDE:15083030,15083030,Angern,GEMEINDE,15083030,,,,5,5,1342,1328,1327,,,,,,,3be3917e8d44252874f341e6120e1047206f3abe2326c06e613cde53b46805ae,True
lsa:GEMEINDE:15083035,15083035,Ausleben,GEMEINDE,15083035,,,,3,3,1050,1037,1045,,,,,,,e328f47005bb97afa093d3c307f7cf1e1e471dd5fd22430914968ee1e2dc1d0d,True
lsa:GEMEINDE:15083040,15083040,Barleben,GEMEINDE,15083040,,,,8,8,6534,6478,6480,,,,,,,87751744da12e99bcc86b3f5e7420f6850e829f7b0b86b2b7ff8e81a3d1bac06,True
lsa:GEMEINDE:15083060,15083060,Beendorf,GEMEINDE,15083060,,,,2,2,523,518,517,,,,,,,26565e2d27a6c6f9e16ea88cc03e970faebe97fa9d4941cd870cf1c41ce2da42,True
lsa:GEMEINDE:15083115,15083115,Bülstringen,GEMEINDE,15083115,,,,3,3,600,593,593,,,,,,,9cd5fdd8f94e3ff3964e4784e760d0a1038c80dacf962eac26de8dfabf1822a8,True
lsa:GEMEINDE:15083120,15083120,Burgstall,GEMEINDE,15083120,,,,5,5,1028,1011,1011,,,,,,,e35c49e2f3b29730a6ec98ec9cd89c984542be38be797fda2c27beef7f757a6c,True
lsa:GEMEINDE:15083125,15083125,Calvörde,GEMEINDE,15083125,,,,9,9,2155,2128,2133,,,,,,,6727705c726827c109422f4245fd6f06e1ad5bd4f4cbe5fa13e9d197b9c0aa73,True
lsa:GEMEINDE:15083130,15083130,Colbitz,GEMEINDE,15083130,,,,4,4,2298,2282,2287,,,,,,,5640369b2abafd80eda7e9f9fed3d5bd94e0fb7ec2e57059e6471903aec66620,True
lsa:GEMEINDE:15083190,15083190,Eilsleben,GEMEINDE,15083190,,,,6,6,2337,2313,2310,,,,,,,2e9552bee6447aaabaa26e8563f9945999468eb511d2a68ebcfde6f80911b2c4,True
lsa:GEMEINDE:15083205,15083205,Erxleben,GEMEINDE,15083205,,,,6,6,1839,1809,1816,,,,,,,8f3cf399bc7e83b961cd85eebb4fda1339019b52d9a5cf0ef4c0034cb17be201,True
lsa:GEMEINDE:15083230,15083230,Flechtingen,GEMEINDE,15083230,,,,5,5,1739,1722,1726,,,,,,,6a4d7d92ba408a4b5119b5e124ce063d356c3d9ba20f4ffe05188b830355cde1,True
lsa:GEMEINDE:15083245,15083245,"Gröningen, Stadt",GEMEINDE,15083245,,,,6,6,2285,2268,2261,,,,,,,f6eaafbd9bb3c139b56ce721d7bf460f5f7b10d3a5dd0e470cec3ca5dc11944a,True
lsa:GEMEINDE:15083270,15083270,"Haldensleben, Stadt",GEMEINDE,15083270,,,,17,17,11163,11038,11050,,,,,,,cdcf73b487619bdcb7b2a99f27d2a29adb4130086a40771f0d824189e3e3f354,True
lsa:GEMEINDE:15083275,15083275,Harbke,GEMEINDE,15083275,,,,2,2,890,874,874,,,,,,,b5dbaa008dc57e2d64a929ec72e82fe5e12d4b43283c5a25c281580e84906270,True
lsa:GEMEINDE:15083298,15083298,Hohe Börde,GEMEINDE,15083298,,,,20,20,12550,12439,12439,,,,,,,add658c58942f38607947f40cfbe12f6a1895e02d2f40d563584038002ac266c,True
lsa:GEMEINDE:15083320,15083320,Hötensleben,GEMEINDE,15083320,,,,5,5,2113,2091,2096,,,,,,,fe37650ea8b6c0bf0eba212ccce621a466100e35c2f4fecf039e53f25513ea49,True
lsa:GEMEINDE:15083323,15083323,Ingersleben,GEMEINDE,15083323,,,,5,5,831,817,821,,,,,,,a4f316f4e717d86747671c74c72273a47564f854e1f10be5ab18c639bc4cedb4,True
lsa:GEMEINDE:15083355,15083355,"Kroppenstedt, Stadt",GEMEINDE,15083355,,,,2,2,872,865,863,,,,,,,43eaad879ca8c17ba4c2ddfecdaf523889575fe6707b56acb5dc07d931722581,True
lsa:GEMEINDE:15083361,15083361,Loitsche-Heinrichsberg,GEMEINDE,15083361,,,,3,3,618,612,609,,,,,,,0f417b63919102815b73f74ab353e048a117db07fad7f85028f3cb9981bb189a,True
lsa:GEMEINDE:15083390,15083390,Niedere Börde,GEMEINDE,15083390,,,,10,10,4663,4612,4623,,,,,,,eb01add15531452e27fdac2cb632a44121298e18afcc34b45b7a5cefaeb4ace3,True
