row_key,ags,municipality_name,gebietsart,gebietsnummer,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,payload_hash,is_municipality_summary
000000:BW:-:-:LAND,,,LAND,BW,0,11568,0,0,0,5cdb002ba9dd7c83687771468c48c8ba56d10b5689e337a44497e52da0345444,False
000001:1:-:08111000:WAHLKREIS,08111000,"Stuttgart, Landeshauptstadt",WAHLKREIS,1,0,146,0,0,0,7c8e2e9ea6e67beb91e215a5896b6baceb57f72c1d2790fc281f91035badc454,False
000002:001-01 (08111000-001-01):001-01:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-01 (08111000-001-01),0,1,0,0,0,c184685cbe14d8aecdc2a4fdd8d4010fd67ae163a655821306b2e8deb5085fb4,False
000003:001-02 (08111000-001-02):001-02:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-02 (08111000-001-02),0,1,0,0,0,52e05c01b491b8e94a86edb07c89e5a35aa1a47f118bc019ced27f2e39777dde,False
000004:001-03 (08111000-001-03):001-03:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-03 (08111000-001-03),0,1,0,0,0,972f5eb20226661180b42bf1f6e3a80e6eeeb0f1ca1ae105b09c096269b684e4,False
000005:001-04 (08111000-001-04):001-04:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-04 (08111000-001-04),0,1,0,0,0,16f1f0c45983bcfb7d849952bfa53adb2cd366a80709384aeebb7b5f9c44fd10,False
000006:001-05 (08111000-001-05):001-05:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-05 (08111000-001-05),0,1,0,0,0,cd31a5542647ac7e4ee7e0a8890f067d08d7a27bb6ca576756d3a78f41f3ede1,False
000007:001-06 (08111000-001-06):001-06:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-06 (08111000-001-06),0,1,0,0,0,e970f30ffc5441cca9f47b7db01248e45782a7ac03a2ab4eddaddb274f350589,False
000008:001-07 (08111000-001-07):001-07:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-07 (08111000-001-07),0,1,0,0,0,84035685183ab4d64de2e1e7cd5317f535e95b1e25ad92a4864380e2fc138840,False
000009:001-08 (08111000-001-08):001-08:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-08 (08111000-001-08),0,1,0,0,0,fe67139bd7a79a88aff78220301f5a63d63f835954a63725ba7406a2e1e08906,False
000010:001-09 (08111000-001-09):001-09:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-09 (08111000-001-09),0,1,0,0,0,215e872f4e581ea127813d7aa5eb7e7827090f281d4e2de45bb8d7d711108ed8,False
000011:001-10 (08111000-001-10):001-10:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,001-10 (08111000-001-10),0,1,0,0,0,e9bfdd46eb835b184e81efe5527dc6e071288c2ff0648a79a3979e353db6acb0,False
000012:001-51 (08111000-001-51):001-51:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-51 (08111000-001-51),0,1,0,0,0,08d2e04ee22fecaed6127c09c78019d05f91ba91490f66711882deed84cd4395,False
000013:001-52 (08111000-001-52):001-52:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-52 (08111000-001-52),0,1,0,0,0,f9efbd4997e9f0b4a17c57ecd0045a72b3cb145a8d3075cca98e6d77284874fa,False
000014:001-53 (08111000-001-53):001-53:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-53 (08111000-001-53),0,1,0,0,0,e21d9d478c46379531d57bae696e112a3b4e052e00a9eeb88abe51a5e7cf95e3,False
000015:001-54 (08111000-001-54):001-54:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-54 (08111000-001-54),0,1,0,0,0,4fc9e879d04e5c97a9695818432b48fab319455b5bf5fb4af1f5fde8c5a29e0c,False
000016:001-55 (08111000-001-55):001-55:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-55 (08111000-001-55),0,1,0,0,0,05dbf42bb5c4e2b8f7769223603535477713df4f91286625f084498e340b25aa,False
000017:001-56 (08111000-001-56):001-56:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-56 (08111000-001-56),0,1,0,0,0,9e4121a9b33dea92d1873953d71f2cf627423fe7bcb3eb0e24fd75f5649845a5,False
000018:001-57 (08111000-001-57):001-57:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-57 (08111000-001-57),0,1,0,0,0,fc5c01fbe78aecada9ae6b93ad63542e2fbe7abed5832aeb2fcdcba88a6365b5,False
000019:001-58 (08111000-001-58):001-58:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-58 (08111000-001-58),0,1,0,0,0,4eeda0fac7889657f2f7982d6ac36b3dbf36e5aaf159f43f415957cf5908b0a5,False
000020:001-59 (08111000-001-59):001-59:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-59 (08111000-001-59),0,1,0,0,0,40a9c70f7bef6553e12a1783da807a6b177994c109ca484c7fa0d1b65d49e122,False
000021:001-60 (08111000-001-60):001-60:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-60 (08111000-001-60),0,1,0,0,0,515e0c0be5ccc56343543897f034584d32c3f650a87126fb7f99ff093bd6b63a,False
000022:001-91 (08111000-001-91):001-91:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,001-91 (08111000-001-91),0,1,0,0,0,3c590844f57d1971c674827c21ae4fdbbcdf720157f892e70977b33bcfa8c6e8,False
000023:002-01 (08111000-002-01):002-01:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-01 (08111000-002-01),0,1,0,0,0,0d23fc279e20463c39fec38b9b554f3bb61d7adc5412058012bb7f7035276222,False
000024:002-02 (08111000-002-02):002-02:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-02 (08111000-002-02),0,1,0,0,0,06cc91bf4bcdd31294a00d933574504de7dc9a2d1d5483ce37f58ab830c090e9,False
000025:002-03 (08111000-002-03):002-03:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-03 (08111000-002-03),0,1,0,0,0,00a06022febc13b0dd4f406edc926fb84a7323731e2cb2754a9346036ab4f331,False
000026:002-04 (08111000-002-04):002-04:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-04 (08111000-002-04),0,1,0,0,0,94011d4602b6fe890d8e21f6dea345c0cb9da1aa2f70fa2a559f25fd82fe7fff,False
000027:002-05 (08111000-002-05):002-05:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-05 (08111000-002-05),0,1,0,0,0,10df05ed470cb8a0a8f9f04d83816b4115a980c6cfe1e3361d5e5717a44093e3,False
000028:002-06 (08111000-002-06):002-06:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-06 (08111000-002-06),0,1,0,0,0,39d6176558c6af5862bf781143194392dc5559d27cd00b3f5965b0e1c0e21402,False
000029:002-07 (08111000-002-07):002-07:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-07 (08111000-002-07),0,1,0,0,0,29b9cbc589a10d66bcbd2f90a2cb4506c9a7986f13b56279ffec7b86521f3af2,False
000030:002-08 (08111000-002-08):002-08:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-08 (08111000-002-08),0,1,0,0,0,a29598d19c4e4013c119c96d297c1f119007c6b696b273399cff0e5ca25ab0f5,False
000031:002-09 (08111000-002-09):002-09:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-09 (08111000-002-09),0,1,0,0,0,30407478e322c41d0534472ed61a2b6544c3da5971f430b530905b6ff6eb22e2,False
000032:002-10 (08111000-002-10):002-10:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-10 (08111000-002-10),0,1,0,0,0,f84431ff817f32b02a85fa8aeb78cb0d225beb83ebc63b27838465f225d55b1a,False
000033:002-11 (08111000-002-11):002-11:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-11 (08111000-002-11),0,1,0,0,0,26b8a817ed495971c750b057bf0a8821922759d713fc4ef36b46257a9d8a49a5,False
000034:002-12 (08111000-002-12):002-12:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,002-12 (08111000-002-12),0,1,0,0,0,6042da0d5cdcdcb553f177651c01867404dd819f8c5b28d8cfe5b39d18241cc8,False
000035:002-51 (08111000-002-51):002-51:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-51 (08111000-002-51),0,1,0,0,0,b67fb23413c98ffd9578eaef7b699920add8bb8ac3387760df289a68ea1bc150,False
000036:002-52 (08111000-002-52):002-52:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-52 (08111000-002-52),0,1,0,0,0,d18f9e1a107d7de7f40656d5096fa64a67b4d6296b549a7f8e2f08bf0d1b304e,False
000037:002-53 (08111000-002-53):002-53:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-53 (08111000-002-53),0,1,0,0,0,b6a1e9c2b71fbd339567bc85eb681cc953eaaa4f1de1bbc5612b19c923b032ad,False
000038:002-54 (08111000-002-54):002-54:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-54 (08111000-002-54),0,1,0,0,0,4759692832071c5c60ec231f6a8f00901b9e2c414102dea15147f6725fd172d0,False
000039:002-55 (08111000-002-55):002-55:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-55 (08111000-002-55),0,1,0,0,0,a2325ae3758b634d1a11146c1419580110dc4a78cbb4210a9ba11f198cecc136,False
000040:002-56 (08111000-002-56):002-56:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-56 (08111000-002-56),0,1,0,0,0,a007a796e844f5a834a9b167a7bd19c34fffaa5f08d153d0520efa6ee3fa2753,False
000041:002-57 (08111000-002-57):002-57:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-57 (08111000-002-57),0,1,0,0,0,f46afb9867b3eccd6f53868178a4d3614706ccf82680ffbdc15ebcd4fd3adadb,False
000042:002-58 (08111000-002-58):002-58:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-58 (08111000-002-58),0,1,0,0,0,96f60d4cb52faf5e9047b2a275251431b0fe7d7b980d90e217014758effbc7c3,False
000043:002-59 (08111000-002-59):002-59:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-59 (08111000-002-59),0,1,0,0,0,925892043ef243060a7edcc4f2b3543dcb07c4a637e1b30372d019f70c08212a,False
000044:002-60 (08111000-002-60):002-60:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-60 (08111000-002-60),0,1,0,0,0,fac7dcfd18b6f4ba42df76c0c2ac161390e31a9ba141b01c089f1e2540ba9553,False
000045:002-61 (08111000-002-61):002-61:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-61 (08111000-002-61),0,1,0,0,0,dbb4123961aba58801b3e9ab219b877a1e86178ab8de19c416a0f572b502d20c,False
000046:002-62 (08111000-002-62):002-62:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-62 (08111000-002-62),0,1,0,0,0,351bb005d107244fee280f7d67e17b24cb0e38e3611b653631a05ed4efd46005,False
000047:002-91 (08111000-002-91):002-91:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,002-91 (08111000-002-91),0,1,0,0,0,80c49754b4909cf2f474b47c4bb8c6ac9ea282a1300783374587c6cac713ec9b,False
000048:003-08 (08111000-003-08):003-08:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,003-08 (08111000-003-08),0,1,0,0,0,0a6c3376aaa24242f6867d63d22e90814ef9fb0b64dfbd37c3c1dc23c6947d7d,False
000049:003-09 (08111000-003-09):003-09:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,003-09 (08111000-003-09),0,1,0,0,0,f7bd320169a7fefb11999d79551e19f4704e396fbd7c96cdd3cff3f03b9661e9,False
000050:003-13 (08111000-003-13):003-13:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,003-13 (08111000-003-13),0,1,0,0,0,de6d02d7a6b928126528005446c2c0c266bb0f1466b456e3dfa6c79dee1f67d7,False
000051:003-58 (08111000-003-58):003-58:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,003-58 (08111000-003-58),0,1,0,0,0,df975dab828e0c575aca6f52992edd6b9d4a5305a2b1f176fa919697e25070e1,False
000052:003-59 (08111000-003-59):003-59:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,003-59 (08111000-003-59),0,1,0,0,0,3dda79f6f70671a356e40a681c54f6928f6267561c4fa7e849b22d879eef50b2,False
000053:003-63 (08111000-003-63):003-63:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,003-63 (08111000-003-63),0,1,0,0,0,d62aca445b1ea50eca92007f9b0ea46f2a7efeea93f92926f4999f8c287fc480,False
000054:003-91 (08111000-003-91):003-91:08111000:BRIEFWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",BRIEFWAHLBEZIRK,003-91 (08111000-003-91),0,1,0,0,0,ba4086dcb05dad175bd399adbce812f8d6e1fa274201f35264ae078bb32f21ca,False
000055:004-01 (08111000-004-01):004-01:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,004-01 (08111000-004-01),0,1,0,0,0,14b8b82a40edf503786ace673b325b35291da87e9f071faa35de5d4aab863f34,False
000056:004-02 (08111000-004-02):004-02:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,004-02 (08111000-004-02),0,1,0,0,0,07ee9b4dd01e2562263fd8cf8910ad96b5f817db9cfa8fc721e2f603447a4047,False
000057:004-03 (08111000-004-03):004-03:08111000:URNENWAHLBEZIRK,08111000,"Stuttgart, Landeshauptstadt",URNENWAHLBEZIRK,004-03 (08111000-004-03),0,1,0,0,0,91a9487bde526c2405f795d19e86de198baa05aae3b4cfd8f6fef0f8fa063daa,False
