ags,municipality_name,status,reported_precincts,total_precincts,voters_total,valid_votes,invalid_votes,source_timestamp,payload_hash,error_message
08111000,Stuttgart-Landeshauptstadt,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115001,Aidlingen,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115002,Altdorf,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115003,Böblingen-Stadt,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115004,Bondorf,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115010,Deckenpfronn,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115013,Ehningen,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115015,Gärtringen,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115016,Gäufelden,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115021,Herrenberg-Stadt,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115022,Hildrizhausen,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115024,Holzgerlingen-Stadt,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115028,Leonberg-Stadt,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115029,Magstadt,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115034,Mötzingen,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115037,Nufringen,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115041,Renningen-Stadt,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115042,Rutesheim-Stadt,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115044,Schönaich,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115045,Sindelfingen-Stadt,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115046,Steinenbronn,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115048,Waldenbuch-Stadt,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115050,Weil der Stadt-Stadt,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115051,Weil im Schönbuch,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115052,Weissach,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115053,Jettingen,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08115054,Grafenau,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08116004,Altbach,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08116005,Altdorf,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
08116006,Altenriet,NO_DATA,,,,,,,,komm.one polling skipped by --skip-kommone
