Berichtszeitpunkt,_RS,Name,Regionalebene,0_Insgesamt_,GESCHLECHT__1,GESCHLECHT__2,Staatsange_kurz__1,Staatsange_kurz__2,Alter_infr__01,Alter_infr__02,Alter_infr__03,Alter_infr__04,Alter_infr__05,Alter_infr__06,Alter_infr__07,Alter_infr__08,Alter_infr__09,Alter_infr__10,Alter_infr__11,FAMSTND_KURZ__1,FAMSTND_KURZ__2,FAMSTND_KURZ__3,FAMSTND_KURZ__4,FAMSTND_KURZ__5,Einwanderungserf_ausf__2,Einwanderungserf_ausf__21,Einwanderungserf_ausf__22,Einwanderungserf_ausf__3,Einwanderungserf_ausf__1,geo_id
20220515,130715154,Malchow,Gemeindeverband,9826,4810,5019,9477,348,198,213,308,465,282,399,1332,2801,1361,1202,1262,3665,4352,944,830,35,737,696,39,26,9063,130715154
20220515,130715155,Mecklenburgische Kleinseenplatte,Gemeindeverband,7978,3892,4086,7805,171,135,168,250,389,149,253,904,2355,1121,1011,1242,2790,3586,890,677,35,471,454,19,26,7478,130715155
20220515,130715156,Neustrelitz-Land,Gemeindeverband,7386,3756,3635,7284,101,163,198,239,465,202,218,908,2320,1119,840,710,2685,3636,527,516,21,302,295,10,28,7058,130715156
20220515,130715157,Neverin,Gemeindeverband,8800,4348,4452,8753,47,175,261,341,502,203,259,1148,2603,1433,1203,668,3017,4710,528,538,3,265,255,9,27,8505,130715157
20220515,130715158,Penzliner Land,Gemeindeverband,6648,3334,3316,6588,55,158,187,259,408,177,247,924,2005,914,733,641,2554,3014,522,548,6,255,248,6,25,6369,130715158
20220515,130715159,Röbel-Müritz,Gemeindeverband,13608,6704,6905,13207,402,237,263,447,721,298,499,1737,3981,1959,1659,1804,4881,6207,1354,1105,62,908,851,58,37,12658,130715159
20220515,130715160,Seenlandschaft Waren,Gemeindeverband,9088,4509,4579,8842,246,212,272,334,592,230,272,1236,2904,1289,944,797,3450,4234,642,683,81,553,540,13,42,8492,130715160
20220515,130715161,Stargarder Land,Gemeindeverband,9627,4773,4849,9465,162,239,314,429,581,269,311,1413,2827,1351,1042,853,3665,4654,655,639,15,446,423,26,36,9143,130715161
20220515,130715162,Stavenhagen,Gemeindeverband,10706,5325,5381,10279,429,247,270,360,607,248,361,1449,3150,1621,1215,1183,4032,4777,1018,846,38,714,676,39,14,9977,130715162
20220515,130715163,Treptower Tollensewinkel,Gemeindeverband,13076,6530,6545,12715,360,277,332,443,767,327,468,1820,3789,1954,1480,1422,4992,5861,1287,872,63,673,660,12,22,12381,130715163
