ags,wahlkreis,wahlbezirk,gemeinde,name,wahlart,linke,spd,gruene,summe,gueltige_zweitstimmen,anteil_prozent,mehr_als_50_prozent
15002000,036,010206,"Halle (Saale), Stadt",Grundschule Am Ludwigsfeld,U,104,101,200,405,765,52.94117647058823,True
15002000,036,010207,"Halle (Saale), Stadt",Grundschule Am Ludwigsfeld,U,91,79,173,343,680,50.44117647058823,True
15002000,036,010208,"Halle (Saale), Stadt",Grundschule Johannesschule,U,108,81,172,361,672,53.720238095238095,True
15002000,036,010209,"Halle (Saale), Stadt",Grundschule Johannesschule,U,115,109,253,477,916,52.07423580786026,True
15002000,036,010210,"Halle (Saale), Stadt",Gemeinschaftsschule August Hermann Francke,U,104,71,252,427,727,58.73452544704264,True
15002000,036,090002,"Halle (Saale), Stadt",Briefwahlbezirk 90002,B,100,74,162,336,542,61.99261992619926,True
15002000,036,090003,"Halle (Saale), Stadt",Briefwahlbezirk 90003,B,83,107,164,354,546,64.83516483516483,True
15002000,036,090004,"Halle (Saale), Stadt",Briefwahlbezirk 90004,B,152,195,379,726,1033,70.28073572120039,True
15002000,036,090011,"Halle (Saale), Stadt",Briefwahlbezirk 90011,B,115,150,244,509,921,55.26601520086862,True
15002000,036,090016,"Halle (Saale), Stadt",Briefwahlbezirk 90016,B,96,146,208,450,840,53.57142857142857,True
15002000,036,090028,"Halle (Saale), Stadt",Briefwahlbezirk 90028,B,69,100,148,317,515,61.55339805825243,True
15002000,036,090037,"Halle (Saale), Stadt",Briefwahlbezirk 90037,B,171,169,388,728,1062,68.54990583804143,True
15002000,036,090038,"Halle (Saale), Stadt",Briefwahlbezirk 90038,B,109,119,233,461,664,69.42771084337349,True
15002000,036,090042,"Halle (Saale), Stadt",Briefwahlbezirk 90042,B,126,146,230,502,842,59.61995249406176,True
15002000,036,090043,"Halle (Saale), Stadt",Briefwahlbezirk 90043,B,107,156,164,427,814,52.45700245700246,True
15002000,036,090056,"Halle (Saale), Stadt",Briefwahlbezirk 90056,B,80,138,250,468,841,55.648038049940546,True
15002000,036,090060,"Halle (Saale), Stadt",Briefwahlbezirk 90060,B,143,136,358,637,918,69.38997821350763,True
15002000,037,010101,"Halle (Saale), Stadt",Stadtwerke/EVH,U,110,52,217,379,670,56.56716417910448,True
15002000,037,010102,"Halle (Saale), Stadt",BBS IV Friedrich List,U,85,72,237,394,641,61.46645865834633,True
15002000,037,010103,"Halle (Saale), Stadt",Berufsbildende Schule V,U,141,121,344,606,920,65.8695652173913,True
15002000,037,010301,"Halle (Saale), Stadt",BBS IV Friedrich List,U,125,86,170,381,634,60.094637223974765,True
15002000,037,010302,"Halle (Saale), Stadt",Kita Kinderwelt,U,127,78,209,414,637,64.99215070643642,True
15002000,037,010303,"Halle (Saale), Stadt",IGS.Halle am Steintor,U,114,77,295,486,793,61.28625472887768,True
15002000,037,010304,"Halle (Saale), Stadt",IGS.Halle am Steintor,U,152,114,365,631,869,72.61219792865363,True
15002000,037,010305,"Halle (Saale), Stadt",Grundschule Neumarkt,U,101,95,290,486,759,64.03162055335969,True
15002000,037,010306,"Halle (Saale), Stadt",Grundschule Neumarkt,U,112,98,281,491,724,67.81767955801105,True
15002000,037,010307,"Halle (Saale), Stadt",Grundschule Neumarkt,U,94,95,173,362,621,58.293075684380035,True
15002000,037,010308,"Halle (Saale), Stadt",Stadtwerke/EVH,U,97,76,217,390,633,61.611374407582936,True
15002000,037,010309,"Halle (Saale), Stadt",Hans-Dietrich-Genscher-Gymnasium,U,104,56,191,351,583,60.20583190394511,True
15002000,037,020401,"Halle (Saale), Stadt",Grundschule G. E. Lessing,U,144,72,294,510,714,71.42857142857143,True
15002000,037,020402,"Halle (Saale), Stadt",Grundschule G. E. Lessing,U,122,95,330,547,785,69.68152866242038,True
15002000,037,020403,"Halle (Saale), Stadt",Grundschule G. E. Lessing,U,130,98,312,540,757,71.33421400264201,True
15002000,037,020404,"Halle (Saale), Stadt","Landesamt für Soziales, Jugend und Gesundheit",U,70,85,272,427,587,72.74275979557069,True
15002000,037,020405,"Halle (Saale), Stadt",Sekundarschule J. Ch. Reil,U,94,106,230,430,710,60.563380281690144,True
15002000,037,020406,"Halle (Saale), Stadt",Grundschule G. E. Lessing,U,94,76,216,386,709,54.44287729196051,True
15002000,037,020407,"Halle (Saale), Stadt","Landesamt für Soziales, Jugend und Gesundheit",U,77,70,205,352,474,74.26160337552743,True
15002000,037,023001,"Halle (Saale), Stadt",Sporthalle Giebichenstein-Gymnasium,U,123,100,284,507,832,60.9375,True
15002000,037,023002,"Halle (Saale), Stadt",Giebichenstein-Gymnasium Th. Müntzer,U,122,92,257,471,792,59.46969696969697,True
15002000,037,023003,"Halle (Saale), Stadt",Giebichenstein-Gymnasium Th. Müntzer,U,68,73,285,426,697,61.11908177905308,True
15002000,037,023004,"Halle (Saale), Stadt",Sekundarschule J. Ch. Reil,U,111,105,347,563,870,64.71264367816092,True
15002000,037,023005,"Halle (Saale), Stadt",Sekundarschule J. Ch. Reil,U,72,96,227,395,591,66.83587140439933,True
15002000,037,090001,"Halle (Saale), Stadt",Briefwahlbezirk 90001,B,128,128,348,604,814,74.2014742014742,True
15002000,037,090005,"Halle (Saale), Stadt",Briefwahlbezirk 90005,B,178,164,461,803,1092,73.53479853479854,True
15002000,037,090006,"Halle (Saale), Stadt",Briefwahlbezirk 90006,B,98,139,284,521,729,71.46776406035666,True
15002000,037,090007,"Halle (Saale), Stadt",Briefwahlbezirk 90007,B,149,153,354,656,956,68.61924686192468,True
15002000,037,090008,"Halle (Saale), Stadt",Briefwahlbezirk 90008,B,76,103,280,459,575,79.82608695652173,True
15002000,037,090009,"Halle (Saale), Stadt",Briefwahlbezirk 90009,B,126,131,395,652,834,78.17745803357315,True
15002000,037,090010,"Halle (Saale), Stadt",Briefwahlbezirk 90010,B,95,118,149,362,692,52.3121387283237,True
15002000,037,090013,"Halle (Saale), Stadt",Briefwahlbezirk 90013,B,94,91,275,460,652,70.5521472392638,True
15002000,037,090031,"Halle (Saale), Stadt",Briefwahlbezirk 90031,B,87,97,217,401,541,74.12199630314232,True
15002000,037,090034,"Halle (Saale), Stadt",Briefwahlbezirk 90034,B,139,101,320,560,747,74.9665327978581,True
15002000,037,090035,"Halle (Saale), Stadt",Briefwahlbezirk 90035,B,163,199,400,762,1134,67.19576719576719,True
15002000,037,090036,"Halle (Saale), Stadt",Briefwahlbezirk 90036,B,128,117,331,576,745,77.31543624161074,True
15002000,037,090039,"Halle (Saale), Stadt",Briefwahlbezirk 90039,B,129,97,314,540,722,74.79224376731302,True
15002000,037,090049,"Halle (Saale), Stadt",Briefwahlbezirk 90049,B,136,158,440,734,1045,70.23923444976077,True
15002000,037,090053,"Halle (Saale), Stadt",Briefwahlbezirk 90053,B,112,108,245,465,600,77.5,True
15002000,037,090054,"Halle (Saale), Stadt",Briefwahlbezirk 90054,B,107,107,296,510,751,67.90945406125167,True
15002000,037,090057,"Halle (Saale), Stadt",Briefwahlbezirk 90057,B,130,108,316,554,706,78.47025495750708,True
15002000,037,090059,"Halle (Saale), Stadt",Briefwahlbezirk 90059,B,132,128,297,557,708,78.67231638418079,True
