ags,wahlkreis,wahlbezirk,gemeinde,name,wahlart,linke,spd,gruene,summe,gueltige_zweitstimmen,anteil_prozent,mehr_als_50_prozent
15081026,001,000001,"Apenburg-Winterfeld, Flecken","Apenburg-Winterfeld, Apenburg",U,36,37,26,99,429,23.076923076923077,False
15081026,001,000002,"Apenburg-Winterfeld, Flecken","Apenburg-Winterfeld, Altensalzwedel",U,14,25,8,47,218,21.559633027522935,False
15081026,001,000003,"Apenburg-Winterfeld, Flecken","Apenburg-Winterfeld, Winterfeld",U,21,35,19,75,286,26.223776223776223,False
15081026,001,000026,"Apenburg-Winterfeld, Flecken",Briefwahl Apenburg-Winterfeld,B,9,15,8,32,121,26.446280991735538,False
15081030,001,000001,"Arendsee (Altmark), Stadt","01 Arendsee, Rathaus",U,53,41,32,126,570,22.105263157894736,False
15081030,001,000002,"Arendsee (Altmark), Stadt","02 Arendsee, Haus des Gastes",U,54,48,13,115,641,17.940717628705148,False
15081030,001,000003,"Arendsee (Altmark), Stadt","03 Arendsee, Kläden",U,9,16,5,30,120,25.0,False
15081030,001,000004,"Arendsee (Altmark), Stadt","04 Arendsee, Kleinau",U,7,2,5,14,113,12.389380530973451,False
15081030,001,000005,"Arendsee (Altmark), Stadt","05 Arendsee, Dessau",U,8,5,0,13,74,17.56756756756757,False
15081030,001,000006,"Arendsee (Altmark), Stadt","06 Arendsee, Lohne",U,4,5,7,16,90,17.77777777777778,False
15081030,001,000007,"Arendsee (Altmark), Stadt","07 Arendsee, Leppin",U,16,19,8,43,246,17.479674796747968,False
15081030,001,000008,"Arendsee (Altmark), Stadt","08 Arendsee, Sanne",U,15,7,2,24,141,17.02127659574468,False
15081030,001,000009,"Arendsee (Altmark), Stadt","09 Arendsee, Zießau",U,11,15,7,33,165,20.0,False
15081030,001,000010,"Arendsee (Altmark), Stadt","10 Arendsee, Vissum",U,11,6,15,32,94,34.04255319148936,False
15081030,001,000011,"Arendsee (Altmark), Stadt","11 Arendsee, Ziemendorf",U,5,10,11,26,102,25.49019607843137,False
15081030,001,000012,"Arendsee (Altmark), Stadt","12 Arendsee, Binde",U,13,7,15,35,133,26.31578947368421,False
15081030,001,000013,"Arendsee (Altmark), Stadt","13 Arendsee, Fleetmark",U,50,33,18,101,432,23.37962962962963,False
15081030,001,000014,"Arendsee (Altmark), Stadt","14 Arendsee, Kaulitz",U,13,5,19,37,84,44.04761904761905,False
15081030,001,000015,"Arendsee (Altmark), Stadt","15 Arendsee, Mechau",U,20,13,15,48,144,33.333333333333336,False
