commit,acquired_at_utc,acquired_at_local,commit_time,subject,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,coverage_percent,area_rows,raw_rows,overview_rows,overview_reported,overview_minus_csv,wahlbezirk_vote_rows,mode,dynamic_results_used
2ef63b72a9e9398349c2c6c610abcda9fffe532e,2026-09-06T16:05:42.132776+00:00,2026-09-06T18:05:42.132776+02:00,2026-09-06T16:05:43Z,2026-lsa poll 2026-09-06T16:05:42.132776+00:00,0,0,0,0,0,,274,822,,,,0,LIVE_CSV_DOWNLOAD,
053a4939f9d5b219a4e3d64b638b53c21a808933,2026-09-06T16:13:39.955412+00:00,2026-09-06T18:13:39.955412+02:00,2026-09-06T16:13:40Z,2026-lsa poll 2026-09-06T16:13:39.955412+00:00,0,0,0,0,0,,274,822,,,,0,LIVE_CSV_DOWNLOAD,
80f3f58f23b32a844025cfe3b74f460f82133bae,2026-09-06T16:26:10.355645+00:00,2026-09-06T18:26:10.355645+02:00,2026-09-06T16:26:11Z,2026-lsa poll 2026-09-06T16:26:10.355645+00:00,0,2660,0,0,0,0.0,274,822,,,,0,LIVE_CSV_DOWNLOAD,
7873490a99fa2c6e39b9618a6a4f218016e3b561,2026-09-06T16:26:36.247903+00:00,2026-09-06T18:26:36.247903+02:00,2026-09-06T16:26:37Z,2026-lsa poll 2026-09-06T16:26:36.247903+00:00,0,2660,0,0,0,0.0,274,822,,,,0,LIVE_CSV_DOWNLOAD,
090c55727349adcf25c243dee770737bef332023,2026-09-06T16:39:34.212928+00:00,2026-09-06T18:39:34.212928+02:00,2026-09-06T16:39:35Z,2026-lsa poll 2026-09-06T16:39:34.212928+00:00,12,2660,1182,1173,1174,0.45112781954887216,274,822,,,,0,LIVE_CSV_DOWNLOAD,
90f55ca78c0f49447c122088d68bcf2b7d83e8e4,2026-09-06T16:52:05.545296+00:00,2026-09-06T18:52:05.545296+02:00,2026-09-06T16:52:07Z,2026-lsa poll 2026-09-06T16:52:05.545296+00:00,12,2660,1182,1173,1174,0.45112781954887216,274,822,,,,0,LIVE_CSV_DOWNLOAD,
1379df96d853ed076e00ca73aab6e7f3674e6a3b,2026-09-06T16:57:26.998456+00:00,2026-09-06T18:57:26.998456+02:00,2026-09-06T16:57:28Z,2026-lsa poll 2026-09-06T16:57:26.998456+00:00,12,2660,1182,1173,1174,0.45112781954887216,274,822,,,,0,LIVE_CSV_DOWNLOAD,
b5182d117e784f0de6c964ab7845df493324d1bd,2026-09-06T17:03:10.783828+00:00,2026-09-06T19:03:10.783828+02:00,2026-09-06T17:03:11Z,2026-lsa poll 2026-09-06T17:03:10.783828+00:00,12,2660,1182,1173,1174,0.45112781954887216,274,822,,,,0,LIVE_CSV_DOWNLOAD,
a9a23b89f2ebfa668d402614ab5bfbcb724b9429,2026-09-06T17:05:31.763958+00:00,2026-09-06T19:05:31.763958+02:00,2026-09-06T17:05:32Z,2026-lsa poll 2026-09-06T17:05:31.763958+00:00,12,2660,1182,1173,1174,0.45112781954887216,274,822,2660,219,207,0,LIVE_OVERVIEW_HTML_WITH_CSV_DOWNLOAD,
433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T17:06:49.423839+00:00,2026-09-06T19:06:49.423839+02:00,2026-09-06T17:06:50Z,2026-lsa poll 2026-09-06T17:06:49.423839+00:00,12,2660,1182,1173,1174,0.45112781954887216,274,822,2660,219,207,0,LIVE_OVERVIEW_HTML_WITH_CSV_DOWNLOAD,
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,12,2660,1182,1173,1174,0.45112781954887216,274,822,2660,433,421,0,LIVE_OVERVIEW_HTML_WITH_CSV_DOWNLOAD,
71dda051e5cc91d02348db3b76c32882bd1f3383,2026-09-06T17:14:09.430472+00:00,2026-09-06T19:14:09.430472+02:00,2026-09-06T17:14:11Z,2026-lsa poll 2026-09-06T17:14:09.430472+00:00,12,2660,1182,1173,1174,0.45112781954887216,274,822,2660,433,421,0,LIVE_OVERVIEW_HTML_WITH_CSV_DOWNLOAD,
495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T17:19:41.198663+00:00,2026-09-06T19:19:41.198663+02:00,2026-09-06T17:19:42Z,2026-lsa poll 2026-09-06T17:19:41.198663+00:00,445,2660,85739,84628,84826,16.729323308270676,274,822,2660,445,0,0,LIVE_OVERVIEW_HTML_WITH_CSV_DOWNLOAD,
db9637f6451c4ecff15acf3e882d5d2d295e3110,2026-09-06T17:24:52.225833+00:00,2026-09-06T19:24:52.225833+02:00,2026-09-06T17:24:53Z,2026-lsa poll 2026-09-06T17:24:52.225833+00:00,445,2660,85739,84628,84826,16.729323308270676,274,822,2660,445,0,0,LIVE_OVERVIEW_HTML_WITH_CSV_DOWNLOAD,True
5efee3aeae028aada9c1b62635ada906fc9293f3,2026-09-06T17:25:42.965806+00:00,2026-09-06T19:25:42.965806+02:00,2026-09-06T17:25:44Z,2026-lsa poll 2026-09-06T17:25:42.965806+00:00,445,2660,85739,84628,84826,16.729323308270676,274,822,2660,445,0,0,LIVE_OVERVIEW_HTML_WITH_CSV_DOWNLOAD,True
99ec0cf101cce7dc00bcfcb9f15722cdc3a9b8b7,2026-09-06T17:29:58.225160+00:00,2026-09-06T19:29:58.225160+02:00,2026-09-06T17:29:59Z,2026-lsa poll 2026-09-06T17:29:58.225160+00:00,445,2660,85739,84628,84826,16.729323308270676,274,822,2660,445,0,0,LIVE_OVERVIEW_HTML_WITH_CSV_DOWNLOAD,True
