commit,acquired_at_utc,acquired_at_local,commit_time,subject,previous_commit,previous_acquired_at_local,name,key,event,changes,candidate
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,Eichstedt (Altmark) / 000032,"[""03, Havelberg-Osterburg"",""Stendal"",""Eichstedt (Altmark)"",""000032""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,Eichstedt (Altmark) / 000033,"[""03, Havelberg-Osterburg"",""Stendal"",""Eichstedt (Altmark)"",""000033""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Havelberg, Hansestadt / 000004","[""03, Havelberg-Osterburg"",""Stendal"",""Havelberg, Hansestadt"",""000004""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Havelberg, Hansestadt / 000006","[""03, Havelberg-Osterburg"",""Stendal"",""Havelberg, Hansestadt"",""000006""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Havelberg, Hansestadt / 000007","[""03, Havelberg-Osterburg"",""Stendal"",""Havelberg, Hansestadt"",""000007""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Havelberg, Hansestadt / 000008","[""03, Havelberg-Osterburg"",""Stendal"",""Havelberg, Hansestadt"",""000008""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,"Havelberg, Hansestadt / 000009","[""03, Havelberg-Osterburg"",""Stendal"",""Havelberg, Hansestadt"",""000009""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,Hohenberg-Krusemark / 000061,"[""03, Havelberg-Osterburg"",""Stendal"",""Hohenberg-Krusemark"",""000061""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,Iden / 000070,"[""03, Havelberg-Osterburg"",""Stendal"",""Iden"",""000070""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:36.679481+00:00,2026-09-06T19:12:36.679481+02:00,2026-09-06T17:12:38Z,2026-lsa poll 2026-09-06T17:12:36.679481+00:00,433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T19:06:49.423839+02:00,Iden / 000071,"[""03, Havelberg-Osterburg"",""Stendal"",""Iden"",""000071""]",reporting_growth,"{""reported_precincts"":{""after"":1,""before"":0,""delta"":1}}",False
