area,before_total,before_reported,after_total,after_reported
Aken (Elbe),9,9,10,10
Wahlkreis 23 Zerbst,79,79,80,80
Anhalt-Bitterfeld,204,202,205,203
Sachsen-Anhalt,2660,2630,2661,2634
