row_key,ags,municipality_name,gebietsart,gebietsnummer,wahlkreisnummer,wahlbezirk_name,wahllokal,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,voters_total_2021,valid_votes_erst_2021,valid_votes_zweit_2021,delta_voters_total_vs_2021,delta_valid_votes_erst_vs_2021,delta_valid_votes_zweit_vs_2021,payload_hash,is_municipality_summary
berlin:WAHLKREIS:1,,,WAHLKREIS,1,1,,,51,51,25703,25443,25170,,,,,,,a186915d590f1a231d68d27bfb8e19e1cfd27cc5971cdec098bbb78c9095e183,False
berlin:WAHLKREIS:2,,,WAHLKREIS,2,2,,,51,51,25192,24783,24957,,,,,,,ed832ecd44f08bf4e262847285272e1e820f81b10817eab7eedbdbd55b226c3a,False
berlin:WAHLKREIS:3,,,WAHLKREIS,3,3,,,48,48,23195,22883,23034,,,,,,,739fe10a5d47402a77660948f1ff94ba81d7d5870502085d61783292dbc9a36e,False
berlin:WAHLKREIS:4,,,WAHLKREIS,4,4,,,45,45,21434,21153,21252,,,,,,,13f1b5034ac5ba6c0abefdb44d645fd974b259a1876de6b6fe37ba211db2a95a,False
berlin:WAHLKREIS:5,,,WAHLKREIS,5,5,,,44,44,18679,18199,18429,,,,,,,ed70b3f61b682a35832b7d0b8de28c72c2b22dd25163982f398a1bc267933369,False
berlin:WAHLKREIS:6,,,WAHLKREIS,6,6,,,44,44,18029,17693,17845,,,,,,,bd7717986cbeec7f5f672655b7c7fc14fb49a71800de334170dd602d4f829f79,False
berlin:WAHLKREIS:7,,,WAHLKREIS,7,7,,,45,45,19340,18969,19105,,,,,,,f6e241b4c3be4d862e19a96713305713d41f9c155d8dc60c909a680475dd2ac4,False
berlin:WAHLKREIS:8,,,WAHLKREIS,8,8,,,53,53,22515,22189,22225,,,,,,,2f0b33fddb5f52d899660399d4d032b0b9bc388948d18e28e430a4bcae4b767e,False
berlin:WAHLKREIS:9,,,WAHLKREIS,9,9,,,68,68,27185,26865,27013,,,,,,,cee83ff582067f4231860df9a6fa5cfff211fef9f17b77f2c63988e86f855006,False
berlin:WAHLKREIS:10,,,WAHLKREIS,10,10,,,71,71,27598,27302,27444,,,,,,,736d150e9ed3d3c9d1980e1974dbeac28ee5a2d0a8b2fa760414f56596add018,False
