geo_id,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_31,column_32,column_33,column_34,column_35,column_36,column_37,column_38,column_39,column_40,column_41,column_42,column_43,column_44,column_45,column_46,column_47,column_48,column_49,column_50,column_51,column_52,column_53,column_54,column_55,column_56,column_57,column_58,column_59,column_60,column_61,column_62,column_63,column_64,column_65,column_66,column_67,column_68,column_69,column_70,column_71,column_72,column_73,column_74,column_75,column_76,column_77,column_78,column_79,column_80,column_81,column_82,column_83,column_84,column_85,column_86,column_87,column_88,column_89,column_90,column_91,column_92,column_93,column_94,column_95,column_96,column_97,column_98,column_99,column_100,column_101,column_102,column_103,column_104,column_105,column_106,column_107,column_108,column_109,column_110,column_111,column_112,column_113,column_114,column_115,column_116,column_117,column_118,column_119,column_120,column_121,column_122,column_123,column_124,column_125,column_126,column_127,column_128,column_129,column_130,column_131,column_132,column_133,column_134,column_135,column_136,column_137,column_138,column_139,column_140,column_141,column_142,column_143,column_144,column_145,column_146,column_147,column_148,column_149,column_150
1101,1,Mitte,Bezirk,345660,176080,169580,205090,110580,94510,186360,100040,86320,18730,10540,8190,140570,65500,75070,186360,100040,86320,2640,1470,1160,43800,21600,22200,56990,30710,26290,35850,19860,15990,31390,17610,13780,13060,7080,5980,2630,1710,920,186360,100040,86320,139200,72060,67140,30880,18280,12600,13160,5820,7340,95160,47960,47200,47160,27980,19180,186360,100040,86320,151260,79250,72010,7090,3750,3340,9280,6440,2840,18090,10290,7800,640,320,330,186360,100040,86320,11230,7410,3830,79110,40710,38390,32960,16300,16670,13080,4800,8280,23880,11890,11990,740,610,/,9250,7580,1670,5380,4590,790,10300,5760,4540,430,390,/,186360,100040,86320,720,490,230,22270,15510,6760,12020,7830,4190,1700,1210,490,8560,6470,2080,163370,84040,79330,22550,12120,10430,33050,21640,11410,5390,3050,2350,24340,14140,10210,13060,6400,6670,64970,26700,38270
1102,2,Friedrichshain-Kreuzberg,Bezirk,258480,131100,127380,164470,86880,77590,151700,79540,72160,12760,7330,5430,94010,44220,49790,151700,79540,72160,2070,870,1200,28000,13140,14860,50120,26040,24070,36110,19680,16430,24180,13380,10790,9280,5190,4090,1940,1230,720,151700,79540,72160,118290,59960,58320,24120,14450,9670,10700,4530,6180,83470,40990,42480,33420,19580,13840,151700,79540,72160,119430,60590,58840,4040,2120,1920,8540,6060,2480,19110,10540,8570,580,230,350,151700,79540,72160,10720,6620,4110,71140,34480,36660,26730,13340,13390,8860,3830,5030,16980,8590,8390,730,550,/,6790,5500,1290,3770,3250,530,5840,3260,2580,/,/,–,151700,79540,72160,690,500,/,16470,11310,5160,8590,5600,2980,1280,830,450,6610,4890,1730,134540,67730,66810,17990,10100,7880,29780,18530,11240,4180,2550,1630,19630,11110,8520,7990,3880,4120,54980,21560,33420
1103,3,Pankow,Bezirk,388390,188440,199950,235590,118710,116880,221880,111330,110560,13710,7390,6320,152800,69730,83070,221880,111330,110560,4450,2390,2060,31070,14430,16640,61870,31520,30350,53370,25970,27400,51150,26210,24940,16890,9000,7900,3080,1810,1270,221880,111330,110560,185660,90280,95380,52170,29450,22710,26760,10580,16180,106730,50240,56480,36230,21050,15180,221880,111330,110560,178860,87510,91350,11290,5490,5800,10190,6660,3540,21020,11480,9550,520,/,320,221880,111330,110560,13760,8290,5470,92170,43220,48960,45670,20650,25020,18390,6950,11440,24470,11290,13170,920,770,/,12950,11060,1890,4460,3930,530,8660,4830,3830,450,350,/,221880,111330,110560,960,680,280,27690,20080,7600,13190,8540,4650,2760,2150,620,11730,9400,2340,193240,90560,102680,24240,12010,12230,36290,22700,13590,7120,3800,3320,25870,14030,11830,19330,8740,10590,80390,29280,51110
1104,4,Charlottenburg-Wilmersdorf,Bezirk,307560,146500,161070,170680,85750,84930,157160,78820,78340,13520,6920,6600,136880,60750,76130,157160,78820,78340,2670,1580,1080,27680,13180,14500,37570,19550,18020,29360,14750,14610,36100,17310,18790,17150,8620,8530,6640,3830,2810,157160,78820,78340,124310,60290,64020,33510,17380,16120,11830,3860,7970,78970,39050,39930,32850,18530,14310,157160,78820,78340,123200,59790,63410,7660,3930,3730,10430,6910,3530,15060,7940,7120,800,260,540,157160,78820,78340,10340,6590,3760,64030,31720,32310,31790,14390,17390,15060,4960,10100,19040,8740,10290,590,530,/,6800,5500,1300,3320,2900,420,5900,3220,2680,290,270,/,157160,78820,78340,810,580,240,18060,12150,5910,9330,6050,3280,1830,1230,600,6900,4860,2040,138280,66100,72180,19290,9900,9390,23150,14890,8260,6600,3500,3090,23810,13040,10760,12350,5670,6680,53090,19100,34000
1105,5,Spandau,Bezirk,229730,111270,118450,112450,59310,53140,102020,53500,48510,10430,5810,4620,117280,51960,65320,102020,53500,48510,2430,1390,1040,18490,9890,8590,23420,12930,10500,20250,10290,9960,24370,12340,12030,10730,5320,5410,2330,1350,980,102020,53500,48510,72820,36840,35980,35150,18600,16550,12510,4620,7890,25160,13610,11540,29200,16670,12540,102020,53500,48510,87430,44750,42680,5860,3290,2580,3830,2660,1170,4610,2670,1940,280,/,/,102020,53500,48510,4190,2730,1470,22160,11050,11110,20920,8730,12190,12370,4320,8060,18720,8830,9890,1030,850,/,9180,7940,1240,5170,4410,750,7960,4390,3570,320,260,/,102020,53500,48510,790,530,260,17250,13290,3960,9700,6920,2790,1630,1330,300,5920,5040,880,83980,39690,44290,14840,7730,7110,12350,9120,3230,2760,1280,1480,8690,4690,4000,10720,5260,5460,34630,11610,23020
1106,6,Steglitz-Zehlendorf,Bezirk,286270,133770,152500,148900,74210,74690,139990,69400,70590,8910,4800,4100,137370,59560,77810,139990,69400,70590,2830,1360,1480,20730,10320,10410,28330,14130,14200,27450,12990,14460,38470,19080,19390,15870,7770,8110,6300,3750,2550,139990,69400,70590,113670,54920,58740,35660,18500,17150,13770,4860,8910,64240,31560,32680,26330,14480,11850,139990,69400,70590,109570,52050,57510,8780,4660,4120,9680,6660,3020,11300,5710,5590,670,320,350,139990,69400,70590,8480,5620,2870,54230,25530,28700,29240,13020,16220,13970,4610,9370,17480,7880,9600,810,700,/,6750,5690,1060,3030,2770,260,5750,3370,2380,240,220,/,139990,69400,70590,760,540,220,17260,12490,4770,9350,6520,2830,1700,1230,470,6210,4750,1460,121980,56370,65610,15660,8010,7640,17250,11640,5610,4150,2220,1930,19780,10720,9060,13970,6570,7410,51170,17210,33960
1107,7,Tempelhof-Schöneberg,Bezirk,319970,155040,164930,174220,89080,85140,160670,81730,78930,13560,7350,6210,145750,65960,79790,160670,81730,78930,3650,1800,1850,28100,13910,14190,38790,20090,18690,31580,16310,15280,38940,19540,19400,15710,7920,7790,3890,2160,1730,160670,81730,78930,124310,61210,63090,42840,23140,19700,15220,6040,9190,66240,32040,34210,36360,20520,15840,160670,81730,78930,131580,65180,66400,8110,3770,4340,7910,5790,2110,12620,6850,5770,460,/,320,160670,81730,78930,8300,5200,3100,57670,27790,29880,32460,14560,17890,15960,5780,10180,22320,11000,11320,900,670,230,9430,7910,1520,4800,4050,740,8560,4540,4030,270,230,/,160670,81730,78930,880,560,320,21640,15670,5970,11960,8350,3610,1990,1480,510,7690,5830,1850,138150,65500,72640,20270,10730,9530,22630,15250,7380,4880,2530,2340,18490,10000,8490,14890,6220,8670,57000,20760,36230
1108,8,Neukölln,Bezirk,298070,146600,151470,157490,84110,73380,141930,75300,66630,15560,8810,6750,140580,62490,78080,141930,75300,66630,2250,1050,1200,26190,13080,13110,44510,23230,21280,28950,16020,12930,26480,14410,12070,11200,6170,5040,2360,1350,1010,141930,75300,66630,102460,51840,50620,35900,20420,15470,12600,5040,7560,53960,26380,27580,39470,23460,16010,141930,75300,66630,117940,60710,57220,4630,2430,2190,6170,4580,1590,12700,7380,5320,500,/,310,141930,75300,66630,6330,3730,2590,45940,22390,23550,27050,12090,14960,13130,4950,8180,20780,10760,10020,880,720,/,10770,9220,1550,6460,5660,800,10480,5680,4800,/,/,/,141930,75300,66630,750,400,350,20750,15780,4970,11090,7750,3340,1630,1250,380,8040,6790,1250,120430,59120,61310,18880,10130,8740,21860,14970,6890,3660,1770,1890,15320,8060,7260,10040,4700,5350,50670,19480,31190
1109,9,Treptow-Köpenick,Bezirk,267990,130230,137760,148740,77480,71260,139670,72650,67010,9070,4830,4250,119250,52750,66500,139670,72650,67010,3010,1620,1390,20510,10870,9650,37480,19470,18010,29890,15620,14260,31970,16040,15930,13480,7040,6440,3330,1990,1350,139670,72650,67010,115240,58160,57080,45800,25340,20460,20820,8540,12290,48620,24290,24330,24420,14490,9930,139670,72650,67010,118220,60200,58020,7440,3910,3520,5360,3680,1680,8160,4620,3540,490,230,260,139670,72650,67010,7380,4760,2610,41500,20560,20940,32670,14740,17930,14090,4420,9670,18900,8320,10580,900,730,/,11870,10630,1240,4660,3870,780,7310,4270,3040,400,350,/,139670,72650,67010,640,490,/,24260,18760,5500,11760,8490,3270,2540,1990,550,9960,8280,1680,114770,53400,61370,16820,8260,8560,20360,13810,6560,4270,1790,2480,13670,7830,5840,13840,6060,7770,45800,15640,30160
1110,10,Marzahn-Hellersdorf,Bezirk,262630,128330,134290,136580,71210,65370,126110,65520,60590,10470,5690,4780,126050,57130,68920,126110,65520,60590,3080,1640,1440,17500,9470,8030,31740,16780,14960,25930,13740,12200,29950,14640,15310,15690,7850,7840,2210,1390,820,126110,65520,60590,98820,50080,48750,51340,28890,22450,21260,8080,13180,26220,13110,13120,27290,15450,11840,126110,65520,60590,110610,56400,54210,6330,3190,3140,4280,2780,1500,4700,3110,1590,/,/,/,126110,65520,60590,4530,2900,1630,23780,10510,13270,26510,11310,15200,14490,5240,9240,24240,10550,13680,880,580,290,13460,12040,1420,6930,5940,980,10880,6120,4760,430,320,/,126110,65520,60590,640,340,300,21990,17250,4730,10010,7160,2850,2190,1720,470,9780,8370,1420,103480,47930,55560,21530,9690,11840,16910,12790,4130,3420,1370,2040,10610,6150,4460,11880,5210,6670,39130,12720,26410
