geo_id,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29
1101,1,Mitte,Bezirk,357319,182387,174931,244085,113234,11354,10598,12694,17796,8346,28165,113400,91286,23117,18280,22284,220601,92491,13182,28702,2345,154267,133756,20511,10679,192373
1102,2,Friedrichshain-Kreuzberg,Bezirk,264033,134035,130001,195916,68114,8333,7874,9362,12367,5563,16444,87510,76244,16208,11328,12799,176057,60575,7386,18980,1031,92303,81987,10318,8115,163616
1103,3,Pankow,Bezirk,400411,194348,206062,341307,59107,12325,12761,16926,23524,9942,20925,98825,124069,26887,21213,33020,231392,117418,17643,32686,1274,80953,72717,8239,8804,310654
1104,4,Charlottenburg-Wilmersdorf,Bezirk,317012,150770,166238,246281,70726,8099,7838,9902,14055,6811,20090,70582,83684,28364,28948,38639,162685,100977,18499,33622,1230,107532,96963,10566,7345,202140
1105,5,Spandau,Bezirk,237759,115185,122573,188963,48795,7384,7742,9966,14368,6689,15324,47865,61791,20416,18909,27306,111666,85270,15946,23597,1276,76468,64333,12138,5206,156088
1106,6,Steglitz-Zehlendorf,Bezirk,295124,137793,157329,252875,42247,7203,7824,10844,16399,7876,17839,50574,80178,26343,27300,42745,133672,111516,20627,28419,883,68113,61140,6969,7031,219980
1107,7,Tempelhof-Schöneberg,Bezirk,331288,160416,170872,269523,61765,9800,9485,11842,16594,7941,20391,72947,89397,29209,27532,36155,167587,111324,19599,31712,1067,95765,84095,11668,8732,226792
1108,8,Neukölln,Bezirk,305022,150204,154818,232619,72406,9282,9007,11449,15942,7618,18450,80954,80515,23341,20911,27549,166541,93961,16946,26528,1046,107171,90362,16812,9574,188276
1109,9,Treptow-Köpenick,Bezirk,275537,133941,141595,243833,31703,8480,8617,10486,13785,6132,15355,62290,74128,22768,18980,34506,137414,93646,17954,25374,1150,44746,39351,5397,3679,227113
1110,10,Marzahn-Hellersdorf,Bezirk,270010,132017,137991,234644,35366,8329,8643,11577,15711,6819,14822,54480,69081,29394,26118,25048,126605,99564,15819,26895,1127,57340,46865,10479,2486,210179
1111,11,Lichtenberg,Bezirk,290543,142883,147662,236541,54003,9776,9803,11787,15089,6656,17593,74415,70968,23659,20439,30360,156038,89697,16704,26394,1709,77107,64167,12942,3522,209913
1112,12,Reinickendorf,Bezirk,252941,123026,129916,207430,45511,7170,7815,9972,14384,6946,15812,48262,65801,22645,21712,32421,115412,93866,17763,24918,979,69412,58307,11106,5894,177634
