geo_id,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_31,column_32,column_33,column_34,column_35,column_36,column_37,column_38,column_39,column_40,column_41,column_42,column_43,column_44,column_45,column_46,column_47,column_48,column_49,column_50,column_51,column_52,column_53,column_54,column_55,column_56,column_57,column_58,column_59,column_60,column_61,column_62,column_63,column_64,column_65,column_66,column_67,column_68,column_69,column_70,column_71,column_72,column_73,column_74,column_75,column_76,column_77,column_78,column_79,column_80,column_81,column_82,column_83,column_84,column_85,column_86,column_87,column_88,column_89,column_90,column_91,column_92
1101,1,Mitte,Bezirk,211686,205337,200448,4891,6350,850,552,6394,56228,147664,80206,13269,19374,24660,20381,20053,11060,4811,5173,12701,44747,43243,14067,36953,49208,14803,4785,3882,109507,24239,2531,73697,1561,151,82440,15050,1035,855,955,1053,641,109507,151,16107,190337,509,4736,4518,39351,74561,29684,16277,8571,5896,4604,2714,4153,30017,67979,61306,30161,12274,4968,2305,1051,622,1003,19061,53938,74675,46501,13330,3185,995,8.3,2.15,8.02,66.91,4736,1797,879,804,1252,2917,1045,87,271,45,370
1102,2,Friedrichshain-Kreuzberg,Bezirk,157555,152691,151189,1500,4867,508,321,4856,41131,110747,82224,2522,17351,15175,14975,9590,5190,1944,3503,5079,39651,37591,5859,29112,32781,10066,946,1548,69303,24872,2020,59746,1606,11,79422,6539,292,351,155,908,575,69303,11,13217,140960,199,3181,4394,30876,52673,22547,12766,7880,4352,2102,1133,2238,21419,48215,45138,24723,10224,4287,1860,845,353,499,10205,37438,58616,37458,10824,2294,724,8.19,1.9,8.84,67.86,3181,1213,644,469,856,2085,566,149,32,32,318
1103,3,Pankow,Bezirk,224212,220585,219960,627,3629,20073,3087,15419,91314,94323,83225,39226,12245,17157,10475,9472,28631,8351,6984,8457,48577,59318,23339,40269,36492,11831,2958,1431,79218,37409,6015,98727,2645,201,137642,2603,761,14,2172,957,648,79218,201,35604,183936,381,4292,4733,42699,64139,35750,18823,9184,4660,1745,1055,1152,18854,71673,63433,33254,17722,10068,4635,2021,1092,1463,8168,40184,81272,62436,22697,6497,2959,8.05,1.9,16.400000000000002,73.01,4292,1709,593,514,1478,2543,1119,66,119,70,376
1104,4,Charlottenburg-Wilmersdorf,Bezirk,194159,189932,185868,4068,4224,3945,1352,12765,59391,116707,71076,28735,30229,27097,14889,8951,4692,1729,2566,4193,60302,48742,8224,16513,39553,12530,4241,4055,110655,20271,1751,60651,723,106,59990,21344,410,24,575,734,316,110655,106,31643,157028,663,4821,3943,19847,63398,36555,17296,7504,3954,2103,1091,1346,21885,52937,52640,28380,14658,9438,4994,3422,1920,3883,12135,40616,66041,46857,17590,6808,4111,8.43,2.39,17.37,77.7,4821,1814,787,728,1491,2832,1167,120,200,95,408
1105,5,Spandau,Bezirk,126796,125918,124695,1221,880,17761,2984,12435,43134,50481,15556,23034,12597,25349,23015,6114,10691,3338,2026,5079,16648,35810,6461,24681,30849,3803,6039,2508,37740,13401,4731,64668,6104,151,61423,17903,2267,12,1086,6167,50,37740,151,22762,100828,179,3028,2189,28826,45448,16446,5028,1288,659,415,131,391,10406,35440,41573,20006,7907,5251,2745,1338,800,1340,5853,22576,44152,33134,13315,4713,3060,7.15,2.25,18.57,74.01,3028,1222,588,494,724,2021,611,34,111,70,184
1106,6,Steglitz-Zehlendorf,Bezirk,162192,160215,157631,2585,1975,22824,5161,32189,62315,39702,28288,34629,24452,27373,19747,9095,8593,4209,2703,3093,41480,54551,11233,8973,31838,7649,2950,3524,48954,17423,2949,91919,798,149,74135,34604,689,902,1554,1193,16,48954,149,43225,114678,371,3919,3095,18399,45493,27864,11459,4248,1744,636,268,1461,14150,35761,43606,26622,15063,9945,5920,3480,2200,5437,8490,24332,49633,41202,20412,9493,8627,8.01,2.41,28.02,85.95,3919,1364,626,615,1316,2266,997,47,150,99,363
1107,7,Tempelhof-Schöneberg,Bezirk,186619,184271,182256,2012,2346,13387,3053,17068,61626,91484,51013,27869,25589,29669,27254,9971,9147,1592,1433,3092,40139,51951,16961,29185,35580,8215,1833,2762,29822,27272,8140,119658,1637,90,117427,35636,295,15,1008,1901,428,29822,90,31117,151992,314,3198,3194,33580,68028,28552,10668,4354,1705,816,282,811,18803,52350,55218,29438,13658,7782,4299,2345,1203,1524,10114,37898,63270,47328,18413,6021,3571,7.56,1.71,17.31,73.77,3198,1274,540,377,1005,1922,728,27,94,69,359
1108,8,Neukölln,Bezirk,167353,164524,163516,1007,2825,15693,2898,12850,48895,87011,55620,19798,11596,28157,27966,9256,9009,1530,1147,3277,23608,51127,14259,25788,42349,7167,2373,675,72246,26481,1961,64236,2289,136,72286,18989,563,78,581,1807,666,72246,136,23799,139807,167,3577,3511,35806,63538,20207,8672,4168,2035,869,441,551,18231,47984,54453,26645,10192,5121,2211,1051,567,895,8749,35791,61527,40524,14058,4171,2531,7.4,2.07,14.77,69.82,3577,1455,562,512,1046,2154,964,28,101,61,267
1109,9,Treptow-Köpenick,Bezirk,151369,148120,147143,976,3249,24677,3866,17250,65565,40010,25659,30724,10309,23135,6020,9435,21765,5987,5009,13323,19071,45106,27211,35931,17373,4430,1806,433,57815,20424,3401,68396,1101,233,86817,2472,611,94,2049,794,481,57815,233,28285,120301,246,2536,2985,31221,50215,18025,8584,4164,2129,1249,948,784,11546,50658,43605,21151,10892,7009,3241,1454,729,1077,5401,21728,53881,45669,16930,5028,2734,7.45,1.66,19.45,73.37,2536,1099,420,306,714,1493,481,42,148,69,300
1110,10,Marzahn-Hellersdorf,Bezirk,140979,139033,138074,961,1943,23349,3604,5507,40776,67744,1770,7715,1821,858,13126,82170,16372,6176,2675,8300,6102,30488,31385,41546,23249,2367,5779,74,105853,4917,930,28079,1031,172,30148,2116,277,12,1864,443,96,105853,172,25563,113257,119,2036,3024,58253,38357,8408,3652,1110,217,75,51,112,16434,31479,50198,21943,9826,6016,2719,1100,587,673,4985,22586,36521,46686,22656,5332,2221,6.29,1.4200000000000002,18.72,72.72,2036,1181,307,213,338,1362,233,23,42,56,323
