scope,name,party_code,party,vote_type,before_commit,after_commit,votes_1935,votes_2211,delta
lsa:KREIS:15082,Anhalt-Bitterfeld,D1,CDU,Erststimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,7535,20977,13442
lsa:KREIS:15082,Anhalt-Bitterfeld,D2,AfD,Erststimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,20420,47124,26704
lsa:KREIS:15082,Anhalt-Bitterfeld,D3,Die Linke,Erststimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,2910,8468,5558
lsa:KREIS:15082,Anhalt-Bitterfeld,D4,SPD,Erststimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,2144,6030,3886
lsa:KREIS:15082,Anhalt-Bitterfeld,D5,FDP,Erststimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,1143,3002,1859
lsa:KREIS:15082,Anhalt-Bitterfeld,D6,GRÜNE,Erststimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,873,2666,1793
lsa:KREIS:15082,Anhalt-Bitterfeld,D7,FREIE WÄHLER,Erststimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,713,1951,1238
lsa:KREIS:15082,Anhalt-Bitterfeld,D15,BSW,Erststimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,428,1321,893
lsa:KREIS:15082,Anhalt-Bitterfeld,F1,CDU,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,5718,15954,10236
lsa:KREIS:15082,Anhalt-Bitterfeld,F2,AfD,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,19940,45952,26012
lsa:KREIS:15082,Anhalt-Bitterfeld,F3,Die Linke,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,2458,6971,4513
lsa:KREIS:15082,Anhalt-Bitterfeld,F4,SPD,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,2195,6544,4349
lsa:KREIS:15082,Anhalt-Bitterfeld,F5,FDP,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,902,2424,1522
lsa:KREIS:15082,Anhalt-Bitterfeld,F6,GRÜNE,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,1700,5087,3387
lsa:KREIS:15082,Anhalt-Bitterfeld,F7,FREIE WÄHLER,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,529,1434,905
lsa:KREIS:15082,Anhalt-Bitterfeld,F8,dieBasis,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,39,93,54
lsa:KREIS:15082,Anhalt-Bitterfeld,F9,Tierschutzpartei,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,414,1097,683
lsa:KREIS:15082,Anhalt-Bitterfeld,F10,Gartenpartei,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,162,429,267
lsa:KREIS:15082,Anhalt-Bitterfeld,F11,Die PARTEI,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,94,220,126
lsa:KREIS:15082,Anhalt-Bitterfeld,F12,TIERSCHUTZALLIANZ,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,230,518,288
lsa:KREIS:15082,Anhalt-Bitterfeld,F15,BSW,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,1721,4642,2921
lsa:KREIS:15082,Anhalt-Bitterfeld,F19,PdF,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,53,144,91
lsa:KREIS:15082,Anhalt-Bitterfeld,F20,Volt,Zweitstimmen,54022b534f45331a7c3b6d920ff9a1ddd2a52510,ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,115,287,172
