row,name,field,mode,geographic_level,observed,median,mad,z,n,external_level,recomputed_level,match
GEM:15001000:TOTAL,"Dessau-Roßlau, Stadt",Ungültige Zweitstimmen,TOTAL,GEMEINDE,1.0046088821867765,1.0165888822143154,0.07158076064282737,-0.11288507197379256,27,neutral,neutral,True
GEM:15081135:TOTAL,"Gardelegen, Hansestadt",Ungültige Zweitstimmen,TOTAL,GEMEINDE,1.0397862661564012,1.0165888822143154,0.07158076064282737,0.21858416943960568,27,neutral,neutral,True
GEM:15081455:TOTAL,"Salzwedel, Hansestadt",Ungültige Zweitstimmen,TOTAL,GEMEINDE,1.0476958018902485,1.0165888822143154,0.07158076064282737,0.29311409502743135,27,neutral,neutral,True
GEM:15082015:TOTAL,"Bitterfeld-Wolfen, Stadt",Ungültige Zweitstimmen,TOTAL,GEMEINDE,1.0165888822143154,1.0165888822143154,0.07158076064282737,0.0,27,neutral,neutral,True
GEM:15082180:TOTAL,"Köthen (Anhalt), Stadt",Ungültige Zweitstimmen,TOTAL,GEMEINDE,1.0881696428571428,1.0165888822143154,0.07158076064282737,0.6744907594765952,27,neutral,neutral,True
GEM:15082430:TOTAL,"Zerbst/Anhalt, Stadt",Ungültige Zweitstimmen,TOTAL,GEMEINDE,1.0045164304625447,1.0165888822143154,0.07158076064282737,-0.11375622552304256,27,neutral,neutral,True
GEM:15083270:TOTAL,"Haldensleben, Stadt",Ungültige Zweitstimmen,TOTAL,GEMEINDE,1.0122726865537939,1.0165888822143154,0.07158076064282737,-0.04067062242662099,27,neutral,neutral,True
GEM:15083298:TOTAL,Hohe Börde,Ungültige Zweitstimmen,TOTAL,GEMEINDE,0.8844621513944223,1.0165888822143154,0.07158076064282737,-1.2450029619348466,27,neutral,neutral,True
GEM:15083415:TOTAL,"Oschersleben (Bode), Stadt",Ungültige Zweitstimmen,TOTAL,GEMEINDE,0.978996084015664,1.0165888822143154,0.07158076064282737,-0.3542291920363878,27,neutral,neutral,True
GEM:15084355:TOTAL,"Naumburg (Saale), Stadt",Ungültige Zweitstimmen,TOTAL,GEMEINDE,0.8259343382201115,1.0165888822143154,0.07158076064282737,-1.796498486764825,27,neutral,neutral,True
