arrival_definition,level,bin_start,n,median,q25,q75,min,max,box_shown
first_positive_result,GEMEINDE,2026-09-06T18:30:00+02:00,10,61.881038647343,55.86519364448858,65.65040650406505,46.21848739495798,69.33333333333333,True
first_positive_result,GEMEINDE,2026-09-06T19:00:00+02:00,106,51.738614288797756,46.806735890837274,57.35964912280702,12.605042016806722,71.12068965517241,True
first_positive_result,GEMEINDE,2026-09-06T19:30:00+02:00,54,58.090087539296356,54.33036865171436,60.91348098705502,33.333333333333336,69.14600550964187,True
first_positive_result,GEMEINDE,2026-09-06T20:00:00+02:00,33,55.4140127388535,52.23681281994213,58.93909626719057,31.972789115646258,70.50691244239631,True
first_positive_result,GEMEINDE,2026-09-06T20:30:00+02:00,12,51.72336437982735,49.32712882231883,55.600300928728316,44.584837545126355,57.83898305084746,True
first_positive_result,GEMEINDE,2026-09-06T22:00:00+02:00,2,48.34735553200696,48.054773290385576,48.63993777362833,47.762191048764194,48.932520015249715,False
first_positive_result,GEMEINDE,2026-09-06T23:30:00+02:00,1,41.262135922330096,41.262135922330096,41.262135922330096,41.262135922330096,41.262135922330096,False
first_positive_result,WAHLKREIS,2026-09-06T18:30:00+02:00,4,58.83974169585953,53.66820427505545,63.7828765227021,48.611111111111114,68.1547619047619,False
first_positive_result,WAHLKREIS,2026-09-06T19:00:00+02:00,26,53.22258586591946,49.96647717536513,56.3103033066322,12.605042016806722,61.03351955307262,True
first_positive_result,WAHLKREIS,2026-09-06T19:30:00+02:00,9,53.218210361067506,39.0119809617594,57.822835777969516,28.952291861552855,59.07990314769976,True
first_positive_result,WAHLKREIS,2026-09-06T20:00:00+02:00,2,54.11127308308663,52.77265374995632,55.44989241621694,51.434034416826,56.78851174934726,False
first_positive_result,KREIS,2026-09-06T18:30:00+02:00,2,60.22742831507284,57.40103357968731,63.053823050458384,54.57463884430177,65.88021778584393,False
first_positive_result,KREIS,2026-09-06T19:00:00+02:00,11,52.566807313642755,49.24917988360778,54.12218886233305,12.605042016806722,57.872727272727275,True
first_positive_result,KREIS,2026-09-06T19:30:00+02:00,1,57.18609406952965,57.18609406952965,57.18609406952965,57.18609406952965,57.18609406952965,False
first_complete_result,GEMEINDE,2026-09-06T19:00:00+02:00,2,48.568177270908365,47.66844237695078,49.46791216486595,46.7687074829932,50.36764705882353,False
first_complete_result,GEMEINDE,2026-09-06T19:30:00+02:00,8,48.872847011144884,47.134387351778656,50.455251270468665,43.276661514683155,55.44692737430167,True
first_complete_result,GEMEINDE,2026-09-06T20:00:00+02:00,25,50.07256894049347,46.54300168634064,53.02197802197802,42.2879177377892,56.74342105263158,True
first_complete_result,GEMEINDE,2026-09-06T20:30:00+02:00,35,50.62611806797853,48.00277770704422,53.789011264562916,40.90419806243273,58.854166666666664,True
first_complete_result,GEMEINDE,2026-09-06T21:00:00+02:00,14,49.24426466031999,47.746267400089806,51.01867637617107,42.21773029165463,58.297258297258296,True
first_complete_result,GEMEINDE,2026-09-06T22:00:00+02:00,57,49.02010367935264,47.266577519074964,52.71659324522761,37.2382851445663,64.74358974358974,True
first_complete_result,GEMEINDE,2026-09-06T22:30:00+02:00,8,45.30658264820771,43.50931074359218,47.392274779393674,41.585583116349184,50.52345058626466,True
first_complete_result,GEMEINDE,2026-09-06T23:00:00+02:00,6,52.334813782222724,48.30409172572443,53.23634548981717,42.9316338354577,54.06,True
first_complete_result,GEMEINDE,2026-09-06T23:30:00+02:00,24,47.41359736615904,41.94414890123603,50.930540746708225,39.694014794889036,55.22552255225523,True
first_complete_result,GEMEINDE,2026-09-07T00:00:00+02:00,9,47.396436010182825,41.13656259118763,48.39931805266149,32.60227691108207,53.89511201629328,True
first_complete_result,GEMEINDE,2026-09-07T00:30:00+02:00,11,45.867418899858954,43.88659025797482,52.49243253953452,34.357848518111965,56.74684060334285,True
first_complete_result,GEMEINDE,2026-09-07T01:00:00+02:00,6,51.518091511753035,48.410855137340405,52.55601567239178,46.29300597641738,53.93756651294785,True
first_complete_result,GEMEINDE,2026-09-07T01:30:00+02:00,8,50.747989982865434,48.682338772292056,54.7254249918181,29.856171724515264,62.814070351758794,True
first_complete_result,GEMEINDE,2026-09-07T02:00:00+02:00,4,49.33461698599204,46.70639886932916,52.139769333994906,46.44964394710071,52.92732695024329,False
first_complete_result,GEMEINDE,2026-09-07T03:00:00+02:00,1,46.56042496679947,46.56042496679947,46.56042496679947,46.56042496679947,46.56042496679947,False
first_complete_result,WAHLKREIS,2026-09-06T21:00:00+02:00,1,38.84615384615385,38.84615384615385,38.84615384615385,38.84615384615385,38.84615384615385,False
first_complete_result,WAHLKREIS,2026-09-06T22:00:00+02:00,7,46.80646929824562,43.79032744215277,48.89320781607652,35.13406628173693,49.36443331246086,True
first_complete_result,WAHLKREIS,2026-09-06T23:00:00+02:00,2,34.760503082889066,29.16436988342409,40.356636282354046,23.568236683959114,45.95276948181902,False
first_complete_result,WAHLKREIS,2026-09-06T23:30:00+02:00,2,42.01186234604212,42.001569387112056,42.022155304972195,41.99127642818198,42.03244826390227,False
first_complete_result,WAHLKREIS,2026-09-07T00:00:00+02:00,8,41.69623847493034,37.337630832543326,44.20882271321852,18.33325070645977,45.505602586230516,True
first_complete_result,WAHLKREIS,2026-09-07T00:30:00+02:00,7,45.62068575308363,42.643147713583204,48.61262106885704,39.46295697185377,53.35164337669393,True
first_complete_result,WAHLKREIS,2026-09-07T01:00:00+02:00,3,52.40735430009878,49.68819397577977,52.94226740576606,46.96903365146076,53.47718051143333,False
first_complete_result,WAHLKREIS,2026-09-07T01:30:00+02:00,6,47.97176122900825,45.01428886881514,49.8988259816897,24.800947736727554,54.07204850790632,True
first_complete_result,WAHLKREIS,2026-09-07T02:00:00+02:00,4,49.05222533824576,48.99334465743313,49.98012022093182,48.874949646083905,52.70555783790129,False
first_complete_result,WAHLKREIS,2026-09-07T04:00:00+02:00,1,48.43217075585873,48.43217075585873,48.43217075585873,48.43217075585873,48.43217075585873,False
first_complete_result,KREIS,2026-09-06T23:30:00+02:00,1,41.99073340725487,41.99073340725487,41.99073340725487,41.99073340725487,41.99073340725487,False
first_complete_result,KREIS,2026-09-07T00:00:00+02:00,3,38.90581420296074,35.754045557021406,42.38225092536317,32.60227691108207,45.85868764776559,False
first_complete_result,KREIS,2026-09-07T00:30:00+02:00,3,49.174106448502194,47.25543741708783,50.5172930639405,45.336768385673466,51.8604796793788,False
first_complete_result,KREIS,2026-09-07T01:00:00+02:00,2,47.16140277686226,45.21262368809073,49.110181865633784,43.2638445993192,51.058960954405315,False
first_complete_result,KREIS,2026-09-07T01:30:00+02:00,3,44.49003928170595,37.173105503110605,45.455982096294846,29.856171724515264,46.42192491088375,False
first_complete_result,KREIS,2026-09-07T02:00:00+02:00,1,49.31544142830797,49.31544142830797,49.31544142830797,49.31544142830797,49.31544142830797,False
first_complete_result,KREIS,2026-09-07T04:00:00+02:00,1,49.71671388101983,49.71671388101983,49.71671388101983,49.71671388101983,49.71671388101983,False
