relation,parent,name,field,child_count,missing_children,children_sum,parent_value,delta
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D5,14,0,41113,41113,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D6,14,0,45310,45310,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D7,14,7,14464,14464,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D9,14,13,1129,1129,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F1,14,0,226622,226622,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F10,14,0,7482,7482,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F11,14,0,3487,3487,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F12,14,0,7283,7283,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F15,14,0,69291,69291,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F19,14,0,2778,2778,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F2,14,0,576037,576037,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F20,14,0,4339,4339,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F3,14,0,112541,112541,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F4,14,0,122303,122303,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F5,14,0,33969,33969,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F6,14,0,117498,117498,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F7,14,0,15430,15430,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F8,14,0,1899,1899,0
KREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F9,14,0,14356,14356,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,reported_precincts,41,41,0,,
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,total_precincts,41,41,0,,
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,voters_total,41,0,1328211,1328211,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,valid_votes_erst,41,0,1312734,1312734,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,valid_votes_zweit,41,0,1315315,1315315,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D1,41,0,314535,314535,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D10,41,37,2937,2937,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D11,41,39,777,777,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D12,41,39,999,999,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D13,41,40,325,325,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D15,41,14,41782,41782,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D19,41,36,2680,2680,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D2,41,0,581945,581945,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D20,41,39,768,768,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D21,41,35,3184,3184,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D3,41,0,157905,157905,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D4,41,0,102881,102881,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D5,41,0,41113,41113,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D6,41,0,45310,45310,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D7,41,30,14464,14464,0
WAHLKREIS->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D9,41,40,1129,1129,0
