commit,commit_time,acquired_at_utc,phase,included,note,normalized_area_rows,areas_with_data,retained_raw_area_rows
981ade8664de6a1a58c484594d56eda7414eb9c6,2026-03-23T09:39:30+01:00,,setup,False,Initial setup only. The official 2026 Sachsen-Anhalt live results endpoint is not confirmed yet.,,,
0ed7fbfc3e0068987b76e0f4aeac5369a21177aa,2026-08-05T09:59:39+02:00,,setup,False,Initial setup only. The official result presentation is configured; the portal says empty CSV downloads will be published in the second half of August.,,,
355c37f89c5aa7310907c2922bc2607388fafd2c,2026-08-20T13:00:49+02:00,2026-08-20T10:54:58.222512+00:00,pre_opening,True,,274,0,0
acfbf5e832d70c088309e2e01cf3a469a6613176,2026-09-06T10:20:14Z,2026-09-06T10:20:14.222877+00:00,pre_opening,True,,274,0,822
d4f188f59d08ad034c9acc3935e0eeb5d7a25b93,2026-09-06T10:35:00Z,2026-09-06T10:34:59.365473+00:00,pre_opening,True,,274,0,822
2ef63b72a9e9398349c2c6c610abcda9fffe532e,2026-09-06T16:05:43Z,2026-09-06T16:05:42.132776+00:00,election_night,True,,274,0,822
053a4939f9d5b219a4e3d64b638b53c21a808933,2026-09-06T16:13:40Z,2026-09-06T16:13:39.955412+00:00,election_night,True,,274,0,822
80f3f58f23b32a844025cfe3b74f460f82133bae,2026-09-06T16:26:11Z,2026-09-06T16:26:10.355645+00:00,election_night,True,,274,0,822
7873490a99fa2c6e39b9618a6a4f218016e3b561,2026-09-06T16:26:37Z,2026-09-06T16:26:36.247903+00:00,election_night,True,,274,0,822
090c55727349adcf25c243dee770737bef332023,2026-09-06T16:39:35Z,2026-09-06T16:39:34.212928+00:00,election_night,True,,274,17,822
90f55ca78c0f49447c122088d68bcf2b7d83e8e4,2026-09-06T16:52:07Z,2026-09-06T16:52:05.545296+00:00,election_night,True,,274,17,822
1379df96d853ed076e00ca73aab6e7f3674e6a3b,2026-09-06T16:57:28Z,2026-09-06T16:57:26.998456+00:00,election_night,True,,274,17,822
b5182d117e784f0de6c964ab7845df493324d1bd,2026-09-06T17:03:11Z,2026-09-06T17:03:10.783828+00:00,election_night,True,,274,17,822
a9a23b89f2ebfa668d402614ab5bfbcb724b9429,2026-09-06T17:05:32Z,2026-09-06T17:05:31.763958+00:00,election_night,True,,274,17,822
433d5880f0a7c28d7dd90ec2f8669ae591d6993e,2026-09-06T17:06:50Z,2026-09-06T17:06:49.423839+00:00,election_night,True,,274,17,822
e12627e5ac88f1ec1551ac3449d031adb9e8dc43,2026-09-06T17:12:38Z,2026-09-06T17:12:36.679481+00:00,election_night,True,,274,17,822
71dda051e5cc91d02348db3b76c32882bd1f3383,2026-09-06T17:14:11Z,2026-09-06T17:14:09.430472+00:00,election_night,True,,274,17,822
495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T17:19:42Z,2026-09-06T17:19:41.198663+00:00,election_night,True,,274,160,822
