arrival_definition,key,level,name,commit,time_local,valid_votes_zweit,afd_votes,afd_share,reported,total,completion_evidence
first_positive_result,lsa:GEMEINDE:15083320,GEMEINDE,Hötensleben,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,292,152,52.054794520547944,1,5,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15083323,GEMEINDE,Ingersleben,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,646,315,48.76160990712074,4,5,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15083411,GEMEINDE,"Oebisfelde-Weferlingen, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,341,160,46.9208211143695,4,28,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15083415,GEMEINDE,"Oschersleben (Bode), Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,1204,755,62.70764119601329,6,21,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15083485,GEMEINDE,Sommersdorf,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,428,234,54.67289719626168,2,4,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15083490,GEMEINDE,Sülzetal,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,187,111,59.35828877005348,1,9,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15083505,GEMEINDE,Ummendorf,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,465,241,51.82795698924731,1,2,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15083531,GEMEINDE,"Wanzleben-Börde, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,1172,608,51.877133105802045,6,18,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15083557,GEMEINDE,Westheide,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,135,83,61.48148148148148,1,5,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15083565,GEMEINDE,"Wolmirstedt, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,184,80,43.47826086956522,1,12,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15083580,GEMEINDE,Zielitz,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,167,93,55.68862275449102,1,3,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15084025,GEMEINDE,Balgstädt,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,247,114,46.15384615384615,2,4,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15084130,GEMEINDE,Elsteraue,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,521,330,63.339731285988485,2,13,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15084135,GEMEINDE,"Freyburg (Unstrut), Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,208,107,51.44230769230769,2,7,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15084150,GEMEINDE,Gleina,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,243,139,57.20164609053498,2,4,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15084235,GEMEINDE,"Hohenmölsen, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,333,186,55.85585585585586,2,13,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15084250,GEMEINDE,Karsdorf,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,144,61,42.361111111111114,1,4,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15084315,GEMEINDE,"Lützen, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,1309,771,58.89992360580596,8,22,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15084355,GEMEINDE,"Naumburg (Saale), Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,896,480,53.57142857142857,5,31,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15084490,GEMEINDE,"Teuchern, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,663,445,67.11915535444948,2,11,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15084550,GEMEINDE,"Weißenfels, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,892,532,59.64125560538117,3,39,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15084590,GEMEINDE,"Zeitz, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,44,18,40.90909090909091,1,29,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15085040,GEMEINDE,"Ballenstedt, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,216,134,62.03703703703704,1,9,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15085145,GEMEINDE,"Harzgerode, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,1640,929,56.646341463414636,5,13,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15085185,GEMEINDE,Huy,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,1372,723,52.69679300291545,6,12,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15085190,GEMEINDE,"Ilsenburg (Harz), Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,540,241,44.629629629629626,1,9,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15085227,GEMEINDE,Nordharz,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,473,244,51.58562367864693,2,9,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15085230,GEMEINDE,"Osterwieck, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,862,397,46.05568445475638,6,21,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15085287,GEMEINDE,Selke-Aue,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,197,114,57.868020304568525,1,4,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15085365,GEMEINDE,"Wegeleben, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,318,187,58.80503144654088,3,5,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15086055,GEMEINDE,"Gommern, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,1173,551,46.97357203751066,6,15,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15087031,GEMEINDE,"Arnstein, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,1267,709,55.95895816890292,6,13,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15087075,GEMEINDE,Bornstedt,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,104,30,28.846153846153847,1,2,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15087101,GEMEINDE,Brücken-Hackpfüffel,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,120,69,57.5,1,3,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15087220,GEMEINDE,"Hettstedt, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,2394,1445,60.35923141186299,5,15,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15087250,GEMEINDE,"Kelbra (Kyffhäuser), Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,1282,585,45.63182527301092,4,6,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15087260,GEMEINDE,Klostermansfeld,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,325,91,28.0,1,2,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15087275,GEMEINDE,"Mansfeld, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,1033,575,55.663117134559535,6,17,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15087440,GEMEINDE,Wallhausen,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,1094,615,56.215722120658135,3,5,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15087470,GEMEINDE,Wimmelburg,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,230,68,29.565217391304348,1,2,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15089015,GEMEINDE,"Aschersleben, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,383,224,58.485639686684074,2,26,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15089030,GEMEINDE,"Bernburg (Saale), Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,4548,2435,53.54001759014952,9,27,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15089055,GEMEINDE,"Calbe (Saale), Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,261,131,50.191570881226056,2,8,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15089165,GEMEINDE,"Güsten, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,252,169,67.06349206349206,1,6,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15089245,GEMEINDE,Plötzkau,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,232,165,71.12068965517241,2,4,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15089307,GEMEINDE,"Seeland, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,83,41,49.397590361445786,1,7,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15089310,GEMEINDE,"Staßfurt, Salzstadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,919,543,59.08596300326442,2,19,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15090003,GEMEINDE,Aland,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,152,56,36.8421052631579,1,5,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15090007,GEMEINDE,Altmärkische Höhe,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,522,297,56.89655172413793,3,6,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15090010,GEMEINDE,"Arneburg, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,51,22,43.13725490196079,1,3,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15090135,GEMEINDE,Eichstedt (Altmark),495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,588,275,46.7687074829932,4,4,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15090225,GEMEINDE,"Havelberg, Hansestadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,501,288,57.48502994011976,5,10,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15090270,GEMEINDE,Iden,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,379,189,49.86807387862797,2,3,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15090285,GEMEINDE,Kamern,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,112,61,54.464285714285715,1,4,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15090415,GEMEINDE,"Osterburg (Altmark), Hansestadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,667,323,48.425787106446776,4,15,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15090435,GEMEINDE,Rochau,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,242,125,51.65289256198347,1,3,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15090445,GEMEINDE,"Sandau (Elbe), Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,132,40,30.303030303030305,1,2,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15090500,GEMEINDE,Schönhausen (Elbe),495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,205,106,51.707317073170735,1,4,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15090535,GEMEINDE,"Stendal, Hansestadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,1070,528,49.345794392523366,7,42,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15090631,GEMEINDE,Wust-Fischbeck,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,455,182,40.0,2,4,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15090635,GEMEINDE,Zehrental,495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,77,22,28.571428571428573,1,3,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15091010,GEMEINDE,"Annaburg, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,898,553,61.58129175946548,7,14,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15091020,GEMEINDE,"Bad Schmiedeberg, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,674,368,54.59940652818991,3,13,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15091060,GEMEINDE,"Coswig (Anhalt), Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,985,487,49.441624365482234,8,25,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15091145,GEMEINDE,"Jessen (Elster), Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,2208,1187,53.75905797101449,14,23,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15091160,GEMEINDE,"Kemberg, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,1464,741,50.614754098360656,7,17,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15091375,GEMEINDE,"Wittenberg, Lutherstadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,1842,925,50.2171552660152,8,49,CSV Ist=Soll>0
first_positive_result,lsa:GEMEINDE:15091391,GEMEINDE,"Zahna-Elster, Stadt",495732d5be6de63f6340e975915eccf6e9079367,2026-09-06T19:19:41.198663+02:00,461,224,48.590021691973966,4,14,CSV Ist=Soll>0
