row,name,field,mode,geographic_level,observed,median,mad,z,n,external_level,recomputed_level,match
WBZ:011:15003:15003000:002411:U,"Magdeburg, Landeshauptstadt / 002411",GRÜNE,U,WAHLBEZIRK,26.20689655172414,5.184758491210104,1.7994485415660688,7.879768461685317,1998,orange,orange,True
WBZ:011:15003:15003000:002412:U,"Magdeburg, Landeshauptstadt / 002412",GRÜNE,U,WAHLBEZIRK,24.091778202676863,5.184758491210104,1.7994485415660688,7.086954580833699,1998,orange,orange,True
WBZ:011:15003:15003000:002413:U,"Magdeburg, Landeshauptstadt / 002413",GRÜNE,U,WAHLBEZIRK,30.79646017699115,5.184758491210104,1.7994485415660688,9.600083426945936,1998,orange,orange,True
WBZ:011:15003:15003000:002414:U,"Magdeburg, Landeshauptstadt / 002414",GRÜNE,U,WAHLBEZIRK,28.74493927125506,5.184758491210104,1.7994485415660688,8.831107898149886,1998,orange,orange,True
WBZ:011:15003:15003000:002415:U,"Magdeburg, Landeshauptstadt / 002415",GRÜNE,U,WAHLBEZIRK,30.923076923076923,5.184758491210104,1.7994485415660688,9.647543425527235,1998,orange,orange,True
WBZ:011:15003:15003000:002416:U,"Magdeburg, Landeshauptstadt / 002416",GRÜNE,U,WAHLBEZIRK,29.593810444874276,5.184758491210104,1.7994485415660688,9.149291913622713,1998,orange,orange,True
WBZ:013:15003:15003000:003604:U,"Magdeburg, Landeshauptstadt / 003604",GRÜNE,U,WAHLBEZIRK,26.923076923076923,5.184758491210104,1.7994485415660688,8.148215728410468,1998,orange,orange,True
WBZ:013:15003:15003000:003605:U,"Magdeburg, Landeshauptstadt / 003605",GRÜNE,U,WAHLBEZIRK,21.755725190839694,5.184758491210104,1.7994485415660688,6.211327335188571,1998,orange,orange,True
WBZ:013:15003:15003000:004401:U,"Magdeburg, Landeshauptstadt / 004401",GRÜNE,U,WAHLBEZIRK,25.177809388335703,5.184758491210104,1.7994485415660688,7.494033739981415,1998,orange,orange,True
WBZ:013:15003:15003000:004402:U,"Magdeburg, Landeshauptstadt / 004402",GRÜNE,U,WAHLBEZIRK,29.62962962962963,5.184758491210104,1.7994485415660688,9.162718087570674,1998,orange,orange,True
WBZ:013:15003:15003000:004403:U,"Magdeburg, Landeshauptstadt / 004403",GRÜNE,U,WAHLBEZIRK,24.79627473806752,5.184758491210104,1.7994485415660688,7.351022372842203,1998,orange,orange,True
WBZ:027:15001:15001000:000017:U,"Dessau-Roßlau, Stadt / 000017",GRÜNE,U,WAHLBEZIRK,21.350762527233115,5.184758491210104,1.7994485415660688,6.0595344007276895,1998,orange,orange,True
WBZ:036:15002:15002000:010201:U,"Halle (Saale), Stadt / 010201",GRÜNE,U,WAHLBEZIRK,24.042879019908117,5.184758491210104,1.7994485415660688,7.06862560606081,1998,orange,orange,True
WBZ:036:15002:15002000:010202:U,"Halle (Saale), Stadt / 010202",GRÜNE,U,WAHLBEZIRK,30.697050938337803,5.184758491210104,1.7994485415660688,9.562821670730372,1998,orange,orange,True
WBZ:036:15002:15002000:010203:U,"Halle (Saale), Stadt / 010203",GRÜNE,U,WAHLBEZIRK,36.32336655592469,5.184758491210104,1.7994485415660688,11.671744380272537,1998,red,red,True
WBZ:036:15002:15002000:010204:U,"Halle (Saale), Stadt / 010204",GRÜNE,U,WAHLBEZIRK,26.580459770114942,5.184758491210104,1.7994485415660688,8.01979188167467,1998,orange,orange,True
WBZ:036:15002:15002000:010205:U,"Halle (Saale), Stadt / 010205",GRÜNE,U,WAHLBEZIRK,31.921824104234528,5.184758491210104,1.7994485415660688,10.021905753308959,1998,red,red,True
WBZ:036:15002:15002000:010206:U,"Halle (Saale), Stadt / 010206",GRÜNE,U,WAHLBEZIRK,26.143790849673202,5.184758491210104,1.7994485415660688,7.856114429952575,1998,orange,orange,True
WBZ:036:15002:15002000:010207:U,"Halle (Saale), Stadt / 010207",GRÜNE,U,WAHLBEZIRK,25.441176470588236,5.184758491210104,1.7994485415660688,7.592752130213928,1998,orange,orange,True
WBZ:036:15002:15002000:010208:U,"Halle (Saale), Stadt / 010208",GRÜNE,U,WAHLBEZIRK,25.595238095238095,5.184758491210104,1.7994485415660688,7.6504993454390124,1998,orange,orange,True
WBZ:036:15002:15002000:010209:U,"Halle (Saale), Stadt / 010209",GRÜNE,U,WAHLBEZIRK,27.62008733624454,5.184758491210104,1.7994485415660688,8.409477482820721,1998,orange,orange,True
WBZ:036:15002:15002000:010210:U,"Halle (Saale), Stadt / 010210",GRÜNE,U,WAHLBEZIRK,34.66299862448418,5.184758491210104,1.7994485415660688,11.049385473519228,1998,red,red,True
WBZ:036:15002:15002000:059001:U,"Halle (Saale), Stadt / 059001",GRÜNE,U,WAHLBEZIRK,28.07570977917981,5.184758491210104,1.7994485415660688,8.580259319850933,1998,orange,orange,True
WBZ:036:15002:15002000:059101:U,"Halle (Saale), Stadt / 059101",GRÜNE,U,WAHLBEZIRK,26.964769647696478,5.184758491210104,1.7994485415660688,8.163843492608057,1998,orange,orange,True
WBZ:036:15002:15002000:059102:U,"Halle (Saale), Stadt / 059102",GRÜNE,U,WAHLBEZIRK,24.969249692496923,5.184758491210104,1.7994485415660688,7.415858907863082,1998,orange,orange,True
WBZ:036:15002:15002000:059103:U,"Halle (Saale), Stadt / 059103",GRÜNE,U,WAHLBEZIRK,30.235988200589972,5.184758491210104,1.7994485415660688,9.39000063752692,1998,orange,orange,True
WBZ:037:15002:15002000:010101:U,"Halle (Saale), Stadt / 010101",GRÜNE,U,WAHLBEZIRK,32.38805970149254,5.184758491210104,1.7994485415660688,10.196665739396638,1998,red,red,True
WBZ:037:15002:15002000:010102:U,"Halle (Saale), Stadt / 010102",GRÜNE,U,WAHLBEZIRK,36.973478939157566,5.184758491210104,1.7994485415660688,11.915427255877447,1998,red,red,True
WBZ:037:15002:15002000:010103:U,"Halle (Saale), Stadt / 010103",GRÜNE,U,WAHLBEZIRK,37.391304347826086,5.184758491210104,1.7994485415660688,12.072041557821407,1998,red,red,True
WBZ:037:15002:15002000:010301:U,"Halle (Saale), Stadt / 010301",GRÜNE,U,WAHLBEZIRK,26.813880126182966,5.184758491210104,1.7994485415660688,8.10728528290558,1998,orange,orange,True
WBZ:037:15002:15002000:010302:U,"Halle (Saale), Stadt / 010302",GRÜNE,U,WAHLBEZIRK,32.810047095761384,5.184758491210104,1.7994485415660688,10.354840086411992,1998,red,red,True
WBZ:037:15002:15002000:010303:U,"Halle (Saale), Stadt / 010303",GRÜNE,U,WAHLBEZIRK,37.200504413619164,5.184758491210104,1.7994485415660688,12.000523651330283,1998,red,red,True
WBZ:037:15002:15002000:010304:U,"Halle (Saale), Stadt / 010304",GRÜNE,U,WAHLBEZIRK,42.00230149597238,5.184758491210104,1.7994485415660688,13.800390491706949,1998,red,red,True
WBZ:037:15002:15002000:010305:U,"Halle (Saale), Stadt / 010305",GRÜNE,U,WAHLBEZIRK,38.20816864295125,5.184758491210104,1.7994485415660688,12.378228373438137,1998,red,red,True
WBZ:037:15002:15002000:010306:U,"Halle (Saale), Stadt / 010306",GRÜNE,U,WAHLBEZIRK,38.812154696132595,5.184758491210104,1.7994485415660688,12.604621627989896,1998,red,red,True
WBZ:037:15002:15002000:010307:U,"Halle (Saale), Stadt / 010307",GRÜNE,U,WAHLBEZIRK,27.85829307568438,5.184758491210104,1.7994485415660688,8.498764598509302,1998,orange,orange,True
WBZ:037:15002:15002000:010308:U,"Halle (Saale), Stadt / 010308",GRÜNE,U,WAHLBEZIRK,34.28120063191153,5.184758491210104,1.7994485415660688,10.90627539727729,1998,red,red,True
WBZ:037:15002:15002000:010309:U,"Halle (Saale), Stadt / 010309",GRÜNE,U,WAHLBEZIRK,32.76157804459691,5.184758491210104,1.7994485415660688,10.336672338696024,1998,red,red,True
WBZ:037:15002:15002000:020401:U,"Halle (Saale), Stadt / 020401",GRÜNE,U,WAHLBEZIRK,41.1764705882353,5.184758491210104,1.7994485415660688,13.490842703430626,1998,red,red,True
WBZ:037:15002:15002000:020402:U,"Halle (Saale), Stadt / 020402",GRÜNE,U,WAHLBEZIRK,42.038216560509554,5.184758491210104,1.7994485415660688,13.81385260445803,1998,red,red,True
WBZ:037:15002:15002000:020403:U,"Halle (Saale), Stadt / 020403",GRÜNE,U,WAHLBEZIRK,41.21532364597094,5.184758491210104,1.7994485415660688,13.505406069825808,1998,red,red,True
WBZ:037:15002:15002000:020404:U,"Halle (Saale), Stadt / 020404",GRÜNE,U,WAHLBEZIRK,46.33730834752981,5.184758491210104,1.7994485415660688,15.425289451639703,1998,red,red,True
WBZ:037:15002:15002000:020405:U,"Halle (Saale), Stadt / 020405",GRÜNE,U,WAHLBEZIRK,32.394366197183096,5.184758491210104,1.7994485415660688,10.199029615311789,1998,red,red,True
WBZ:037:15002:15002000:020406:U,"Halle (Saale), Stadt / 020406",GRÜNE,U,WAHLBEZIRK,30.465444287729195,5.184758491210104,1.7994485415660688,9.476008104206889,1998,orange,orange,True
WBZ:037:15002:15002000:020407:U,"Halle (Saale), Stadt / 020407",GRÜNE,U,WAHLBEZIRK,43.24894514767932,5.184758491210104,1.7994485415660688,14.2676723305667,1998,red,red,True
WBZ:037:15002:15002000:020501:U,"Halle (Saale), Stadt / 020501",GRÜNE,U,WAHLBEZIRK,22.946859903381643,5.184758491210104,1.7994485415660688,6.657802651566412,1998,orange,orange,True
WBZ:037:15002:15002000:020701:U,"Halle (Saale), Stadt / 020701",GRÜNE,U,WAHLBEZIRK,21.408839779005525,5.184758491210104,1.7994485415660688,6.081303608766389,1998,orange,orange,True
WBZ:037:15002:15002000:023001:U,"Halle (Saale), Stadt / 023001",GRÜNE,U,WAHLBEZIRK,34.13461538461539,5.184758491210104,1.7994485415660688,10.851330566962334,1998,red,red,True
WBZ:037:15002:15002000:023002:U,"Halle (Saale), Stadt / 023002",GRÜNE,U,WAHLBEZIRK,32.44949494949495,5.184758491210104,1.7994485415660688,10.21969363162395,1998,red,red,True
