commit,acquired_at_utc,acquired_at_local,commit_time,subject,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,coverage_percent,area_rows,raw_rows,overview_rows,overview_reported,overview_minus_csv,wahlbezirk_vote_rows,mode,dynamic_results_used
355c37f89c5aa7310907c2922bc2607388fafd2c,2026-08-20T10:54:58.222512+00:00,2026-08-20T12:54:58.222512+02:00,2026-08-20T13:00:49+02:00,Add Sachsen-Anhalt county drill-down navigation,0,0,0,0,0,,274,0,,,,0,LIVE_CSV_DOWNLOAD,
acfbf5e832d70c088309e2e01cf3a469a6613176,2026-09-06T10:20:14.222877+00:00,2026-09-06T12:20:14.222877+02:00,2026-09-06T10:20:14Z,2026-lsa poll 2026-09-06T10:20:14.222877+00:00,0,0,0,0,0,,274,822,,,,0,LIVE_CSV_DOWNLOAD,
d4f188f59d08ad034c9acc3935e0eeb5d7a25b93,2026-09-06T10:34:59.365473+00:00,2026-09-06T12:34:59.365473+02:00,2026-09-06T10:35:00Z,2026-lsa poll 2026-09-06T10:34:59.365473+00:00,0,0,0,0,0,,274,822,,,,0,LIVE_CSV_DOWNLOAD,
2ef63b72a9e9398349c2c6c610abcda9fffe532e,2026-09-06T16:05:42.132776+00:00,2026-09-06T18:05:42.132776+02:00,2026-09-06T16:05:43Z,2026-lsa poll 2026-09-06T16:05:42.132776+00:00,0,0,0,0,0,,274,822,,,,0,LIVE_CSV_DOWNLOAD,
053a4939f9d5b219a4e3d64b638b53c21a808933,2026-09-06T16:13:39.955412+00:00,2026-09-06T18:13:39.955412+02:00,2026-09-06T16:13:40Z,2026-lsa poll 2026-09-06T16:13:39.955412+00:00,0,0,0,0,0,,274,822,,,,0,LIVE_CSV_DOWNLOAD,
80f3f58f23b32a844025cfe3b74f460f82133bae,2026-09-06T16:26:10.355645+00:00,2026-09-06T18:26:10.355645+02:00,2026-09-06T16:26:11Z,2026-lsa poll 2026-09-06T16:26:10.355645+00:00,0,2660,0,0,0,0.0,274,822,,,,0,LIVE_CSV_DOWNLOAD,
7873490a99fa2c6e39b9618a6a4f218016e3b561,2026-09-06T16:26:36.247903+00:00,2026-09-06T18:26:36.247903+02:00,2026-09-06T16:26:37Z,2026-lsa poll 2026-09-06T16:26:36.247903+00:00,0,2660,0,0,0,0.0,274,822,,,,0,LIVE_CSV_DOWNLOAD,
090c55727349adcf25c243dee770737bef332023,2026-09-06T16:39:34.212928+00:00,2026-09-06T18:39:34.212928+02:00,2026-09-06T16:39:35Z,2026-lsa poll 2026-09-06T16:39:34.212928+00:00,12,2660,1182,1173,1174,0.45112781954887216,274,822,,,,0,LIVE_CSV_DOWNLOAD,
90f55ca78c0f49447c122088d68bcf2b7d83e8e4,2026-09-06T16:52:05.545296+00:00,2026-09-06T18:52:05.545296+02:00,2026-09-06T16:52:07Z,2026-lsa poll 2026-09-06T16:52:05.545296+00:00,12,2660,1182,1173,1174,0.45112781954887216,274,822,,,,0,LIVE_CSV_DOWNLOAD,
1379df96d853ed076e00ca73aab6e7f3674e6a3b,2026-09-06T16:57:26.998456+00:00,2026-09-06T18:57:26.998456+02:00,2026-09-06T16:57:28Z,2026-lsa poll 2026-09-06T16:57:26.998456+00:00,12,2660,1182,1173,1174,0.45112781954887216,274,822,,,,0,LIVE_CSV_DOWNLOAD,
