row,name,field,mode,geographic_level,observed,median,mad,z,n,external_level,recomputed_level,match,local_peer_n,local_peer_median
WBZ:037:15002:15002000:020404:U,"Halle (Saale), Stadt / 020404",GRÜNE,U,WAHLBEZIRK,46.33730834752981,5.184758491210104,1.7994485415660688,15.425289451639703,1998,red,red,True,122,14.043989463906243
WBZ:037:15002:15002000:020407:U,"Halle (Saale), Stadt / 020407",GRÜNE,U,WAHLBEZIRK,43.24894514767932,5.184758491210104,1.7994485415660688,14.2676723305667,1998,red,red,True,122,14.043989463906243
WBZ:037:15002:15002000:020402:U,"Halle (Saale), Stadt / 020402",GRÜNE,U,WAHLBEZIRK,42.038216560509554,5.184758491210104,1.7994485415660688,13.81385260445803,1998,red,red,True,122,14.043989463906243
WBZ:037:15002:15002000:010304:U,"Halle (Saale), Stadt / 010304",GRÜNE,U,WAHLBEZIRK,42.00230149597238,5.184758491210104,1.7994485415660688,13.800390491706949,1998,red,red,True,122,14.043989463906243
WBZ:037:15002:15002000:020403:U,"Halle (Saale), Stadt / 020403",GRÜNE,U,WAHLBEZIRK,41.21532364597094,5.184758491210104,1.7994485415660688,13.505406069825808,1998,red,red,True,122,14.043989463906243
WBZ:037:15002:15002000:020401:U,"Halle (Saale), Stadt / 020401",GRÜNE,U,WAHLBEZIRK,41.1764705882353,5.184758491210104,1.7994485415660688,13.490842703430626,1998,red,red,True,122,14.043989463906243
WBZ:037:15002:15002000:023003:U,"Halle (Saale), Stadt / 023003",GRÜNE,U,WAHLBEZIRK,40.88952654232425,5.184758491210104,1.7994485415660688,13.383286914541332,1998,red,red,True,122,14.043989463906243
WBZ:037:15002:15002000:023004:U,"Halle (Saale), Stadt / 023004",GRÜNE,U,WAHLBEZIRK,39.88505747126437,5.184758491210104,1.7994485415660688,13.006779839757023,1998,red,red,True,122,14.043989463906243
WBZ:037:15002:15002000:010306:U,"Halle (Saale), Stadt / 010306",GRÜNE,U,WAHLBEZIRK,38.812154696132595,5.184758491210104,1.7994485415660688,12.604621627989896,1998,red,red,True,122,14.043989463906243
WBZ:037:15002:15002000:023005:U,"Halle (Saale), Stadt / 023005",GRÜNE,U,WAHLBEZIRK,38.40947546531303,5.184758491210104,1.7994485415660688,12.453684597034533,1998,red,red,True,122,14.043989463906243
WBZ:037:15002:15002000:010305:U,"Halle (Saale), Stadt / 010305",GRÜNE,U,WAHLBEZIRK,38.20816864295125,5.184758491210104,1.7994485415660688,12.378228373438137,1998,red,red,True,122,14.043989463906243
WBZ:011:15003:15003000:000110:U,"Magdeburg, Landeshauptstadt / 000110",GRÜNE,U,WAHLBEZIRK,37.83783783783784,5.184758491210104,1.7994485415660688,12.239416565137615,1998,red,red,True,148,12.477489969530422
