Berichtszeitpunkt,_RS,Name,Regionalebene,ET_WIRTSZWG_STP,ET_WIRTSZWG_STP__M,ET_WIRTSZWG_STP__W,ET_WIRTSZWG_STP__1,ET_WIRTSZWG_STP__1_M,ET_WIRTSZWG_STP__1_W,ET_WIRTSZWG_STP__2,ET_WIRTSZWG_STP__2_M,ET_WIRTSZWG_STP__2_W,ET_WIRTSZWG_STP__21,ET_WIRTSZWG_STP__21_M,ET_WIRTSZWG_STP__21_W,ET_WIRTSZWG_STP__22,ET_WIRTSZWG_STP__22_M,ET_WIRTSZWG_STP__22_W,ET_WIRTSZWG_STP__23,ET_WIRTSZWG_STP__23_M,ET_WIRTSZWG_STP__23_W,ET_WIRTSZWG_STP__3,ET_WIRTSZWG_STP__3_M,ET_WIRTSZWG_STP__3_W,ET_WIRTSZWG_STP__31,ET_WIRTSZWG_STP__31_M,ET_WIRTSZWG_STP__31_W,ET_WIRTSZWG_STP__32,ET_WIRTSZWG_STP__32_M,ET_WIRTSZWG_STP__32_W,ET_WIRTSZWG_STP__33,ET_WIRTSZWG_STP__33_M,ET_WIRTSZWG_STP__33_W,ET_WIRTSZWG_STP__34,ET_WIRTSZWG_STP__34_M,ET_WIRTSZWG_STP__34_W,ET_WIRTSZWG_STP__35,ET_WIRTSZWG_STP__35_M,ET_WIRTSZWG_STP__35_W,ET_WIRTSZWG_STP__36,ET_WIRTSZWG_STP__36_M,ET_WIRTSZWG_STP__36_W,geo_id
20220515,130715153,Malchin am Kummerower See,Gemeindeverband,4670,2540,2130,350,300,/,1130,930,/,590,410,/,/,/,/,460,440,/,3180,1310,1870,670,360,310,300,240,/,/,/,/,230,/,/,310,/,/,1590,350,1250,130715153
20220515,130715154,Malchow,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130715154
20220515,130715155,Mecklenburgische Kleinseenplatte,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130715155
20220515,130715156,Neustrelitz-Land,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130715156
20220515,130715157,Neverin,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130715157
20220515,130715158,Penzliner Land,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130715158
20220515,130715159,Röbel-Müritz,Gemeindeverband,6540,3510,3030,350,320,/,1700,1310,380,870,540,330,/,/,/,760,710,/,4490,1870,2620,1140,380,760,690,610,/,/,/,/,510,270,240,410,/,280,1690,450,1240,130715159
20220515,130715160,Seenlandschaft Waren,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130715160
20220515,130715161,Stargarder Land,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130715161
20220515,130715162,Stavenhagen,Gemeindeverband,4790,2550,2240,330,260,/,1150,850,300,570,350,220,/,/,/,440,390,/,3320,1440,1880,910,410,500,530,370,/,/,/,/,/,/,/,400,230,/,1260,310,950,130715162
20220515,130715163,Treptower Tollensewinkel,Gemeindeverband,5900,3230,2670,470,270,/,1670,1270,410,770,490,280,/,/,/,710,640,/,3760,1690,2070,640,290,350,700,510,/,/,/,/,320,/,/,680,360,320,1280,340,950,130715163
20220515,130715164,Woldegk,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130715164
20220515,130720006006,"Bad Doberan, Stadt",Gemeinde,5950,2980,2970,/,/,/,1290,960,330,590,420,/,/,/,/,610,470,/,4630,1990,2630,1180,540,640,550,390,/,/,/,/,500,340,/,610,340,260,1720,360,1350,13072006
