Berichtszeitpunkt,_RS,Name,Regionalebene,ERWERBSTAT_KURZ_STP,ERWERBSTAT_KURZ_STP__M,ERWERBSTAT_KURZ_STP__W,ERWERBSTAT_KURZ_STP__1,ERWERBSTAT_KURZ_STP__1_M,ERWERBSTAT_KURZ_STP__1_W,ERWERBSTAT_KURZ_STP__11,ERWERBSTAT_KURZ_STP__11_M,ERWERBSTAT_KURZ_STP__11_W,ERWERBSTAT_KURZ_STP__12,ERWERBSTAT_KURZ_STP__12_M,ERWERBSTAT_KURZ_STP__12_W,ERWERBSTAT_KURZ_STP__2,ERWERBSTAT_KURZ_STP__2_M,ERWERBSTAT_KURZ_STP__2_W,geo_id
20220515,130725254,Gnoien,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725254
20220515,130725255,Güstrow-Land,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725255
20220515,130725256,Krakow am See,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725256
20220515,130725257,Laage,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725257
20220515,130725258,Mecklenburgische Schweiz,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725258
20220515,130725259,Neubukow-Salzhaff,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725259
20220515,130725260,Rostocker Heide,Gemeindeverband,10040,5090,4940,5660,2920,2740,5450,2860,2590,210,/,/,4370,2170,2200,130725260
20220515,130725261,Schwaan,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725261
20220515,130725262,Tessin,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130725262
20220515,130725263,Warnow-West,Gemeindeverband,17280,8460,8820,9210,4670,4540,8850,4470,4380,360,/,/,8070,3790,4290,130725263
20220515,130730011011,"Binz, Ostseebad",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13073011
