key,level,name,party,vote_type,votes,valid_votes,share_percent,reported_precincts,total_precincts
lsa:GEMEINDE:15003000,GEMEINDE,"Magdeburg, Landeshauptstadt",GRÜNE,Zweitstimmen,22368,138521,16.14773211282044,218,218
lsa:GEMEINDE:15003000,GEMEINDE,"Magdeburg, Landeshauptstadt",GRÜNE,Erststimmen,6483,138457,4.682320142715789,218,218
lsa:GEMEINDE:15003000,GEMEINDE,"Magdeburg, Landeshauptstadt",Die Linke,Zweitstimmen,15313,138521,11.054641534496575,218,218
lsa:GEMEINDE:15003000,GEMEINDE,"Magdeburg, Landeshauptstadt",Die Linke,Erststimmen,24762,138457,17.88425287273305,218,218
lsa:GEMEINDE:15003000,GEMEINDE,"Magdeburg, Landeshauptstadt",BSW,Zweitstimmen,7104,138521,5.128464276174731,218,218
lsa:GEMEINDE:15003000,GEMEINDE,"Magdeburg, Landeshauptstadt",BSW,Erststimmen,6233,138457,4.501758668756365,218,218
lsa:GEMEINDE:15081026,GEMEINDE,"Apenburg-Winterfeld, Flecken",AfD,Zweitstimmen,495,1054,46.963946869070206,4,4
lsa:GEMEINDE:15081026,GEMEINDE,"Apenburg-Winterfeld, Flecken",AfD,Erststimmen,497,1055,47.10900473933649,4,4
lsa:GEMEINDE:15081026,GEMEINDE,"Apenburg-Winterfeld, Flecken",CDU,Zweitstimmen,179,1054,16.98292220113852,4,4
lsa:GEMEINDE:15081026,GEMEINDE,"Apenburg-Winterfeld, Flecken",CDU,Erststimmen,279,1055,26.445497630331754,4,4
lsa:GEMEINDE:15081026,GEMEINDE,"Apenburg-Winterfeld, Flecken",SPD,Zweitstimmen,112,1054,10.62618595825427,4,4
lsa:GEMEINDE:15081026,GEMEINDE,"Apenburg-Winterfeld, Flecken",SPD,Erststimmen,66,1055,6.2559241706161135,4,4
lsa:GEMEINDE:15081026,GEMEINDE,"Apenburg-Winterfeld, Flecken",GRÜNE,Zweitstimmen,61,1054,5.787476280834914,4,4
lsa:GEMEINDE:15081026,GEMEINDE,"Apenburg-Winterfeld, Flecken",GRÜNE,Erststimmen,26,1055,2.4644549763033177,4,4
lsa:GEMEINDE:15081026,GEMEINDE,"Apenburg-Winterfeld, Flecken",Die Linke,Zweitstimmen,80,1054,7.590132827324478,4,4
lsa:GEMEINDE:15081026,GEMEINDE,"Apenburg-Winterfeld, Flecken",Die Linke,Erststimmen,96,1055,9.09952606635071,4,4
lsa:GEMEINDE:15081026,GEMEINDE,"Apenburg-Winterfeld, Flecken",BSW,Zweitstimmen,69,1054,6.546489563567363,4,4
lsa:GEMEINDE:15081026,GEMEINDE,"Apenburg-Winterfeld, Flecken",BSW,Erststimmen,59,1055,5.592417061611374,4,4
lsa:GEMEINDE:15081030,GEMEINDE,"Arendsee (Altmark), Stadt",AfD,Zweitstimmen,1838,4200,43.76190476190476,17,17
lsa:GEMEINDE:15081030,GEMEINDE,"Arendsee (Altmark), Stadt",AfD,Erststimmen,1807,4189,43.1367868226307,17,17
lsa:GEMEINDE:15081030,GEMEINDE,"Arendsee (Altmark), Stadt",CDU,Zweitstimmen,771,4200,18.357142857142858,17,17
lsa:GEMEINDE:15081030,GEMEINDE,"Arendsee (Altmark), Stadt",CDU,Erststimmen,1025,4189,24.468846980186203,17,17
lsa:GEMEINDE:15081030,GEMEINDE,"Arendsee (Altmark), Stadt",SPD,Zweitstimmen,367,4200,8.738095238095237,17,17
lsa:GEMEINDE:15081030,GEMEINDE,"Arendsee (Altmark), Stadt",SPD,Erststimmen,350,4189,8.355216042014801,17,17
lsa:GEMEINDE:15081030,GEMEINDE,"Arendsee (Altmark), Stadt",GRÜNE,Zweitstimmen,252,4200,6.0,17,17
lsa:GEMEINDE:15081030,GEMEINDE,"Arendsee (Altmark), Stadt",GRÜNE,Erststimmen,101,4189,2.411076629267128,17,17
lsa:GEMEINDE:15081030,GEMEINDE,"Arendsee (Altmark), Stadt",Die Linke,Zweitstimmen,439,4200,10.452380952380953,17,17
lsa:GEMEINDE:15081030,GEMEINDE,"Arendsee (Altmark), Stadt",Die Linke,Erststimmen,521,4189,12.43733587968489,17,17
lsa:GEMEINDE:15081030,GEMEINDE,"Arendsee (Altmark), Stadt",BSW,Zweitstimmen,224,4200,5.333333333333333,17,17
lsa:GEMEINDE:15081030,GEMEINDE,"Arendsee (Altmark), Stadt",BSW,Erststimmen,226,4189,5.3950823585581285,17,17
lsa:GEMEINDE:15081045,GEMEINDE,Beetzendorf,AfD,Zweitstimmen,751,1875,40.053333333333335,7,7
lsa:GEMEINDE:15081045,GEMEINDE,Beetzendorf,AfD,Erststimmen,744,1874,39.701173959445036,7,7
lsa:GEMEINDE:15081045,GEMEINDE,Beetzendorf,CDU,Zweitstimmen,315,1875,16.8,7,7
lsa:GEMEINDE:15081045,GEMEINDE,Beetzendorf,CDU,Erststimmen,509,1874,27.161152614727854,7,7
lsa:GEMEINDE:15081045,GEMEINDE,Beetzendorf,SPD,Zweitstimmen,188,1875,10.026666666666667,7,7
lsa:GEMEINDE:15081045,GEMEINDE,Beetzendorf,SPD,Erststimmen,138,1874,7.363927427961579,7,7
lsa:GEMEINDE:15081045,GEMEINDE,Beetzendorf,GRÜNE,Zweitstimmen,218,1875,11.626666666666667,7,7
lsa:GEMEINDE:15081045,GEMEINDE,Beetzendorf,GRÜNE,Erststimmen,65,1874,3.4685165421558164,7,7
lsa:GEMEINDE:15081045,GEMEINDE,Beetzendorf,Die Linke,Zweitstimmen,188,1875,10.026666666666667,7,7
lsa:GEMEINDE:15081045,GEMEINDE,Beetzendorf,Die Linke,Erststimmen,267,1874,14.247598719316969,7,7
lsa:GEMEINDE:15081045,GEMEINDE,Beetzendorf,BSW,Zweitstimmen,103,1875,5.493333333333333,7,7
lsa:GEMEINDE:15081045,GEMEINDE,Beetzendorf,BSW,Erststimmen,88,1874,4.695837780149413,7,7
lsa:GEMEINDE:15081095,GEMEINDE,Dähre,AfD,Zweitstimmen,369,891,41.41414141414141,3,3
lsa:GEMEINDE:15081095,GEMEINDE,Dähre,AfD,Erststimmen,370,892,41.47982062780269,3,3
lsa:GEMEINDE:15081095,GEMEINDE,Dähre,CDU,Zweitstimmen,169,891,18.967452300785634,3,3
lsa:GEMEINDE:15081095,GEMEINDE,Dähre,CDU,Erststimmen,251,892,28.1390134529148,3,3
lsa:GEMEINDE:15081095,GEMEINDE,Dähre,SPD,Zweitstimmen,93,891,10.437710437710438,3,3
lsa:GEMEINDE:15081095,GEMEINDE,Dähre,SPD,Erststimmen,71,892,7.959641255605381,3,3
lsa:GEMEINDE:15081095,GEMEINDE,Dähre,GRÜNE,Zweitstimmen,77,891,8.641975308641975,3,3
lsa:GEMEINDE:15081095,GEMEINDE,Dähre,GRÜNE,Erststimmen,20,892,2.242152466367713,3,3
lsa:GEMEINDE:15081095,GEMEINDE,Dähre,Die Linke,Zweitstimmen,85,891,9.539842873176207,3,3
lsa:GEMEINDE:15081095,GEMEINDE,Dähre,Die Linke,Erststimmen,94,892,10.538116591928251,3,3
lsa:GEMEINDE:15081095,GEMEINDE,Dähre,BSW,Zweitstimmen,52,891,5.836139169472503,3,3
lsa:GEMEINDE:15081095,GEMEINDE,Dähre,BSW,Erststimmen,46,892,5.15695067264574,3,3
lsa:GEMEINDE:15081105,GEMEINDE,"Diesdorf, Flecken",AfD,Zweitstimmen,595,1442,41.262135922330096,2,2
lsa:GEMEINDE:15081105,GEMEINDE,"Diesdorf, Flecken",AfD,Erststimmen,584,1440,40.55555555555556,2,2
lsa:GEMEINDE:15081105,GEMEINDE,"Diesdorf, Flecken",CDU,Zweitstimmen,282,1442,19.55617198335645,2,2
lsa:GEMEINDE:15081105,GEMEINDE,"Diesdorf, Flecken",CDU,Erststimmen,458,1440,31.805555555555557,2,2
lsa:GEMEINDE:15081105,GEMEINDE,"Diesdorf, Flecken",SPD,Zweitstimmen,156,1442,10.818307905686547,2,2
lsa:GEMEINDE:15081105,GEMEINDE,"Diesdorf, Flecken",SPD,Erststimmen,111,1440,7.708333333333333,2,2
lsa:GEMEINDE:15081105,GEMEINDE,"Diesdorf, Flecken",GRÜNE,Zweitstimmen,121,1442,8.39112343966713,2,2
lsa:GEMEINDE:15081105,GEMEINDE,"Diesdorf, Flecken",GRÜNE,Erststimmen,37,1440,2.5694444444444446,2,2
lsa:GEMEINDE:15081105,GEMEINDE,"Diesdorf, Flecken",Die Linke,Zweitstimmen,124,1442,8.599167822468793,2,2
lsa:GEMEINDE:15081105,GEMEINDE,"Diesdorf, Flecken",Die Linke,Erststimmen,128,1440,8.88888888888889,2,2
lsa:GEMEINDE:15081105,GEMEINDE,"Diesdorf, Flecken",BSW,Zweitstimmen,72,1442,4.993065187239944,2,2
lsa:GEMEINDE:15081105,GEMEINDE,"Diesdorf, Flecken",BSW,Erststimmen,68,1440,4.722222222222222,2,2
lsa:GEMEINDE:15081135,GEMEINDE,"Gardelegen, Hansestadt",AfD,Zweitstimmen,5780,13705,42.174388909157244,40,40
lsa:GEMEINDE:15081135,GEMEINDE,"Gardelegen, Hansestadt",AfD,Erststimmen,5693,13703,41.545646938626575,40,40
lsa:GEMEINDE:15081135,GEMEINDE,"Gardelegen, Hansestadt",CDU,Zweitstimmen,2369,13705,17.2856621670923,40,40
lsa:GEMEINDE:15081135,GEMEINDE,"Gardelegen, Hansestadt",CDU,Erststimmen,3617,13703,26.395679778150768,40,40
lsa:GEMEINDE:15081135,GEMEINDE,"Gardelegen, Hansestadt",SPD,Zweitstimmen,1548,13705,11.295147756293323,40,40
