event_time_utc,source,ags,municipality_name,event_type,details_json
2026-03-08T17:50:18.332438+00:00,kommone,08128014,"Boxberg, Stadt",RESULT_UPDATED,"{""current_hash"": ""0ad77f95793119c1e1963f22ccf5d50673d7a4839a849a6ac6fcdcd06f440ffc"", ""previous_hash"": ""e109359dfe12a8bfc22c18190d6fb74560a7dfddd4c251acd64eaa830e270947""}"
2026-03-08T17:50:18.332415+00:00,kommone,08128007,"Bad Mergentheim, Stadt",RESULT_UPDATED,"{""current_hash"": ""ee66ef506b284a8e4a6e2572b8d72f1b2d12b3f9c6b183414b0d502c66e42724"", ""previous_hash"": ""a47b4846f0be73e9a2ec965b3ec73937981dd86564c9455c3f5ff7102e1c626d""}"
2026-03-08T17:50:18.332388+00:00,kommone,08127104,Stimpfach,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.332341+00:00,kommone,08127100,Rosengarten,RESULT_UPDATED,"{""current_hash"": ""be2fe56603375a809b363832dc4d703bc0308de9efc95a462f5377d0e66046e3"", ""previous_hash"": ""3fb290e7877fab25664fae159e1be487b01607a54c7bb733adf042dd89442372""}"
2026-03-08T17:50:18.332262+00:00,kommone,08127076,"Schwäbisch Hall, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.332244+00:00,kommone,08127075,"Schrozberg, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.332225+00:00,kommone,08127073,Satteldorf,RESULT_UPDATED,"{""current_hash"": ""a12a088daaafb66c52e1f74c60c1c5d7df2f89c4c3c13417ea9365e62671b3f3"", ""previous_hash"": ""50e8805e7d19e4be463cef4e8b3b69fcb426c2f0bf7a098b15f1012d2b654884""}"
2026-03-08T17:50:18.332187+00:00,kommone,08127062,Oberrot,RESULT_UPDATED,"{""current_hash"": ""b06cf7c9e434b6d3775f7240c20e3982fa8416bf04a79a4a6f85e783208d9a3a"", ""previous_hash"": ""738d9608fac29aeef16d79a5e7793837e450bcc20fbd6bbf586c46ba2bdbe9ff""}"
2026-03-08T17:50:18.332163+00:00,kommone,08127059,Michelfeld,RESULT_UPDATED,"{""current_hash"": ""e90b772e028b9e4ce425ed9797568feecd19354eac8b45b53e55f3f162f44384"", ""previous_hash"": ""bde9541b138120beed9851e76085465773869fdadf00be2c5a750fa819de9d87""}"
2026-03-08T17:50:18.332109+00:00,kommone,08127047,"Langenburg, Stadt",RESULT_UPDATED,"{""current_hash"": ""1673556881113d27f455ba2e62bdb4d08aa31df33092030921f37251e6c0fa67"", ""previous_hash"": ""3534f93b9ed0d49875a9f33a07718474b62d5d62f7221eb5d1a1d6ce225609fc""}"
2026-03-08T17:50:18.332090+00:00,kommone,08127046,"Kirchberg an der Jagst, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.332062+00:00,kommone,08127032,"Gerabronn, Stadt",RESULT_UPDATED,"{""current_hash"": ""ff8021829976bff27894f42eceeb5be9f88c996d2066890e961be3a55158aacd"", ""previous_hash"": ""350aeaee1cfe297e5d853878264c21ffdbd55421608ba482c0e9a5c2e1268035""}"
2026-03-08T17:50:18.332043+00:00,kommone,08127025,"Gaildorf, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
