level,identifier,name,ags,wahlkreisnummer,vote_type,party_name,old_votes,new_votes,delta_votes,old_share_percent,new_share_percent,delta_share_percent
WAHLKREIS,3,03 - Stuttgart III,,3,Zweitstimmen,CDU,15837,15835,-2,27.0164,27.0139,-0.0025
WAHLKREIS,3,03 - Stuttgart III,,3,Zweitstimmen,FDP,2917,2918,1,4.9761,4.978,0.0019
WAHLKREIS,3,03 - Stuttgart III,,3,Zweitstimmen,FREIE WÄHLER,615,630,15,1.0491,1.0748,0.0257
WAHLKREIS,3,03 - Stuttgart III,,3,Zweitstimmen,SPD,3478,3476,-2,5.9331,5.9299,-0.0032
WAHLKREIS,3,03 - Stuttgart III,,3,Zweitstimmen,Verjüngungsforschung,56,41,-15,0.0955,0.0699,-0.0256
WAHLKREIS,3,03 - Stuttgart III,,3,Zweitstimmen,Werteunion,108,109,1,0.1842,0.1859,0.0017
WAHLKREIS,4,04 - Stuttgart IV,,4,Erststimmen,CDU,16226,16222,-4,27.715,27.7043,-0.0107
WAHLKREIS,4,04 - Stuttgart IV,,4,Erststimmen,Die Linke,5740,5750,10,9.8043,9.82,0.0157
WAHLKREIS,4,04 - Stuttgart IV,,4,Erststimmen,FDP,2083,2082,-1,3.5579,3.5557,-0.0022
WAHLKREIS,4,04 - Stuttgart IV,,4,Erststimmen,GRÜNE,19668,19670,2,33.5941,33.5929,-0.0012
WAHLKREIS,4,04 - Stuttgart IV,,4,Erststimmen,SPD,5259,5261,2,8.9827,8.9849,0.0022
WAHLKREIS,4,04 - Stuttgart IV,,4,Erststimmen,Volt,1103,1102,-1,1.884,1.882,-0.002
WAHLKREIS,4,04 - Stuttgart IV,,4,Zweitstimmen,BSW,1126,1143,17,1.9192,1.9482,0.029
WAHLKREIS,4,04 - Stuttgart IV,,4,Zweitstimmen,CDU,13694,13692,-2,23.3403,23.3369,-0.0034
WAHLKREIS,4,04 - Stuttgart IV,,4,Zweitstimmen,Die Gerechtigkeitspartei,124,129,5,0.2113,0.2199,0.0086
WAHLKREIS,4,04 - Stuttgart IV,,4,Zweitstimmen,Die Linke,5164,5163,-1,8.8016,8.7999,-0.0017
WAHLKREIS,4,04 - Stuttgart IV,,4,Zweitstimmen,KlimalisteBW,65,48,-17,0.1108,0.0818,-0.029
WAHLKREIS,4,04 - Stuttgart IV,,4,Zweitstimmen,PDR,69,70,1,0.1176,0.1193,0.0017
WAHLKREIS,4,04 - Stuttgart IV,,4,Zweitstimmen,SPD,3547,3549,2,6.0456,6.049,0.0034
WAHLKREIS,4,04 - Stuttgart IV,,4,Zweitstimmen,Volt,658,660,2,1.1215,1.1249,0.0034
WAHLKREIS,4,04 - Stuttgart IV,,4,Zweitstimmen,dieBasis,95,92,-3,0.1619,0.1568,-0.0051
WAHLKREIS,4,04 - Stuttgart IV,,4,Zweitstimmen,ÖDP,110,106,-4,0.1875,0.1807,-0.0068
WAHLKREIS,5,05 - Böblingen,,5,Erststimmen,AfD,15367,15364,-3,17.5511,17.5468,-0.0043
WAHLKREIS,5,05 - Böblingen,,5,Erststimmen,Anderer Kreiswahlvorschlag,448,452,4,0.5117,0.5162,0.0045
WAHLKREIS,5,05 - Böblingen,,5,Erststimmen,CDU,26813,26816,3,30.6238,30.6259,0.0021
WAHLKREIS,5,05 - Böblingen,,5,Erststimmen,GRÜNE,23259,23258,-1,26.5647,26.5624,-0.0023
WAHLKREIS,5,05 - Böblingen,,5,Erststimmen,SPD,11595,11596,1,13.243,13.2435,0.0005
WAHLKREIS,5,05 - Böblingen,,5,Zweitstimmen,AfD,15262,15261,-1,17.3744,17.3726,-0.0018
WAHLKREIS,5,05 - Böblingen,,5,Zweitstimmen,CDU,26885,26887,2,30.6061,30.6073,0.0012
WAHLKREIS,5,05 - Böblingen,,5,Zweitstimmen,GRÜNE,28129,28128,-1,32.0223,32.02,-0.0023
WAHLKREIS,5,05 - Böblingen,,5,Zweitstimmen,PDR,92,93,1,0.1047,0.1059,0.0012
WAHLKREIS,5,05 - Böblingen,,5,Zweitstimmen,Tierschutzpartei,551,553,2,0.6273,0.6295,0.0022
WAHLKREIS,5,05 - Böblingen,,5,Zweitstimmen,Verjüngungsforschung,43,44,1,0.049,0.0501,0.0011
WAHLKREIS,5,05 - Böblingen,,5,Zweitstimmen,Werteunion,190,189,-1,0.2163,0.2152,-0.0011
WAHLKREIS,6,06 - Leonberg,,6,Erststimmen,AfD,15595,15597,2,16.2221,16.2234,0.0013
WAHLKREIS,6,06 - Leonberg,,6,Erststimmen,CDU,33431,33433,2,34.7754,34.7757,0.0003
WAHLKREIS,6,06 - Leonberg,,6,Erststimmen,FREIE WÄHLER,4143,4145,2,4.3096,4.3115,0.0019
WAHLKREIS,6,06 - Leonberg,,6,Erststimmen,GRÜNE,27605,27603,-2,28.7151,28.7116,-0.0035
WAHLKREIS,6,06 - Leonberg,,6,Erststimmen,SPD,6173,6174,1,6.4212,6.422,0.0008
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,AfD,15746,15745,-1,16.3311,16.3296,-0.0015
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,BSW,1171,1178,7,1.2145,1.2217,0.0072
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,CDU,29794,29800,6,30.9012,30.9065,0.0053
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,Die Gerechtigkeitspartei,141,140,-1,0.1462,0.1452,-0.001
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,FDP,4958,4954,-4,5.1422,5.1379,-0.0043
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,FREIE WÄHLER,2112,2111,-1,2.1905,2.1894,-0.0011
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,GRÜNE,32454,32455,1,33.66,33.66,0.0
WAHLKREIS,6,06 - Leonberg,,6,Zweitstimmen,KlimalisteBW,36,35,-1,0.0373,0.0363,-0.001
