poll_id,ags,municipality_name,metric,kommone_value,statla_value,delta
2,08115051,Weil im Schönbuch,voters_total,2288,2288,0.0
2,08115051,Weil im Schönbuch,valid_votes,2275,2284,-9.0
2,08115052,Weissach,reported_precincts,,4,
2,08115052,Weissach,total_precincts,,6,
2,08115052,Weissach,voters_total,2299,2299,0.0
2,08115052,Weissach,valid_votes,2289,2293,-4.0
2,08115053,Jettingen,reported_precincts,,5,
2,08115053,Jettingen,total_precincts,,5,
2,08115053,Jettingen,voters_total,4113,4113,0.0
2,08115053,Jettingen,valid_votes,4091,4095,-4.0
2,08115054,Grafenau,reported_precincts,,8,
2,08115054,Grafenau,total_precincts,,8,
2,08115054,Grafenau,voters_total,3578,3578,0.0
2,08115054,Grafenau,valid_votes,3547,3560,-13.0
2,08116004,Altbach,reported_precincts,,3,
2,08116004,Altbach,total_precincts,,4,
2,08116004,Altbach,voters_total,1677,1677,0.0
2,08116004,Altbach,valid_votes,1666,1670,-4.0
2,08116005,Altdorf,reported_precincts,,2,
2,08116005,Altdorf,total_precincts,,2,
2,08116005,Altdorf,voters_total,1059,1059,0.0
2,08116005,Altdorf,valid_votes,1051,1053,-2.0
2,08116006,Altenriet,reported_precincts,,0,
2,08116006,Altenriet,total_precincts,,2,
2,08116006,Altenriet,voters_total,0,0,0.0
2,08116006,Altenriet,valid_votes,0,0,0.0
2,08116007,Baltmannsweiler,reported_precincts,,6,
2,08116007,Baltmannsweiler,total_precincts,,6,
2,08116007,Baltmannsweiler,voters_total,2481,3316,-835.0
2,08116007,Baltmannsweiler,valid_votes,2460,3288,-828.0
2,08116008,Bempflingen,reported_precincts,,4,
2,08116008,Bempflingen,total_precincts,,4,
2,08116008,Bempflingen,voters_total,1912,1912,0.0
2,08116008,Bempflingen,valid_votes,1893,1897,-4.0
2,08116011,Beuren,reported_precincts,,3,
2,08116011,Beuren,total_precincts,,4,
2,08116011,Beuren,voters_total,1347,1347,0.0
2,08116011,Beuren,valid_votes,1328,1335,-7.0
2,08116012,Bissingen an der Teck,reported_precincts,,4,
2,08116012,Bissingen an der Teck,total_precincts,,4,
