level,identifier,name,ags,wahlkreisnummer,old_reported_precincts,new_reported_precincts,delta_reported_precincts,old_total_precincts,new_total_precincts,delta_total_precincts,old_voters_total,new_voters_total,delta_voters_total,old_valid_votes_erst,new_valid_votes_erst,delta_valid_votes_erst,old_valid_votes_zweit,new_valid_votes_zweit,delta_valid_votes_zweit
WAHLKREIS,19,19 - Eppingen,,19,144,144,0,144,144,0,76696,76697,1,75998,76002,4,76204,76205,1
WAHLKREIS,21,21 - Hohenlohe,,21,169,169,0,169,169,0,70598,70598,0,70054,70061,7,70125,70127,2
WAHLKREIS,22,22 - Schwäbisch Hall,,22,182,182,0,182,182,0,85570,85580,10,84856,84867,11,85010,85024,14
WAHLKREIS,23,23 - Main-Tauber,,23,204,204,0,204,204,0,70814,70801,-13,69885,69897,12,70244,70253,9
WAHLKREIS,24,24 - Heidenheim,,24,163,163,0,163,163,0,61264,61264,0,60722,60727,5,60879,60879,0
WAHLKREIS,25,25 - Schwäbisch Gmünd,,25,150,150,0,150,150,0,76994,76994,0,76194,76197,3,76528,76531,3
WAHLKREIS,26,26 - Aalen,,26,175,175,0,175,175,0,87271,87271,0,86475,86477,2,86727,86727,0
WAHLKREIS,27,27 - Karlsruhe I,,27,137,137,0,137,137,0,73513,73514,1,72982,72981,-1,73219,73215,-4
WAHLKREIS,28,28 - Karlsruhe II,,28,132,132,0,132,132,0,69168,69171,3,68531,68529,-2,68848,68857,9
WAHLKREIS,29,29 - Bruchsal,,29,152,152,0,152,152,0,78106,78106,0,77182,77179,-3,77575,77574,-1
WAHLKREIS,30,30 - Bretten,,30,177,177,0,177,177,0,83216,83217,1,82152,82153,1,82651,82654,3
WAHLKREIS,31,31 - Ettlingen,,31,157,157,0,157,157,0,69073,69073,0,68281,68280,-1,68645,68645,0
WAHLKREIS,32,32 - Rastatt,,32,153,153,0,153,153,0,74122,74122,0,73303,73305,2,73608,73609,1
WAHLKREIS,33,33 - Baden-Baden,,33,139,139,0,139,139,0,59841,59841,0,59206,59208,2,59400,59402,2
WAHLKREIS,34,34 - Heidelberg,,34,149,149,0,149,149,0,72563,72550,-13,72117,72116,-1,72322,72331,9
WAHLKREIS,35,35 - Mannheim I,,35,110,110,0,110,110,0,51316,51316,0,50885,50888,3,50944,50944,0
WAHLKREIS,36,36 - Mannheim II,,36,133,133,0,133,133,0,66325,66327,2,65879,65880,1,65984,65984,0
WAHLKREIS,37,37 - Wiesloch,,37,137,137,0,137,137,0,69230,69230,0,68583,68585,2,68786,68785,-1
WAHLKREIS,38,38 - Neckar-Odenwald,,38,189,189,0,189,189,0,74170,74174,4,73430,73435,5,73548,73547,-1
WAHLKREIS,39,39 - Weinheim,,39,191,191,0,191,191,0,77643,77645,2,77095,77096,1,77263,77263,0
WAHLKREIS,40,40 - Schwetzingen,,40,128,128,0,128,128,0,62260,62260,0,61651,61650,-1,61840,61839,-1
