ags,wahlkreis,wahlbezirk,gemeinde,name,wahlart,afd,gueltige_zweitstimmen,anteil_prozent,mehr_als_50_prozent,genau_50_prozent
15081030,001,000001,"Arendsee (Altmark), Stadt","01 Arendsee, Rathaus",U,297,570,52.10526315789474,True,False
15081030,001,000004,"Arendsee (Altmark), Stadt","04 Arendsee, Kleinau",U,68,113,60.176991150442475,True,False
15081030,001,000007,"Arendsee (Altmark), Stadt","07 Arendsee, Leppin",U,141,246,57.31707317073171,True,False
15081030,001,000009,"Arendsee (Altmark), Stadt","09 Arendsee, Zießau",U,85,165,51.515151515151516,True,False
15081030,001,000011,"Arendsee (Altmark), Stadt","11 Arendsee, Ziemendorf",U,53,102,51.96078431372549,True,False
15081030,001,000013,"Arendsee (Altmark), Stadt","13 Arendsee, Fleetmark",U,228,432,52.77777777777778,True,False
15081030,001,000015,"Arendsee (Altmark), Stadt","15 Arendsee, Mechau",U,74,144,51.388888888888886,True,False
15081045,001,000004,Beetzendorf,Beetzendorf,U,341,671,50.81967213114754,True,False
15081045,001,000008,Beetzendorf,"Beetzendorf, Mellin",U,54,88,61.36363636363637,True,False
15081045,001,000009,Beetzendorf,"Beetzendorf, Tangeln",U,86,159,54.088050314465406,True,False
15081225,001,000013,Jübar,Jübar,U,142,276,51.44927536231884,True,False
15081225,001,000014,Jübar,"Jübar, Bornsen",U,96,159,60.37735849056604,True,False
15081225,001,000016,Jübar,"Jübar, Lüdelsen",U,95,147,64.62585034013605,True,False
15081225,001,000017,Jübar,"Jübar, Nettgau",U,89,170,52.35294117647059,True,False
15081290,001,000018,Kuhfelde,Kuhfelde,U,132,242,54.54545454545455,True,False
15081290,001,000019,Kuhfelde,"Kuhfelde, Siedenlangenbeck",U,141,274,51.45985401459854,True,False
15081440,001,000021,Rohrberg,Rohrberg,U,157,289,54.325259515570934,True,False
15081440,001,000022,Rohrberg,"Rohrberg, Ahlum",U,128,217,58.986175115207374,True,False
15081455,001,000004,"Salzwedel, Hansestadt","Hort ""Pedro und Janina""",U,313,625,50.08,True,False
15081455,001,000011,"Salzwedel, Hansestadt",Dorfgemeinschaftshaus Dambeck,U,79,154,51.298701298701296,True,False
15081455,001,000012,"Salzwedel, Hansestadt",Dorfgemeinschaftshaus Mahlsdorf,U,177,352,50.28409090909091,True,False
15081455,001,000013,"Salzwedel, Hansestadt",Feuerwehr Henningen,U,149,290,51.37931034482759,True,False
15081455,001,000020,"Salzwedel, Hansestadt",Kulturhaus Langenapel,U,76,125,60.8,True,False
15081545,001,000024,Wallstawe,Wallstawe,U,148,259,57.142857142857146,True,False
15081135,002,000001,"Gardelegen, Hansestadt","01 Gardelegen, Sporthalle Willi Friedrichs",U,369,704,52.41477272727273,True,False
15081135,002,000003,"Gardelegen, Hansestadt","03 Gardelegen, Außenstelle Hansestadt Gardelegen",U,393,773,50.840879689521344,True,False
15081135,002,000004,"Gardelegen, Hansestadt","04 Gardelegen, Grundschule """"J-W.-v.-Goethe""""",U,355,702,50.56980056980057,True,False
15081135,002,000013,"Gardelegen, Hansestadt","13 Gardelegen, Algenstedt",U,68,115,59.130434782608695,True,False
15081135,002,000018,"Gardelegen, Hansestadt","18 Gardelegen, Wannefeld",U,75,145,51.724137931034484,True,False
15081135,002,000021,"Gardelegen, Hansestadt","21 Gardelegen, Breitenfeld",U,50,76,65.78947368421052,True,False
15081135,002,000028,"Gardelegen, Hansestadt","28 Gardelegen, Miesterhorst",U,165,325,50.76923076923077,True,False
15081135,002,000030,"Gardelegen, Hansestadt","30 Gardelegen, Sachau",U,39,68,57.35294117647059,True,False
15081135,002,000031,"Gardelegen, Hansestadt","31 Gardelegen, Jävenitz",U,250,490,51.02040816326531,True,False
15081240,002,000001,"Kalbe (Milde), Stadt",Kalbe I,U,270,528,51.13636363636363,True,False
15081240,002,000002,"Kalbe (Milde), Stadt",Kalbe II,U,229,444,51.57657657657658,True,False
15081240,002,000008,"Kalbe (Milde), Stadt",Jeetze,U,83,165,50.303030303030305,True,False
15081240,002,000010,"Kalbe (Milde), Stadt",Kahrstedt-Vietzen,U,52,98,53.06122448979592,True,False
15081240,002,000012,"Kalbe (Milde), Stadt",Karritz,U,48,83,57.83132530120482,True,False
15081240,002,000015,"Kalbe (Milde), Stadt",Wernstedt,U,46,85,54.11764705882353,True,False
15081240,002,000016,"Kalbe (Milde), Stadt",Winkelstedt,U,65,115,56.52173913043478,True,False
15081280,002,000004,"Klötze, Stadt",Klötze Purnitzschule,U,276,497,55.53319919517103,True,False
15081280,002,000017,"Klötze, Stadt",Klötze Röwitz,U,62,101,61.386138613861384,True,False
15083411,002,411021,"Oebisfelde-Weferlingen, Stadt","021 Kindertagesstätte """"Drömlingsstrolche"""", Bösdorf",U,105,203,51.724137931034484,True,False
15083411,002,411031,"Oebisfelde-Weferlingen, Stadt",031 Feuerwehr Eickendorf,U,57,95,60.0,True,False
15083411,002,411061,"Oebisfelde-Weferlingen, Stadt",061 Feuerwehr Rätzlingen,U,178,331,53.77643504531722,True,False
15083411,002,411090,"Oebisfelde-Weferlingen, Stadt",090 Dorfgemeinschaftshaus Döhren,U,66,113,58.4070796460177,True,False
15083411,002,411092,"Oebisfelde-Weferlingen, Stadt",092 Dorfgemeinschaftshaus Everingen,U,69,106,65.09433962264151,True,False
15083411,002,411096,"Oebisfelde-Weferlingen, Stadt",096 Dorfgemeinschaftshaus Ribbensdorf,U,132,239,55.23012552301255,True,False
15083411,002,411098,"Oebisfelde-Weferlingen, Stadt",098 Dorfgemeinschaftshaus Seggerde,U,34,65,52.30769230769231,True,False
15083411,002,411100,"Oebisfelde-Weferlingen, Stadt",100 Feuerwehr Walbeck,U,178,355,50.140845070422536,True,False
15083411,002,411101,"Oebisfelde-Weferlingen, Stadt",101 Grundschule Weferlingen,U,254,484,52.47933884297521,True,False
15090003,003,000001,Aland,"01 Aland, Aulosen",U,92,166,55.42168674698795,True,False
15090003,003,000002,Aland,"02 Aland, Krüden",U,176,313,56.23003194888179,True,False
15090003,003,000003,Aland,"03 Aland, Pollitz",U,78,149,52.348993288590606,True,False
15090007,003,000005,Altmärkische Höhe,"05 Altmärkische Höhe, Einwinkel",U,60,107,56.074766355140184,True,False
15090007,003,000007,Altmärkische Höhe,"07 Altmärkische Höhe, Heiligenfelde",U,78,114,68.42105263157895,True,False
15090007,003,000008,Altmärkische Höhe,"08 Altmärkische Höhe, Kossebau",U,104,182,57.142857142857146,True,False
15090007,003,000009,Altmärkische Höhe,"09 Altmärkische Höhe, Wohlenberg",U,133,233,57.081545064377686,True,False
15090008,003,000010,Altmärkische Wische,"10 Altmärkische Wische, Falkenberg",U,50,89,56.17977528089887,True,False
15090008,003,000011,Altmärkische Wische,"11 Altmärkische Wische, Lichterfelde",U,71,138,51.44927536231884,True,False
15090008,003,000012,Altmärkische Wische,"12 Altmärkische Wische, Neukirchen",U,59,113,52.21238938053097,True,False
15090008,003,000013,Altmärkische Wische,"13 Altmärkische Wische, Wendemark",U,58,99,58.58585858585859,True,False
15090010,003,000020,"Arneburg, Stadt",20 Arneburg,U,381,689,55.29753265602322,True,False
15090135,003,000031,Eichstedt (Altmark),"31 Eichstedt, Baben",U,55,103,53.398058252427184,True,False
15090135,003,000032,Eichstedt (Altmark),"32 Eichstedt, Lindtorf",U,92,159,57.861635220125784,True,False
15090220,003,000051,Hassel,"51 Hassel, Sanne",U,44,76,57.89473684210526,True,False
15090225,003,000001,"Havelberg, Hansestadt","01 Havelberg, Rathaus",U,517,902,57.31707317073171,True,False
15090225,003,000002,"Havelberg, Hansestadt","02 Havelberg, Sportforum",U,570,1039,54.8604427333975,True,False
15090225,003,000004,"Havelberg, Hansestadt","04 Havelberg, Jederitz",U,52,83,62.65060240963855,True,False
15090225,003,000005,"Havelberg, Hansestadt","05 Havelberg, Nitzow",U,142,259,54.826254826254825,True,False
15090225,003,000006,"Havelberg, Hansestadt","06 Havelberg, Vehlgast-Kümmernitz",U,97,150,64.66666666666667,True,False
15090225,003,000008,"Havelberg, Hansestadt","08 Havelberg, Kuhlhausen",U,48,73,65.75342465753425,True,False
15090225,003,000009,"Havelberg, Hansestadt","09 Havelberg, Warnau",U,63,119,52.94117647058823,True,False
15090245,003,000060,Hohenberg-Krusemark,60 Hohenberg-Krusemark,U,171,318,53.77358490566038,True,False
15090245,003,000061,Hohenberg-Krusemark,"61 Hohenberg-Krusemark, Hindenburg",U,130,219,59.36073059360731,True,False
15090245,003,000062,Hohenberg-Krusemark,"62 Hohenberg-Krusemark, Schwarzholz",U,89,144,61.80555555555556,True,False
15090270,003,000070,Iden,70 Iden,U,163,320,50.9375,True,False
15090285,003,000002,Kamern,"02 Kamern, Schönfeld",U,61,112,54.464285714285715,True,False
15090310,003,000004,Klietz,04 Klietz,U,315,542,58.11808118081181,True,False
15090310,003,000006,Klietz,"06 Klietz, Scharlibbe",U,77,118,65.2542372881356,True,False
15090415,003,000002,"Osterburg (Altmark), Hansestadt","02 Osterburg, Grundschule am Hain",U,536,1036,51.737451737451735,True,False
15090415,003,000004,"Osterburg (Altmark), Hansestadt","04 Osterburg, Ballerstedt",U,58,109,53.211009174311926,True,False
15090415,003,000006,"Osterburg (Altmark), Hansestadt","06 Osterburg, Erxleben",U,121,225,53.77777777777778,True,False
15090415,003,000007,"Osterburg (Altmark), Hansestadt","07 Osterburg, Flessau",U,194,376,51.59574468085106,True,False
15090415,003,000010,"Osterburg (Altmark), Hansestadt","10 Osterburg, Krevese",U,118,220,53.63636363636363,True,False
15090435,003,000080,Rochau,80 Rochau,U,160,296,54.054054054054056,True,False
15090435,003,000081,Rochau,"81 Rochau, Klein Schwechten",U,125,242,51.65289256198347,True,False
15090445,003,000007,"Sandau (Elbe), Stadt",07 Sandau (Elbe),U,262,430,60.93023255813954,True,False
15090485,003,000008,Schollene,08 Schollene,U,300,573,52.35602094240838,True,False
15090500,003,000009,Schönhausen (Elbe),"09 Schönhausen, Bürgerzentrum",U,309,498,62.04819277108434,True,False
15090500,003,000010,Schönhausen (Elbe),"10 Schönhausen, Grundschule",U,230,409,56.23471882640587,True,False
15090500,003,000011,Schönhausen (Elbe),"11 Schönhausen, Hohengöhren",U,106,205,51.707317073170735,True,False
