ags,gemeinde,urnenwahlbezirke,urnenwahlbezirke_afd_ueber_50,anteil_qualifizierender_urnenwahlbezirke_prozent,briefwahlbezirke,briefwahlbezirke_afd_ueber_50,kartenkategorie
15084360,"Nebra (Unstrut), Stadt",3,3,100.0,1,0,alle
15084375,"Osterfeld, Stadt",2,2,100.0,1,0,alle
15084442,Schnaudertal,5,5,100.0,1,0,alle
15084445,Schönburg,1,1,100.0,1,0,alle
15084470,"Stößen, Stadt",1,1,100.0,1,0,alle
15084490,"Teuchern, Stadt",9,9,100.0,2,0,alle
15084550,"Weißenfels, Stadt",32,29,90.625,7,0,ein_teil
15084560,Wethau,1,1,100.0,1,0,alle
15084565,Wetterzeube,3,3,100.0,1,0,alle
15084590,"Zeitz, Stadt",26,25,96.15384615384616,3,0,ein_teil
15085040,"Ballenstedt, Stadt",7,5,71.42857142857143,2,0,ein_teil
15085055,"Blankenburg (Harz), Stadt",17,11,64.70588235294117,3,0,ein_teil
15085090,Ditfurt,1,1,100.0,1,0,alle
15085110,"Falkenstein/Harz, Stadt",8,6,75.0,1,0,ein_teil
15085125,Groß Quenstedt,1,0,0.0,1,0,keiner
15085135,"Halberstadt, Stadt",23,16,69.56521739130434,8,0,ein_teil
15085140,Harsleben,1,1,100.0,1,0,alle
15085145,"Harzgerode, Stadt",11,10,90.9090909090909,2,0,ein_teil
15085160,Hedersleben,1,1,100.0,1,0,alle
15085185,Huy,11,7,63.63636363636363,1,0,ein_teil
15085190,"Ilsenburg (Harz), Stadt",7,0,0.0,2,0,keiner
15085227,Nordharz,8,4,50.0,1,0,ein_teil
15085228,"Oberharz am Brocken, Stadt",10,8,80.0,2,0,ein_teil
15085230,"Osterwieck, Stadt",19,8,42.10526315789474,2,0,ein_teil
15085235,"Quedlinburg, Welterbestadt",13,9,69.23076923076923,5,0,ein_teil
15085285,"Schwanebeck, Stadt",2,2,100.0,1,0,alle
15085287,Selke-Aue,3,2,66.66666666666667,1,0,ein_teil
15085330,"Thale, Stadt",14,11,78.57142857142857,4,0,ein_teil
15085365,"Wegeleben, Stadt",4,4,100.0,1,0,alle
15085370,"Wernigerode, Stadt",20,1,5.0,6,0,ein_teil
15086005,Biederitz,6,2,33.333333333333336,2,0,ein_teil
15086015,"Burg, Stadt",16,13,81.25,3,0,ein_teil
15086035,Elbe-Parey,7,5,71.42857142857143,1,0,ein_teil
15086040,"Genthin, Stadt",12,10,83.33333333333333,2,0,ein_teil
15086055,"Gommern, Stadt",14,6,42.857142857142854,1,0,ein_teil
15086080,"Jerichow, Stadt",12,9,75.0,1,0,ein_teil
15086140,"Möckern, Stadt",28,19,67.85714285714286,2,0,ein_teil
15086145,Möser,7,4,57.142857142857146,2,0,ein_teil
15087010,Ahlsdorf,1,1,100.0,1,0,alle
15087015,"Allstedt, Stadt",14,13,92.85714285714286,1,0,ein_teil
15087031,"Arnstein, Stadt",12,11,91.66666666666667,1,0,ein_teil
15087045,Benndorf,1,1,100.0,1,0,alle
15087055,Berga,3,3,100.0,1,0,alle
15087070,Blankenheim,1,1,100.0,1,0,alle
15087075,Bornstedt,1,1,100.0,1,0,alle
15087101,Brücken-Hackpfüffel,2,2,100.0,1,0,alle
15087125,Edersleben,1,1,100.0,1,0,alle
15087130,"Eisleben, Lutherstadt",21,21,100.0,3,0,alle
15087165,"Gerbstedt, Stadt",14,13,92.85714285714286,1,0,ein_teil
15087205,Helbra,2,2,100.0,1,0,alle
15087210,Hergisdorf,1,1,100.0,1,0,alle
15087220,"Hettstedt, Stadt",12,12,100.0,3,0,alle
15087250,"Kelbra (Kyffhäuser), Stadt",5,3,60.0,1,0,ein_teil
15087260,Klostermansfeld,1,1,100.0,1,0,alle
15087275,"Mansfeld, Stadt",16,14,87.5,1,0,ein_teil
15087370,"Sangerhausen, Stadt",28,23,82.14285714285714,5,0,ein_teil
15087386,Seegebiet Mansfelder Land,13,12,92.3076923076923,1,0,ein_teil
15087412,Südharz,16,14,87.5,2,0,ein_teil
15087440,Wallhausen,4,4,100.0,1,0,alle
15087470,Wimmelburg,1,1,100.0,1,0,alle
15088020,"Bad Dürrenberg, Stadt",9,9,100.0,1,0,alle
15088025,"Bad Lauchstädt, Goethestadt",7,7,100.0,2,0,alle
15088030,Barnstädt,1,1,100.0,1,0,alle
15088065,"Braunsbedra, Stadt",10,10,100.0,1,0,alle
15088100,Farnstädt,2,2,100.0,1,0,alle
15088150,Kabelsketal,5,4,80.0,1,0,ein_teil
15088195,"Landsberg, Stadt",17,14,82.3529411764706,3,0,ein_teil
15088205,"Leuna, Stadt",11,10,90.9090909090909,3,0,ein_teil
15088216,"Wettin-Löbejün, Stadt",10,9,90.0,2,0,ein_teil
15088220,"Merseburg, Stadt",21,19,90.47619047619048,7,0,ein_teil
15088235,"Mücheln (Geiseltal), Stadt",11,11,100.0,1,0,alle
15088250,Nemsdorf-Göhrendorf,1,1,100.0,1,0,alle
15088265,Obhausen,2,2,100.0,1,0,alle
15088295,Petersberg,11,9,81.81818181818181,2,0,ein_teil
15088305,"Querfurt, Stadt",13,12,92.3076923076923,3,0,ein_teil
15088319,Salzatal,9,8,88.88888888888889,2,0,ein_teil
15088330,Schkopau,13,13,100.0,2,0,alle
15088340,"Schraplau, Stadt",1,1,100.0,1,0,alle
15088355,Steigra,2,2,100.0,1,0,alle
15088365,Teutschenthal,13,13,100.0,2,0,alle
15089005,"Alsleben (Saale), Stadt",3,3,100.0,1,0,alle
15089015,"Aschersleben, Stadt",23,17,73.91304347826087,3,0,ein_teil
15089026,"Barby, Stadt",13,9,69.23076923076923,1,0,ein_teil
15089030,"Bernburg (Saale), Stadt",23,18,78.26086956521739,4,0,ein_teil
15089041,Bördeaue,2,2,100.0,1,0,alle
15089042,Bördeland,7,7,100.0,1,0,alle
15089043,Börde-Hakel,3,3,100.0,1,0,alle
15089045,Borne,1,1,100.0,1,0,alle
15089055,"Calbe (Saale), Stadt",7,5,71.42857142857143,1,0,ein_teil
15089075,"Egeln, Stadt",3,3,100.0,1,0,alle
15089130,Giersleben,1,1,100.0,1,0,alle
15089165,"Güsten, Stadt",5,5,100.0,1,0,alle
15089175,"Hecklingen, Stadt",5,5,100.0,1,0,alle
15089185,Ilberstedt,1,1,100.0,1,0,alle
15089195,"Könnern, Stadt",10,9,90.0,1,0,ein_teil
15089235,"Nienburg (Saale), Stadt",8,8,100.0,1,0,alle
15089245,Plötzkau,3,3,100.0,1,0,alle
15089305,"Schönebeck (Elbe), Stadt",23,13,56.52173913043478,3,0,ein_teil
15089307,"Seeland, Stadt",6,5,83.33333333333333,1,0,ein_teil
15089310,"Staßfurt, Salzstadt",16,15,93.75,3,0,ein_teil
15089365,Wolmirsleben,1,1,100.0,1,0,alle
15090003,Aland,4,3,75.0,1,0,ein_teil
15090007,Altmärkische Höhe,5,4,80.0,1,0,ein_teil
15090008,Altmärkische Wische,4,4,100.0,1,0,alle
15090010,"Arneburg, Stadt",2,1,50.0,1,0,ein_teil
15090070,"Bismark (Altmark), Stadt",21,9,42.857142857142854,2,0,ein_teil
15090135,Eichstedt (Altmark),3,2,66.66666666666667,1,0,ein_teil
15090180,Goldbeck,2,0,0.0,1,0,keiner
15090220,Hassel,2,1,50.0,1,0,ein_teil
15090225,"Havelberg, Hansestadt",8,7,87.5,2,0,ein_teil
15090245,Hohenberg-Krusemark,3,3,100.0,1,0,alle
15090270,Iden,2,1,50.0,1,0,ein_teil
15090285,Kamern,3,1,33.333333333333336,1,0,ein_teil
15090310,Klietz,3,2,66.66666666666667,1,0,ein_teil
15090415,"Osterburg (Altmark), Hansestadt",13,5,38.46153846153846,2,0,ein_teil
15090435,Rochau,2,2,100.0,1,0,alle
15090445,"Sandau (Elbe), Stadt",1,1,100.0,1,0,alle
15090485,Schollene,1,1,100.0,1,0,alle
15090500,Schönhausen (Elbe),3,3,100.0,1,0,alle
15090520,"Seehausen (Altmark), Hansestadt",5,4,80.0,1,0,ein_teil
15090535,"Stendal, Hansestadt",36,19,52.77777777777778,6,0,ein_teil
15090546,"Tangerhütte, Stadt",19,15,78.94736842105263,2,0,ein_teil
15090550,"Tangermünde, Stadt",12,8,66.66666666666667,2,0,ein_teil
15090610,"Werben (Elbe), Hansestadt",2,2,100.0,1,0,alle
15090631,Wust-Fischbeck,3,3,100.0,1,0,alle
15090635,Zehrental,2,1,50.0,1,0,ein_teil
15091010,"Annaburg, Stadt",12,10,83.33333333333333,2,0,ein_teil
15091020,"Bad Schmiedeberg, Stadt",12,10,83.33333333333333,1,0,ein_teil
15091060,"Coswig (Anhalt), Stadt",23,17,73.91304347826087,2,0,ein_teil
15091110,"Gräfenhainichen, Stadt",12,11,91.66666666666667,2,0,ein_teil
15091145,"Jessen (Elster), Stadt",21,15,71.42857142857143,2,0,ein_teil
15091160,"Kemberg, Stadt",15,8,53.333333333333336,2,0,ein_teil
15091241,"Oranienbaum-Wörlitz, Stadt",12,8,66.66666666666667,2,0,ein_teil
15091375,"Wittenberg, Lutherstadt",37,14,37.83783783783784,12,0,ein_teil
15091391,"Zahna-Elster, Stadt",12,6,50.0,2,0,ein_teil
