party,feature,log_odds_per_sd,leave_one_block_min,leave_one_block_max,pearson_dispersion,n
AfD,log_population,-0.25726469876267627,-0.26961543249361825,-0.23474547285859687,82.88223866060811,116
AfD,age19_24_share,-0.11364822654606271,-0.133150324616203,-0.07958019911653982,82.88223866060811,116
AfD,age67_share,-0.015984018185581185,-0.04509098657439706,0.016833366019003697,82.88223866060811,116
AfD,owner_occupancy_share,-0.11129167841370566,-0.17097464305197174,-0.06329242786970894,82.88223866060811,116
AfD,foreign_citizenship_share,-0.03438060195729457,-0.0653466704449151,-0.016261190496899742,82.88223866060811,116
SPD,log_population,0.07045802004437866,0.05557097220432867,0.09122038207493595,40.15025699612841,116
SPD,age19_24_share,-0.04838806112582164,-0.07623288971347436,-0.014053268676350301,40.15025699612841,116
SPD,age67_share,0.00828497138919533,-0.014008243827816621,0.02846109834542501,40.15025699612841,116
SPD,owner_occupancy_share,0.008373027205687764,-0.04435760384033969,0.0623287567482457,40.15025699612841,116
SPD,foreign_citizenship_share,0.049632533060334286,0.03520550484521058,0.07472639204486706,40.15025699612841,116
Die Linke,log_population,0.21957730828832894,0.12154583580366378,0.2377129557175709,9.466045434275115,116
Die Linke,age19_24_share,0.20380918354316901,0.18968194923267692,0.28199096270935653,9.466045434275115,116
Die Linke,age67_share,-0.021013809932702743,-0.03897770481117423,0.0016628126512256015,9.466045434275115,116
Die Linke,owner_occupancy_share,-0.01801705194844977,-0.05035921726408266,0.023769687948944292,9.466045434275115,116
Die Linke,foreign_citizenship_share,-0.04717253971856239,-0.06399769763376385,-0.03615910422134481,9.466045434275115,116
GRÜNE,log_population,0.3973599099159748,0.36995169909313813,0.5000258930713186,46.80167388093207,116
GRÜNE,age19_24_share,0.24978858527080539,0.05832872409793723,0.31157387486200105,46.80167388093207,116
GRÜNE,age67_share,-0.04937892548277639,-0.10733730969420077,-0.023885144721586697,46.80167388093207,116
GRÜNE,owner_occupancy_share,0.20926573311373337,0.13833759564543519,0.2880448139434263,46.80167388093207,116
GRÜNE,foreign_citizenship_share,0.00971001082695122,-0.028382760643461496,0.0838998415101614,46.80167388093207,116
CDU,log_population,0.07677522204725848,0.03375096595549129,0.17639434615816438,10.777399464976785,116
CDU,age19_24_share,-0.01495424180624616,-0.2019072649015579,0.04285877470860814,10.777399464976785,116
CDU,age67_share,0.05914645945989527,0.053407521077011195,0.06894007809558828,10.777399464976785,116
CDU,owner_occupancy_share,0.13737600229742875,0.10746267008252783,0.1603627497031666,10.777399464976785,116
CDU,foreign_citizenship_share,0.054373611411984574,0.03240090512321477,0.09220834060758304,10.777399464976785,116
BSW,log_population,0.09023408026703958,0.054357483128440326,0.10280169338975663,9.436751091300888,116
BSW,age19_24_share,-0.11432514528923643,-0.12742900392802894,-0.03457627868508386,9.436751091300888,116
BSW,age67_share,0.0010377919209922926,-0.008933615876847002,0.02414764900269659,9.436751091300888,116
BSW,owner_occupancy_share,-0.002523007850489256,-0.02322574841015735,0.0399053245591782,9.436751091300888,116
BSW,foreign_citizenship_share,-0.027914839424290072,-0.06336622649503199,-0.005204604554773488,9.436751091300888,116
Tierschutzpartei,log_population,-0.16380834135753658,-0.2043518016554599,-0.127012254761596,5.044017388857489,116
Tierschutzpartei,age19_24_share,0.12965528673012816,0.08215272922395557,0.1946395567785061,5.044017388857489,116
Tierschutzpartei,age67_share,-0.004093316138719438,-0.029089885930644745,0.01202515680438581,5.044017388857489,116
Tierschutzpartei,owner_occupancy_share,-0.11155507910457335,-0.1525273521911978,-0.0036034670733550264,5.044017388857489,116
Tierschutzpartei,foreign_citizenship_share,-0.039585246330086865,-0.07836854208717957,-0.016515151537217075,5.044017388857489,116
FDP,log_population,0.03708894463118356,0.01819272672188963,0.09696603493735698,4.708629586835633,116
FDP,age19_24_share,0.1734944553400033,0.022830862077870884,0.20496902898594085,4.708629586835633,116
FDP,age67_share,0.029136849660575947,0.005926311113269319,0.04472498034874958,4.708629586835633,116
FDP,owner_occupancy_share,0.19970253349296713,0.1428984043088341,0.22403475758065503,4.708629586835633,116
FDP,foreign_citizenship_share,0.008036903927637118,-0.02820138435144949,0.05474439517228391,4.708629586835633,116
