capture,time,commit,party,votes,share
2026-09-20-19-12-15,2026-09-20T17:12:21.930864+00:00,fae2057afb39a37add9f1db42adbf3fe95280c41,AfD,44440,49.526908803174
2026-09-20-19-12-15,2026-09-20T17:12:21.930864+00:00,fae2057afb39a37add9f1db42adbf3fe95280c41,BSW,4378,4.879136065263181
2026-09-20-19-12-15,2026-09-20T17:12:21.930864+00:00,fae2057afb39a37add9f1db42adbf3fe95280c41,Bündnis C,69,0.07689821573850149
2026-09-20-19-12-15,2026-09-20T17:12:21.930864+00:00,fae2057afb39a37add9f1db42adbf3fe95280c41,CDU,3445,3.83933845245127
2026-09-20-19-12-15,2026-09-20T17:12:21.930864+00:00,fae2057afb39a37add9f1db42adbf3fe95280c41,Die Linke,3787,4.220486130459495
2026-09-20-19-12-15,2026-09-20T17:12:21.930864+00:00,fae2057afb39a37add9f1db42adbf3fe95280c41,Die PARTEI,174,0.19391723968839505
2026-09-20-19-12-15,2026-09-20T17:12:21.930864+00:00,fae2057afb39a37add9f1db42adbf3fe95280c41,FDP,685,0.7634098229112104
2026-09-20-19-12-15,2026-09-20T17:12:21.930864+00:00,fae2057afb39a37add9f1db42adbf3fe95280c41,FREIE WÄHLER,363,0.40455148279820347
2026-09-20-19-12-15,2026-09-20T17:12:21.930864+00:00,fae2057afb39a37add9f1db42adbf3fe95280c41,GRÜNE,2848,3.174001716279018
2026-09-20-19-12-15,2026-09-20T17:12:21.930864+00:00,fae2057afb39a37add9f1db42adbf3fe95280c41,Handwerker Partei Deutschland,394,0.4390999565357911
2026-09-20-19-12-15,2026-09-20T17:12:21.930864+00:00,fae2057afb39a37add9f1db42adbf3fe95280c41,KPD,60,0.06686801368565347
2026-09-20-19-12-15,2026-09-20T17:12:21.930864+00:00,fae2057afb39a37add9f1db42adbf3fe95280c41,PIRATEN,151,0.16828450110889456
2026-09-20-19-12-15,2026-09-20T17:12:21.930864+00:00,fae2057afb39a37add9f1db42adbf3fe95280c41,PdF,48,0.05349441094852277
