wahlkreis,label,share,valid
28,AfD,0.3983339741125208,39015
1,SPD,0.3315121002345672,34958
18,AfD,0.39671693071196795,26195
30,AfD,0.48973681969167876,35223
34,AfD,0.41731680467142107,20893
35,AfD,0.5067859806114839,20115
23,AfD,0.39111111111111113,27000
25,AfD,0.4338310689566778,31208
10,SPD,0.4170324846356453,25058
11,SPD,0.3801212516651714,36783
26,AfD,0.33696535244922343,20925
27,SPD,0.3764871842644593,37571
32,AfD,0.4036046982584042,29628
17,SPD,0.401209756097561,25625
19,AfD,0.41453638185610864,24449
31,AfD,0.42682060390763765,28150
16,AfD,0.4045458602326481,33613
15,AfD,0.43706583391753234,31382
13,AfD,0.5167515536657166,21401
14,AfD,0.46527537235885,23096
36,AfD,0.4902681068041011,18239
20,AfD,0.4179322758465519,35556
29,AfD,0.4737426963472775,27897
12,SPD,0.39053114505983066,42286
22,AfD,0.48903080390683695,26620
3,SPD,0.3731729680168276,18541
2,SPD,0.38659681292294257,18324
9,SPD,0.40517978375660046,19885
8,SPD,0.37835085664825235,39281
21,AfD,0.39159275263437193,26382
5,SPD,0.39031647281579657,25879
6,SPD,0.3627143597153685,36679
4,SPD,0.3718665601582411,26289
7,SPD,0.35516267648864336,40725
24,AfD,0.46642476791857124,21221
33,AfD,0.4373667515989808,19231
