wahlkreis,label,share,valid
28,Keine Mehrheit,0.3983339741125208,39015
1,Keine Mehrheit,0.2843698152068196,34958
18,Keine Mehrheit,0.39671693071196795,26195
30,Keine Mehrheit,0.48973681969167876,35223
34,Keine Mehrheit,0.41731680467142107,20893
35,Mehrheit > 50 %,0.5067859806114839,20115
23,Keine Mehrheit,0.39111111111111113,27000
25,Keine Mehrheit,0.4338310689566778,31208
10,Keine Mehrheit,0.32340968952031285,25058
11,Keine Mehrheit,0.35410379795014,36783
26,Keine Mehrheit,0.33696535244922343,20925
27,Keine Mehrheit,0.3648292566074898,37571
32,Keine Mehrheit,0.4036046982584042,29628
17,Keine Mehrheit,0.3907121951219512,25625
19,Keine Mehrheit,0.41453638185610864,24449
31,Keine Mehrheit,0.42682060390763765,28150
16,Keine Mehrheit,0.4045458602326481,33613
15,Keine Mehrheit,0.43706583391753234,31382
13,Mehrheit > 50 %,0.5167515536657166,21401
14,Keine Mehrheit,0.46527537235885,23096
36,Keine Mehrheit,0.4902681068041011,18239
20,Keine Mehrheit,0.4179322758465519,35556
29,Keine Mehrheit,0.4737426963472775,27897
12,Keine Mehrheit,0.3351463841460531,42286
22,Keine Mehrheit,0.48903080390683695,26620
3,Keine Mehrheit,0.35515883717167357,18541
2,Keine Mehrheit,0.36815105872080334,18324
9,Keine Mehrheit,0.3530802112144833,19885
8,Keine Mehrheit,0.2684249382653191,39281
21,Keine Mehrheit,0.39159275263437193,26382
5,Keine Mehrheit,0.29297886317091076,25879
6,Keine Mehrheit,0.17233294255568582,36679
4,Keine Mehrheit,0.3317737456730952,26289
7,Keine Mehrheit,0.25524861878453037,40725
24,Keine Mehrheit,0.46642476791857124,21221
33,Keine Mehrheit,0.4373667515989808,19231
