party,feature,label,n,valid_votes,pearson_equal,spearman_equal,pearson_vote_weighted,spearman_vote_weighted,ballot_context_r,absolute_party_votes_pearson,complete_areas_r,complete_areas_n,without_rostock_schwerin_r,within_block_rank_r,leave_one_block_min,leave_one_block_max
AfD,log_population,Einwohnerzahl (log),116,1015323,-0.3706757393893875,-0.22873947641563833,-0.7939725089594928,-0.726797593280511,-0.1302368845846379,0.861107701711761,-0.7939725089594928,116,-0.5438608749663513,-0.26264230078535944,-0.8544403754227592,-0.6423911572965436
SPD,log_population,Einwohnerzahl (log),116,1015323,0.1500907756599033,0.1634182908545727,0.3220657626172208,0.3461943806741258,0.023503546226647097,0.8001703121916545,0.3220657626172208,116,0.2325334661397305,0.16539445675837297,0.2679722984748112,0.39934381638672006
Die Linke,log_population,Einwohnerzahl (log),116,1015323,0.6733835989726408,0.3587283281436205,0.8917630287961545,0.7838419546004143,0.10390962803094257,0.6953422310640776,0.8917630287961545,116,0.7172369348251075,0.4152046492113836,0.7449821038942833,0.9125727379872484
GRÜNE,log_population,Einwohnerzahl (log),116,1015323,0.4558290697543292,0.13717756506362203,0.8163681009232518,0.6531305379754198,0.1147974965112529,0.697905764303882,0.8163681009232518,116,0.5439051078467545,0.17575435936979675,0.6486804109132122,0.8533978981676832
CDU,log_population,Einwohnerzahl (log),116,1015323,-0.12149026588711097,-0.10866105408834044,-0.10554662157751526,-0.10447174940144173,-0.003983865510789666,0.8074339698543367,-0.10554662157751526,116,-0.13149173376090625,-0.07901391064413053,-0.2404124643320523,0.08867080614167609
BSW,log_population,Einwohnerzahl (log),116,1015323,-0.03630999854403656,-0.018106331449659785,-0.09811154683756246,-0.1177918507709735,-0.003477847388111224,0.7948153453593739,-0.09811154683756246,116,-0.05928105626707882,0.023735488378056745,-0.16236666127954963,-0.07043347312864455
Tierschutzpartei,log_population,Einwohnerzahl (log),116,1015323,0.002805902283094033,-0.013339484104101795,0.056522615285880845,0.06449786974407175,0.0014712241400361272,0.7800937128576481,0.056522615285880845,116,0.21098575499205302,0.0761936210918781,-0.02493285292478316,0.16314081492839314
FDP,log_population,Einwohnerzahl (log),116,1015323,0.022959464289803753,0.035812862799369544,0.10407861370410561,0.1363712911308343,0.0025925639341065542,0.7753484259829887,0.10407861370410561,116,0.07163920738684,0.08087365175109508,0.021069489491451626,0.16432395131732205
AfD,age67_share,Anteil 67 Jahre und älter,116,1015323,-0.05917316469452814,0.006404490062660978,0.04758297722265455,0.041906816961804504,0.007805130080462863,-0.006971629933518021,0.04758297722265455,116,0.03611439788834506,-0.2033696801100127,-0.08179112809790354,0.09010554650057935
SPD,age67_share,Anteil 67 Jahre und älter,116,1015323,0.14979385066912662,0.07619267289432206,0.11344946947141275,0.12028991370248651,0.00827925585272181,-0.004055501654536725,0.11344946947141275,116,0.11439765744168585,0.36321092028909213,0.07094996825295569,0.18093920015351797
Die Linke,age67_share,Anteil 67 Jahre und älter,116,1015323,-0.026121402748016963,-0.0038057894129858148,-0.07349595120167325,0.032021127882474486,-0.008563863610106977,-0.014576612384902137,-0.07349595120167325,116,-0.05892031610665347,0.08264573677523611,-0.12032482109334289,0.05089704684786034
GRÜNE,age67_share,Anteil 67 Jahre und älter,116,1015323,-0.13339526006227848,-0.20976434859493331,-0.17603946386654656,-0.20198979363995298,-0.024754629334742442,-0.03174696981896881,-0.17603946386654656,116,-0.22360826572999468,-0.15312822796823058,-0.2308455617319033,-0.055922380822414734
CDU,age67_share,Anteil 67 Jahre und älter,116,1015323,0.24222137913178302,0.10414023757352094,0.13393560240783484,0.027270150039490147,0.005055409819134186,0.00152119602877186,0.13393560240783484,116,0.11209202754531214,0.1074325926592517,0.08067435230804491,0.17871265212865417
BSW,age67_share,Anteil 67 Jahre und älter,116,1015323,-0.1256619419065416,-0.14785684081036404,0.007149140370088632,-0.005052544549301914,0.0002534219463945295,-0.009552260185395569,0.007149140370088632,116,0.0052771176579530015,-0.1214114705858369,-0.06516842761187655,0.07785057031193675
Tierschutzpartei,age67_share,Anteil 67 Jahre und älter,116,1015323,0.1824673687168543,0.12985045938569176,0.07249294608481115,0.01469935699356582,0.0018869150290176545,-0.0007429713862427968,0.07249294608481115,116,0.09653133615777644,0.1092920563630104,-0.030109549432505888,0.1457757174523916
FDP,age67_share,Anteil 67 Jahre und älter,116,1015323,0.0030056480535076984,-0.05190481682235805,-0.1845837965887291,-0.22678268592239256,-0.00459792148286005,-0.03094260470545664,-0.1845837965887291,116,-0.1757177934388066,0.012191141314602572,-0.2323420502174643,-0.14032278726914532
AfD,age19_24_share,Anteil 19–24 Jahre,116,1015323,-0.36444333995226075,-0.2056433321800638,-0.7227513464490903,-0.6540905668365127,-0.1185543361120128,0.6248165402209551,-0.7227513464490903,116,-0.5286462839961518,-0.15772277281141123,-0.7985083224008015,-0.5631281188290195
SPD,age19_24_share,Anteil 19–24 Jahre,116,1015323,0.16190032252317305,0.20310613923807327,0.2054665529961491,0.28375196044402684,0.014994430290047267,0.6137582949927785,0.2054665529961491,116,0.10281082409710322,0.16940231291331578,0.14504742008823973,0.28771921752433194
Die Linke,age19_24_share,Anteil 19–24 Jahre,116,1015323,0.7202617023583204,0.311398147080306,0.9087975298934821,0.7648932304205383,0.10589451484005989,0.6026475150477761,0.9087975298934821,116,0.8968175507368201,0.3276940360442433,0.8992169893473324,0.9211452488787127
GRÜNE,age19_24_share,Anteil 19–24 Jahre,116,1015323,0.4287666916154211,0.014092953523238382,0.8063958006608095,0.5535212389546845,0.1133951939184737,0.603218170590704,0.8063958006608095,116,0.665389021753442,-0.05503699304072473,0.6832600792618596,0.8567984015742207
CDU,age19_24_share,Anteil 19–24 Jahre,116,1015323,-0.11335665321333674,-0.11528850959135817,-0.19518673335377526,-0.21240853485126784,-0.007367338561383734,0.6003927505158541,-0.19518673335377526,116,-0.16776099560831406,-0.15869850335178326,-0.2548932400713465,-0.07917940929787586
BSW,age19_24_share,Anteil 19–24 Jahre,116,1015323,-0.23125753349962191,-0.23519009725906279,-0.30406612021965246,-0.32632196373655387,-0.01077850259327647,0.5703546687005474,-0.30406612021965246,116,-0.3300799849522274,-0.22437233603602572,-0.36952566370722345,-0.2613277138538811
Tierschutzpartei,age19_24_share,Anteil 19–24 Jahre,116,1015323,0.2316519278963683,0.2621689155422289,0.26919771424297567,0.27472461604163445,0.00700693295300766,0.6669411519230869,0.26919771424297567,116,0.36969219498498807,0.3310991957827852,0.18540709316854173,0.38826880021048554
FDP,age19_24_share,Anteil 19–24 Jahre,116,1015323,0.04692362756452065,-0.04485449582900857,0.2024860965836084,0.06984445282201548,0.005043861870154516,0.6328958615205619,0.2024860965836084,116,0.18263217189042774,-0.1074030617463287,0.1043609029825876,0.2989721551124342
AfD,male_share,Männeranteil,116,1015323,0.26195377828205635,0.2565102064352439,0.3527987910627926,0.41940070068731844,0.057870285072538795,-0.15155185354738746,0.3527987910627926,116,0.3409855687992413,0.44869162720044514,0.30893741831165067,0.40246521778375227
SPD,male_share,Männeranteil,116,1015323,-0.1801752727640601,-0.1801637642717103,-0.21923594304464253,-0.2427729568098494,-0.01599928561179141,-0.15137878401631655,-0.21923594304464253,116,-0.16270731564674823,-0.4424135285266147,-0.343851265085672,-0.16334092104464132
Die Linke,male_share,Männeranteil,116,1015323,-0.24942137738675424,-0.2455618344673817,-0.32346667710346805,-0.46949285318775047,-0.037690845003521094,-0.12344224287940045,-0.32346667710346805,116,-0.4240112026884127,-0.2806586855669838,-0.46963221988170567,-0.279691936895151
