wahlkreis,label,share,valid
28,Keine Mehrheit,0.46123285915673456,39015
1,Mehrheit > 50 %,0.5816122203787402,34958
18,Keine Mehrheit,0.4613094101927849,26195
30,Keine Mehrheit,0.37674246940919287,35223
34,Keine Mehrheit,0.4304791078351601,20893
35,Keine Mehrheit,0.37419835943325874,20115
23,Keine Mehrheit,0.46255555555555555,27000
25,Keine Mehrheit,0.42476288131248396,31208
10,Mehrheit > 50 %,0.5597813073669088,25058
11,Keine Mehrheit,0.49395100997743524,36783
26,Mehrheit > 50 %,0.5005973715651135,20925
27,Keine Mehrheit,0.4941044954885417,37571
32,Keine Mehrheit,0.4471108410962603,29628
17,Keine Mehrheit,0.4817170731707317,25625
19,Keine Mehrheit,0.4434537199885476,24449
31,Keine Mehrheit,0.42106571936056836,28150
16,Keine Mehrheit,0.45839407372147684,33613
15,Keine Mehrheit,0.4199222484226627,31382
13,Keine Mehrheit,0.3506845474510537,21401
14,Keine Mehrheit,0.3924922064426741,23096
36,Keine Mehrheit,0.3742529743955261,18239
20,Keine Mehrheit,0.45120373495331306,35556
29,Keine Mehrheit,0.3926587088217371,27897
12,Mehrheit > 50 %,0.5102634441659178,42286
22,Keine Mehrheit,0.3770848985725019,26620
3,Keine Mehrheit,0.4933390863491721,18541
2,Keine Mehrheit,0.49317834533944555,18324
9,Mehrheit > 50 %,0.5181795323107871,19885
8,Mehrheit > 50 %,0.5766655635039841,39281
21,Keine Mehrheit,0.47111667045712985,26382
5,Mehrheit > 50 %,0.5760655357625875,25879
6,Mehrheit > 50 %,0.6998009760353335,36679
4,Mehrheit > 50 %,0.5249343832020997,26289
7,Mehrheit > 50 %,0.5953836709637814,40725
24,Keine Mehrheit,0.38372366994957824,21221
33,Keine Mehrheit,0.4144870261556861,19231
