capture,time,commit,reported,expected,voters,valid_second_votes,invalid_second_votes
2026-09-20-19-12-15,2026-09-20T17:12:21.930864+00:00,fae2057afb39a37add9f1db42adbf3fe95280c41,393,1974,90630,89729,901
2026-09-20-19-20-02,2026-09-20T17:20:05.289359+00:00,485a6ec38fba30d0de9d22043654c3be95283163,588,1974,158143,156591,1552
2026-09-20-19-28-36,2026-09-20T17:28:39.054253+00:00,42eb0416ba9868f7d3d509cde93158f4bd6ba014,683,1974,196806,194881,1925
2026-09-20-19-32-53,2026-09-20T17:32:55.701092+00:00,a86fd1edf8863b74ab1fa9db0ba2fcfdca468aaf,757,1974,233567,231270,2297
2026-09-20-19-41-42,2026-09-20T17:41:44.718272+00:00,a0a9fbca5006f422b2dd2304e952a3836e0ed17b,924,1974,314736,311710,3026
2026-09-20-19-45-42,2026-09-20T17:45:44.929674+00:00,022a879d3a927e73eb3fb1e7c7b4674fba8b2182,1011,1974,359829,356343,3486
2026-09-20-19-48-37,2026-09-20T17:48:39.903480+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,1095,1974,408627,404632,3995
2026-09-20-19-51-33,2026-09-20T17:51:36.286429+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,1095,1974,408627,404632,3995
2026-09-20-19-54-34,2026-09-20T17:54:36.442509+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,1172,1974,452790,448379,4411
2026-09-20-19-57-33,2026-09-20T17:57:36.059015+00:00,bf4e47656688a4cd49c919967a690e2509fbdc84,1172,1974,452790,448379,4411
2026-09-20-20-00-05,2026-09-20T18:00:07.669576+00:00,c4a2b6ea69b6d59e61fa101152a9ce0283e30e50,1252,1974,502795,497926,4869
2026-09-20-20-02-33,2026-09-20T18:02:36.096442+00:00,ab388dc9b90dc8725e70c2cdafd8dc3f12aa1348,1252,1974,502795,497926,4869
2026-09-20-20-05-03,2026-09-20T18:05:06.318505+00:00,387fb2dd71dfde5fa26f1d9990659c7cd8526142,1325,1974,548721,543440,5281
2026-09-20-20-07-33,2026-09-20T18:07:36.058470+00:00,42a3d0a29f37fd0ef5facfd0e9f890f585694e54,1325,1974,548721,543440,5281
2026-09-20-20-10-04,2026-09-20T18:10:06.647352+00:00,3ca14e9a119413555fa86228124beab068266d74,1395,1974,593457,587830,5627
2026-09-20-20-12-33,2026-09-20T18:12:36.197084+00:00,e927eebe82c07587da7dbbf5a9312c5ca34cd1d3,1395,1974,593457,587830,5627
