geo_id,source_key,source_name,valid_second_votes
13003000,mv:GEMEINDE:13003000,"Rostock, Hanse-und Universitätsstadt",129572
13004000,mv:GEMEINDE:13004000,"Schwerin, Landeshauptstadt",59166
130715154,mv:GEMEINDE:13071001,Alt Schwerin,268
130715163,mv:GEMEINDE:13071002,Altenhagen,179
130715159,mv:GEMEINDE:13071003,Altenhof,211
130715163,mv:GEMEINDE:13071004,"Altentreptow, Stadt",2185
130715158,mv:GEMEINDE:13071005,"Ankershagen, Schliemanngemeinde",318
130715163,mv:GEMEINDE:13071006,Bartow,290
130715153,mv:GEMEINDE:13071007,Basedow,381
130715151,mv:GEMEINDE:13071008,Beggerow,267
130715157,mv:GEMEINDE:13071009,Beseritz,82
130715157,mv:GEMEINDE:13071010,Blankenhof,407
130715156,mv:GEMEINDE:13071011,Blankensee,926
130715156,mv:GEMEINDE:13071012,Blumenholz,384
130715159,mv:GEMEINDE:13071013,Bollewick,353
130715151,mv:GEMEINDE:13071014,Borrentin,383
130715162,mv:GEMEINDE:13071015,Bredenfelde,111
130715163,mv:GEMEINDE:13071016,Breesen,293
130715162,mv:GEMEINDE:13071018,Briggow,162
130715157,mv:GEMEINDE:13071019,Brunn,584
130715159,mv:GEMEINDE:13071020,Buchholz,73
130715161,mv:GEMEINDE:13071021,"Burg Stargard, Stadt",3502
130715163,mv:GEMEINDE:13071022,Burow,463
130715159,mv:GEMEINDE:13071023,Bütow,276
130715156,mv:GEMEINDE:13071025,Carpin,425
130715161,mv:GEMEINDE:13071026,Cölpin,529
13071027,mv:GEMEINDE:13071027,"Dargun, Stadt",2696
130715152,mv:GEMEINDE:13071028,Datzetal,486
13071029,mv:GEMEINDE:13071029,"Demmin, Hansestadt",6078
130715153,mv:GEMEINDE:13071032,Faulenrost,332
13071033,mv:GEMEINDE:13071033,Feldberger Seenlandschaft,3066
130715159,mv:GEMEINDE:13071034,Fincken,304
130715152,mv:GEMEINDE:13071035,"Friedland, Stadt",2979
130715154,mv:GEMEINDE:13071036,Fünfseen,594
130715152,mv:GEMEINDE:13071037,Galenbeck,550
130715153,mv:GEMEINDE:13071039,Gielow,568
130715163,mv:GEMEINDE:13071041,Gnevkow,168
130715156,mv:GEMEINDE:13071042,Godendorf,153
130715154,mv:GEMEINDE:13071043,Göhren-Lebbin,439
130715163,mv:GEMEINDE:13071044,Golchen,151
130715159,mv:GEMEINDE:13071045,Gotthun,184
130715160,mv:GEMEINDE:13071047,Grabowhöfe,673
130715162,mv:GEMEINDE:13071048,Grammentin,133
130715163,mv:GEMEINDE:13071049,Grapzow,183
130715163,mv:GEMEINDE:13071050,Grischow,147
130715159,mv:GEMEINDE:13071053,Groß Kelle,69
130715164,mv:GEMEINDE:13071054,Groß Miltzow,502
130715161,mv:GEMEINDE:13071055,Groß Nemerow,629
