wahlkreisnummer,wahlkreis_name,winner_first,winner_first_votes,winner_first_share_percent,winner_second,winner_second_votes,winner_second_share_percent,valid_first_votes,valid_second_votes
1,Greifswald,AfD,5079,15.713755,SPD,10867,33.529775,32322,32410
2,Neubrandenburg I,CDU,3190,18.403138,SPD,7396,42.347552,17334,17465
3,Neubrandenburg II,SPD,3084,17.666266,SPD,7148,40.480236,17457,17658
4,Hansestadt Rostock I,SPD,3736,15.773030,SPD,10254,43.064130,23686,23811
5,Hansestadt Rostock II,CDU,4019,16.683271,SPD,10811,44.607196,24090,24236
6,Hansestadt Rostock III,CDU,7135,20.497572,SPD,12340,35.275284,34809,34982
7,Hansestadt Rostock IV,Die Linke,5619,15.340723,SPD,13428,36.531817,36628,36757
8,Schwerin I,AfD,4230,11.841111,SPD,12562,35.201480,35723,35686
9,Schwerin II,SPD,3128,17.501259,SPD,7977,44.267481,17873,18020
10,Wismar,SPD,2833,12.812627,SPD,10007,45.090794,22111,22193
11,Landkreis Rostock I,SPD,5336,16.645870,SPD,13300,41.385319,32056,32137
12,Landkreis Rostock II,AfD,6266,16.656920,SPD,15175,40.171008,37618,37776
13,Mecklenburgische Seenplatte I - Vorpommern-Greifswald I,SPD,5083,27.382427,SPD,6280,33.676534,18563,18648
14,Mecklenburgische Seenplatte II,SPD,4627,22.591670,SPD,8204,40.037089,20481,20491
15,Landkreis Rostock III,SPD,6062,22.313837,SPD,11062,40.511243,27167,27306
16,Landkreis Rostock IV,SPD,5783,19.428859,SPD,13208,44.230125,29765,29862
17,Ludwigslust-Parchim I,SPD,3403,14.805952,SPD,11074,48.089283,22984,23028
18,Ludwigslust-Parchim II,AfD,4494,18.974034,SPD,10356,43.508949,23685,23802
19,Ludwigslust-Parchim III,SPD,4157,18.791249,SPD,9166,41.188101,22122,22254
20,Mecklenburgische Seenplatte III,AfD,6286,20.105549,SPD,12993,41.400076,31265,31384
21,Mecklenburgische Seenplatte IV,SPD,4201,18.406064,SPD,9469,41.398155,22824,22873
22,Mecklenburgische Seenplatte V,SPD,5773,24.040143,SPD,9025,37.463678,24014,24090
23,Vorpommern-Rügen I,AfD,5912,24.306212,SPD,9864,40.350160,24323,24446
24,Vorpommern-Rügen II - Stralsund III,AfD,6041,33.106812,SPD,6161,33.696128,18247,18284
25,Vorpommern-Rügen III - Stralsund I,SPD,6188,22.299903,SPD,10579,37.961102,27749,27868
26,Stralsund II,AfD,3234,16.856041,SPD,6460,33.556698,19186,19251
27,Nordwestmecklenburg I,AfD,5547,16.961747,SPD,13972,42.611852,32703,32789
28,Nordwestmecklenburg II,SPD,6169,18.318140,SPD,14054,41.558979,33677,33817
29,Vorpommern-Greifswald II,SPD,5796,23.616657,SPD,8779,35.601606,24542,24659
30,Vorpommern-Greifswald III,SPD,8167,25.510714,SPD,11176,34.749083,32014,32162
31,Ludwigslust-Parchim IV,SPD,5068,19.625155,SPD,10562,40.792523,25824,25892
32,Ludwigslust-Parchim V,SPD,4644,17.398471,SPD,10970,40.873356,26692,26839
33,Vorpommern-Rügen IV,AfD,4223,24.971912,SPD,6298,37.134434,16911,16960
34,Vorpommern-Rügen V,AfD,4018,21.669723,SPD,7112,38.185235,18542,18625
35,Vorpommern-Greifswald IV,SPD,5139,27.965825,SPD,7200,38.971583,18376,18475
36,Vorpommern-Greifswald V,SPD,4506,26.811853,SPD,6480,38.282035,16806,16927
