Partei,Sitze gesamt,Kreiswahlvorschlaege,Landeswahlvorschlaege
SPD,34,34,0
AfD,14,1,13
CDU,12,1,11
Die Linke,9,0,9
GRÜNE,5,0,5
FDP,5,0,5
