area_level,area_id,area_name,eligible_voters,voters,valid_first_votes,valid_second_votes,invalid_first_votes,invalid_second_votes
GEMEINDE,13071109,"Neukalen, Peenestadt",1487,794,786,777,8,17
GEMEINDE,13071110,"Neustrelitz, Residenzstadt",17029,10947,10769,10800,178,147
GEMEINDE,13071111,Neverin,860,454,442,442,12,12
GEMEINDE,13071112,Nossendorf,553,228,220,226,8,2
GEMEINDE,13071113,Nossentiner Hütte,545,285,277,277,8,8
GEMEINDE,13071114,Penkow,229,122,122,121,,1
GEMEINDE,13071115,"Penzlin, Stadt",3488,1720,1682,1688,38,32
GEMEINDE,13071117,Pragsdorf,423,262,252,251,10,11
GEMEINDE,13071118,Priborn,291,161,157,157,4,4
GEMEINDE,13071119,Priepert,276,149,146,147,3,2
GEMEINDE,13071120,Pripsleben,197,117,110,113,7,4
GEMEINDE,13071122,Rechlin,1783,866,843,842,23,24
GEMEINDE,13071123,Ritzerow,325,172,170,171,2,1
GEMEINDE,13071124,"Röbel/Müritz, Stadt",4274,2007,1954,1969,53,38
GEMEINDE,13071125,Röckwitz,236,148,146,142,2,6
GEMEINDE,13071127,Rosenow,799,405,395,398,10,7
GEMEINDE,13071128,Sarow,585,292,286,287,6,5
GEMEINDE,13071130,Schönbeck,389,198,192,193,6,5
GEMEINDE,13071131,Schönfeld,316,201,198,198,3,3
GEMEINDE,13071132,Schönhausen,190,115,112,113,3,2
GEMEINDE,13071133,Schwarz,322,197,193,194,4,3
GEMEINDE,13071135,Siedenbollentin,481,253,245,245,8,8
GEMEINDE,13071136,Siedenbrünzow,392,192,188,186,4,6
GEMEINDE,13071137,Sietow,522,278,277,275,1,3
GEMEINDE,13071138,Silz,305,156,148,152,8,4
GEMEINDE,13071139,Sommersdorf,200,114,110,111,4,3
GEMEINDE,13071140,Sponholz,624,376,363,363,13,13
GEMEINDE,13071141,Staven,322,206,199,200,7,6
GEMEINDE,13071142,"Stavenhagen, Reuterstadt, Stadt",4524,1867,1814,1821,53,46
GEMEINDE,13071143,Stuer,222,114,108,107,6,7
GEMEINDE,13071144,Torgelow am See,332,224,222,221,2,3
GEMEINDE,13071145,Trollenhagen,744,421,415,415,6,6
GEMEINDE,13071146,Tützpatz,455,235,227,228,8,7
GEMEINDE,13071147,Userin,568,321,318,319,3,2
GEMEINDE,13071148,Utzedel,359,154,150,151,4,3
GEMEINDE,13071150,Verchen,331,191,185,186,6,5
GEMEINDE,13071153,Voigtsdorf,78,54,51,48,3,6
GEMEINDE,13071154,Vollrathsruhe,341,175,171,170,4,5
GEMEINDE,13071155,Walow,402,202,197,199,5,3
GEMEINDE,13071156,"Waren (Müritz), Stadt",17449,11666,11389,11444,277,222
GEMEINDE,13071157,Warrenzin,314,140,133,135,7,5
GEMEINDE,13071158,Werder,453,242,235,235,7,7
GEMEINDE,13071159,"Wesenberg, Stadt",2663,1178,1159,1157,19,21
GEMEINDE,13071160,Wildberg,407,242,238,233,4,9
GEMEINDE,13071161,Woggersin,440,261,259,258,2,3
GEMEINDE,13071162,Wokuhl-Dabelow,501,255,253,254,2,1
GEMEINDE,13071163,Wolde,468,252,250,251,2,1
GEMEINDE,13071164,"Woldegk, Windmühlenstadt",3638,1693,1667,1671,26,22
GEMEINDE,13071166,Wulkenzin,1287,705,687,694,18,11
GEMEINDE,13071167,Wustrow,627,284,274,275,10,9
GEMEINDE,13071169,Zettemin,233,171,170,170,1,1
GEMEINDE,13071170,Zirzow,280,183,182,181,1,2
GEMEINDE,13071171,Zislow,189,101,98,96,3,5
GEMEINDE,13071172,Peenehagen,875,490,481,477,9,13
GEMEINDE,13071173,Kuckssee,443,276,267,268,9,8
GEMEINDE,13071174,Schloen-Dratow,710,378,367,371,11,7
GEMEINDE,13071175,Eldetal,821,461,447,452,14,9
GEMEINDE,13071176,Südmüritz,718,403,394,394,9,9
GEMEINDE,13071751,Briefwahl Demmin-Land,,1204,1192,1193,12,11
GEMEINDE,13071752,Briefwahl Friedland,,1454,1434,1442,20,12
GEMEINDE,13071753,Briefwahl Malchin am Kummerower See,,2223,2198,2199,25,24
GEMEINDE,13071754,Briefwahl Malchow,,1749,1721,1734,28,15
GEMEINDE,13071755,Briefwahl Mecklenburgische Kleinseenplatte,,1853,1840,1845,13,8
GEMEINDE,13071756,Briefwahl Neustrelitz-Land,,1398,1383,1386,15,12
GEMEINDE,13071757,Briefwahl Neverin,,1783,1763,1768,20,15
GEMEINDE,13071758,Briefwahl Penzliner Land,,1151,1143,1146,8,5
GEMEINDE,13071759,Briefwahl Röbel-Müritz,,2232,2196,2207,36,25
GEMEINDE,13071760,Briefwahl Seenlandschaft Waren,,1618,1599,1607,19,11
GEMEINDE,13071761,Briefwahl Stargarder Land,,1861,1845,1853,16,8
GEMEINDE,13071762,Briefwahl Stavenhagen,,1731,1704,1711,27,20
GEMEINDE,13071763,Briefwahl Treptower Tollensewinkel,,2551,2527,2528,24,23
GEMEINDE,13071764,Briefwahl Woldegk,,1157,1133,1136,24,21
GEMEINDE,13072001,Admannshagen-Bargeshagen,2358,1323,1298,1307,25,16
GEMEINDE,13072002,Alt Bukow,411,230,218,217,12,13
GEMEINDE,13072003,Alt Sührkow,314,198,195,193,3,5
GEMEINDE,13072004,Altkalen,630,271,261,262,10,9
GEMEINDE,13072005,Am Salzhaff,447,238,229,231,9,7
GEMEINDE,13072006,"Bad Doberan, Stadt",10225,7288,7143,7169,145,119
GEMEINDE,13072007,Bartenshagen-Parkentin,1078,614,603,605,11,9
GEMEINDE,13072008,Bastorf,850,449,443,439,6,10
GEMEINDE,13072009,Baumgarten,658,364,360,360,4,4
GEMEINDE,13072010,Behren-Lübchin,764,342,334,335,8,7
GEMEINDE,13072011,Benitz,319,203,196,200,7,3
GEMEINDE,13072012,Bentwisch,2706,1449,1411,1423,38,26
GEMEINDE,13072013,Bernitt,1265,623,608,611,15,12
GEMEINDE,13072014,Biendorf,991,561,549,549,12,12
GEMEINDE,13072015,Blankenhagen,899,478,471,475,7,3
GEMEINDE,13072017,Börgerende-Rethwisch,1464,705,697,699,8,6
GEMEINDE,13072018,Bröbberow,491,306,293,302,13,4
GEMEINDE,13072019,Broderstorf,3121,1623,1587,1596,36,27
GEMEINDE,13072020,"Bützow, Stadt",6461,2476,2394,2408,82,68
GEMEINDE,13072021,Cammin,608,373,368,368,5,5
GEMEINDE,13072022,Carinerland,1029,545,528,523,17,22
GEMEINDE,13072023,Dahmen,390,205,200,202,5,3
GEMEINDE,13072024,Dalkendorf,202,100,97,97,3,3
GEMEINDE,13072026,Dobbin-Linstow,409,206,200,202,6,4
GEMEINDE,13072027,Dolgen am See,528,285,278,279,7,6
GEMEINDE,13072028,Dreetz,167,91,85,87,6,4
GEMEINDE,13072029,Dummerstorf,5871,4554,4465,4487,89,67
GEMEINDE,13072030,Elmenhorst/Lichtenhagen,3585,1734,1714,1720,20,14
GEMEINDE,13072031,Finkenthal,223,108,106,106,2,2
GEMEINDE,13072032,Gelbensande,1124,432,420,420,12,12
GEMEINDE,13072033,Glasewitz,339,176,173,171,3,5
GEMEINDE,13072035,"Gnoien, Warbelstadt",2442,1025,993,994,32,31
GEMEINDE,13072036,"Graal-Müritz, Ostseeheilbad",3575,2660,2608,2615,52,45
GEMEINDE,13072038,Groß Roge,492,275,262,262,13,13
GEMEINDE,13072039,Groß Schwiesow,250,131,128,128,3,3
GEMEINDE,13072040,Groß Wokern,827,450,444,441,6,9
GEMEINDE,13072041,Groß Wüstenfelde,672,362,355,355,7,7
GEMEINDE,13072042,Gülzow-Prüzen,1328,627,617,622,10,5
GEMEINDE,13072043,"Güstrow, Barlachstadt",23588,15233,14967,15004,266,229
GEMEINDE,13072044,Gutow,819,514,508,507,6,7
GEMEINDE,13072045,Hohen Demzin,301,154,153,151,1,3
GEMEINDE,13072046,Hohen Sprenz,422,249,245,247,4,2
GEMEINDE,13072047,Hohenfelde,635,396,394,394,2,2
GEMEINDE,13072048,Hoppenrade,551,298,290,290,8,8
GEMEINDE,13072049,Jördenstorf,687,351,344,346,7,5
GEMEINDE,13072050,Jürgenshagen,928,498,489,490,9,8
GEMEINDE,13072051,Kassow,284,189,187,187,2,2
GEMEINDE,13072053,Klein Belitz,666,396,388,390,8,6
GEMEINDE,13072055,Klein Upahl,214,124,123,124,1,
GEMEINDE,13072056,"Krakow am See, Stadt",2976,1222,1205,1205,17,17
GEMEINDE,13072057,Kritzmow,3010,1385,1374,1376,11,9
GEMEINDE,13072058,"Kröpelin, Stadt",3996,2737,2681,2692,56,45
GEMEINDE,13072059,Kuchelmiß,593,306,299,304,7,2
GEMEINDE,13072060,"Kühlungsborn, Ostseebad, Stadt",6559,4810,4744,4749,66,61
GEMEINDE,13072061,Kuhs,275,161,155,155,6,6
GEMEINDE,13072062,"Laage, Stadt",5224,2427,2352,2360,75,67
GEMEINDE,13072063,Lalendorf,2884,1406,1385,1390,21,16
GEMEINDE,13072064,Lambrechtshagen,2445,1094,1078,1078,16,16
GEMEINDE,13072066,Lelkendorf,362,158,155,154,3,4
GEMEINDE,13072067,Lohmen,614,351,343,345,8,6
GEMEINDE,13072069,Lüssow,782,461,450,452,11,9
GEMEINDE,13072071,Mistorf,518,306,299,305,7,1
GEMEINDE,13072072,Mönchhagen,1011,555,546,547,9,8
GEMEINDE,13072073,Mühl Rosin,900,521,506,510,15,11
GEMEINDE,13072074,"Neubukow, Stadt",3220,2074,2016,2024,58,50
GEMEINDE,13072075,"Nienhagen, Ostseebad",1778,958,946,943,12,15
GEMEINDE,13072077,Papendorf,2016,939,927,933,12,6
GEMEINDE,13072078,Penzin,116,71,71,71,,
GEMEINDE,13072079,Plaaz,656,329,316,318,13,11
GEMEINDE,13072080,Pölchow,750,425,418,423,7,2
GEMEINDE,13072081,Poppendorf,592,336,334,335,2,1
GEMEINDE,13072082,Prebberede,595,315,307,306,8,9
GEMEINDE,13072083,Reddelich,779,470,466,465,4,5
GEMEINDE,13072084,Reimershagen,310,152,148,148,4,4
GEMEINDE,13072085,"Rerik, Ostseebad, Stadt",1823,925,909,912,16,13
GEMEINDE,13072086,Retschow,763,411,402,404,9,7
GEMEINDE,13072087,Roggentin,2275,1144,1132,1139,12,5
GEMEINDE,13072088,Rövershagen,2099,1018,1001,1007,17,11
GEMEINDE,13072089,Rühn,506,284,277,280,7,4
GEMEINDE,13072090,Rukieten,281,165,158,160,7,5
GEMEINDE,13072091,Sanitz,5158,3937,3867,3891,70,46
GEMEINDE,13072092,Sarmstorf,399,210,206,206,4,4
GEMEINDE,13072093,Satow,4710,3632,3562,3569,70,63
GEMEINDE,13072094,Schorssow,382,191,185,186,6,5
GEMEINDE,13072095,"Schwaan, Stadt",4244,2085,2019,2040,66,45
GEMEINDE,13072096,Schwasdorf,346,193,187,185,6,8
GEMEINDE,13072098,Stäbelow,1121,532,528,530,4,2
GEMEINDE,13072099,Steffenshagen,468,259,252,253,7,6
GEMEINDE,13072101,Steinhagen,562,299,292,292,7,7
GEMEINDE,13072103,Sukow-Levitzow,397,220,215,215,5,5
GEMEINDE,13072104,Tarnow,898,470,461,461,9,9
GEMEINDE,13072105,"Tessin, Stadt",3660,1759,1706,1718,53,41
GEMEINDE,13072106,"Teterow, Bergringstadt",6920,4572,4467,4490,105,82
GEMEINDE,13072107,Thelkow,637,310,304,305,6,5
GEMEINDE,13072108,Thulendorf,512,274,268,269,6,5
GEMEINDE,13072109,Thürkow,309,172,164,168,8,4
GEMEINDE,13072110,Vorbeck,285,146,143,145,3,1
GEMEINDE,13072111,Walkendorf,757,409,391,397,18,12
GEMEINDE,13072112,Wardow,1066,566,550,556,16,10
GEMEINDE,13072113,Warnkenhagen,273,148,144,144,4,4
GEMEINDE,13072114,Warnow,755,395,385,385,10,10
GEMEINDE,13072116,Wiendorf,640,362,353,354,9,8
GEMEINDE,13072117,Wittenbeck,710,364,354,355,10,9
GEMEINDE,13072118,Zarnewanz,668,334,328,329,6,5
GEMEINDE,13072119,Zehna,523,324,320,320,4,4
GEMEINDE,13072120,Zepelin,359,214,206,209,8,5
GEMEINDE,13072121,Ziesendorf,1126,566,557,560,9,6
GEMEINDE,13072751,Briefwahl Bad Doberan-Land,,2503,2490,2499,13,4
GEMEINDE,13072752,Briefwahl Bützow-Land,,3020,2980,2991,40,29
GEMEINDE,13072753,Briefwahl Carbäk,,1948,1930,1936,18,12
GEMEINDE,13072754,Briefwahl Gnoien,,1031,1021,1025,10,6
GEMEINDE,13072755,Briefwahl Güstrow-Land,,1520,1510,1512,10,8
GEMEINDE,13072756,Briefwahl Krakow am See,,1784,1751,1767,33,17
GEMEINDE,13072757,Briefwahl Laage,,1762,1747,1751,15,11
GEMEINDE,13072758,Briefwahl Mecklenburgische Schweiz,,1297,1203,1210,94,87
GEMEINDE,13072759,Briefwahl Neubukow-Salzhaff,,1147,1132,1139,15,8
GEMEINDE,13072760,Briefwahl Rostocker Heide,,2050,2029,2037,21,13
GEMEINDE,13072761,Briefwahl Schwaan,,1349,1333,1343,16,6
GEMEINDE,13072762,Briefwahl Tessin,,1223,1215,1218,8,5
GEMEINDE,13072763,Briefwahl Warnow-West,,5062,5032,5041,30,21
GEMEINDE,13073001,Ahrenshagen-Daskow,1745,982,965,972,17,10
GEMEINDE,13073002,"Ahrenshoop, Ostseebad",531,286,279,281,7,5
GEMEINDE,13073003,Altefähr,1096,562,557,556,5,6
GEMEINDE,13073004,Altenkirchen,763,346,335,332,11,14
GEMEINDE,13073005,Altenpleen,768,392,383,385,9,7
GEMEINDE,13073006,"Baabe, Ostseebad",739,339,333,336,6,3
GEMEINDE,13073007,"Bad Sülze, Stadt",1424,625,597,600,28,25
GEMEINDE,13073009,"Barth, Stadt",7001,3136,3054,3072,82,64
GEMEINDE,13073010,"Bergen auf Rügen, Stadt",11350,4441,4287,4325,154,116
GEMEINDE,13073011,"Binz, Ostseebad",4427,3038,2967,2977,71,61
GEMEINDE,13073012,Born a. Darß,972,429,419,422,10,7
GEMEINDE,13073013,Breege,513,254,249,251,5,3
GEMEINDE,13073014,Buschvitz,202,97,94,94,3,3
GEMEINDE,13073015,Dettmannsdorf,849,441,431,432,10,9
GEMEINDE,13073016,Deyelsdorf,393,213,203,206,10,7
GEMEINDE,13073017,"Dierhagen, Ostseebad",1306,660,645,646,15,14
GEMEINDE,13073018,Divitz-Spoldershagen,370,204,198,197,6,7
GEMEINDE,13073019,Dranske,1013,445,437,440,8,5
GEMEINDE,13073020,Drechow,268,125,123,123,2,2
GEMEINDE,13073021,Dreschvitz,605,243,236,237,7,6
GEMEINDE,13073022,Eixen,624,277,268,269,9,8
GEMEINDE,13073023,Elmenhorst,580,310,305,306,5,4
GEMEINDE,13073024,"Franzburg, Stadt",1127,525,514,516,11,9
GEMEINDE,13073025,Fuhlendorf,704,368,359,356,9,12
GEMEINDE,13073027,"Garz/Rügen, Stadt",1931,1003,974,982,29,21
GEMEINDE,13073028,Gingst,1062,464,450,449,14,15
GEMEINDE,13073029,Glewitz,469,218,212,214,6,4
GEMEINDE,13073030,Glowe,857,352,347,343,5,9
GEMEINDE,13073031,"Göhren, Ostseebad",1036,499,494,493,5,6
GEMEINDE,13073032,Grammendorf,423,191,186,187,5,4
GEMEINDE,13073033,Gransebieth,460,236,232,234,4,2
GEMEINDE,13073034,Gremersdorf-Buchholz,523,230,226,227,4,3
GEMEINDE,13073035,"Grimmen, Stadt",8032,5032,4877,4884,155,148
GEMEINDE,13073036,Groß Kordshagen,258,139,134,135,5,4
GEMEINDE,13073037,Groß Mohrdorf,633,336,328,328,8,8
GEMEINDE,13073038,Gustow,504,282,277,274,5,8
GEMEINDE,13073040,"Insel Hiddensee, Seebad",815,318,312,310,6,8
GEMEINDE,13073041,Jakobsdorf,389,186,183,183,3,3
GEMEINDE,13073042,Karnin,187,127,125,125,2,2
GEMEINDE,13073043,Kenz-Küstrow,420,261,253,253,8,8
GEMEINDE,13073044,Klausdorf,555,328,326,324,2,4
GEMEINDE,13073045,Kluis,344,188,182,184,6,4
GEMEINDE,13073046,Kramerhof,1507,853,847,845,6,8
GEMEINDE,13073048,Lancken-Granitz,379,174,168,170,6,4
GEMEINDE,13073049,Lietzow,219,128,124,124,4,4
GEMEINDE,13073050,Lindholz,552,260,255,254,5,6
GEMEINDE,13073051,Löbnitz,505,308,298,300,10,8
GEMEINDE,13073052,Lohme,382,167,166,164,1,3
GEMEINDE,13073053,Lüdershagen,478,269,259,260,10,9
GEMEINDE,13073054,Lüssow,683,354,344,348,10,6
GEMEINDE,13073055,"Marlow, Stadt",3910,2823,2782,2788,41,35
GEMEINDE,13073057,Millienhagen-Oebelitz,270,111,108,107,3,4
GEMEINDE,13073059,Neuenkirchen,240,126,123,122,3,4
GEMEINDE,13073060,Niepars,2030,1025,1002,1002,23,23
GEMEINDE,13073061,Pantelitz,689,372,368,370,4,2
GEMEINDE,13073062,Papenhagen,459,222,218,217,4,5
GEMEINDE,13073063,Parchtitz,633,330,323,323,7,7
GEMEINDE,13073064,Patzig,377,213,210,210,3,3
GEMEINDE,13073065,Poseritz,838,417,402,401,15,16
GEMEINDE,13073066,Preetz,811,457,451,449,6,8
GEMEINDE,13073067,"Prerow, Ostseebad",1241,619,605,612,14,7
GEMEINDE,13073068,Prohn,1799,915,893,901,22,14
GEMEINDE,13073069,Pruchten,629,305,300,298,5,7
GEMEINDE,13073070,"Putbus, Stadt",3816,2745,2706,2713,39,32
GEMEINDE,13073071,Putgarten,153,81,79,79,2,2
GEMEINDE,13073072,Ralswiek,211,130,126,127,4,3
GEMEINDE,13073073,Rambin,796,391,379,380,12,11
GEMEINDE,13073074,Rappin,253,136,128,128,8,8
GEMEINDE,13073075,"Ribnitz-Damgarten, Bernsteinstadt",13391,6450,6271,6302,179,148
GEMEINDE,13073076,"Richtenberg, Stadt",1123,503,491,492,12,11
GEMEINDE,13073077,Saal,1194,630,617,620,13,10
GEMEINDE,13073078,Sagard,1996,722,707,707,15,15
GEMEINDE,13073079,Samtens,1596,636,614,618,22,18
GEMEINDE,13073080,"Sassnitz, Stadt",7793,5065,4944,4969,121,96
GEMEINDE,13073081,Schaprode,365,194,190,192,4,2
GEMEINDE,13073082,Schlemmin,237,154,149,148,5,6
GEMEINDE,13073083,Sehlen,751,367,353,355,14,12
GEMEINDE,13073084,"Sellin, Ostseebad",1963,798,785,784,13,14
GEMEINDE,13073085,Semlow,559,261,252,253,9,8
GEMEINDE,13073086,Splietsdorf,385,178,177,175,1,3
GEMEINDE,13073087,Steinhagen,2235,1171,1150,1144,21,27
GEMEINDE,13073088,Hansestadt Stralsund,3856,2914,2857,2876,57,38
GEMEINDE,13073088,Hansestadt Stralsund,15522,9318,9025,9102,293,216
GEMEINDE,13073088,Hansestadt Stralsund,28167,19584,19186,19251,398,333
GEMEINDE,13073089,Süderholz,3321,2321,2276,2289,45,32
GEMEINDE,13073090,Sundhagen,4368,2316,2263,2258,53,58
GEMEINDE,13073092,Trent,580,289,281,281,8,8
