area_level,area_id,area_name,eligible_voters,voters,valid_first_votes,valid_second_votes,invalid_first_votes,invalid_second_votes
LAND,99,Mecklenburg-Vorpommern,1312471,928807,910169,913863,18638,14944
WAHLKREIS,1,Greifswald,45611,32865,32322,32410,543,455
WAHLKREIS,2,Neubrandenburg I,26173,17744,17334,17465,410,279
WAHLKREIS,3,Neubrandenburg II,25479,17936,17457,17658,479,278
WAHLKREIS,4,Hansestadt Rostock I,36223,24227,23686,23811,541,416
WAHLKREIS,5,Hansestadt Rostock II,36779,24652,24090,24236,562,416
WAHLKREIS,6,Hansestadt Rostock III,43847,35346,34809,34982,537,364
WAHLKREIS,7,Hansestadt Rostock IV,50050,37198,36628,36757,570,441
WAHLKREIS,8,Schwerin I,48055,36153,35723,35686,430,467
WAHLKREIS,9,Schwerin II,27508,18312,17873,18020,439,292
WAHLKREIS,10,Wismar,33634,22553,22111,22193,442,360
WAHLKREIS,11,Landkreis Rostock I,44294,32639,32056,32137,583,502
WAHLKREIS,12,Landkreis Rostock II,48569,38194,37618,37776,576,418
WAHLKREIS,13,Mecklenburgische Seenplatte I - Vorpommern-Greifswald I,29068,19014,18563,18648,451,366
WAHLKREIS,14,Mecklenburgische Seenplatte II,30876,20913,20481,20491,432,422
WAHLKREIS,15,Landkreis Rostock III,39482,27863,27167,27306,696,557
WAHLKREIS,16,Landkreis Rostock IV,44856,30341,29765,29862,576,479
WAHLKREIS,17,Ludwigslust-Parchim I,32615,23384,22984,23028,400,356
WAHLKREIS,18,Ludwigslust-Parchim II,32703,24121,23685,23802,436,319
WAHLKREIS,19,Ludwigslust-Parchim III,31380,22617,22122,22254,495,363
WAHLKREIS,20,Mecklenburgische Seenplatte III,46357,31991,31265,31384,726,607
WAHLKREIS,21,Mecklenburgische Seenplatte IV,33964,23226,22824,22873,402,353
WAHLKREIS,22,Mecklenburgische Seenplatte V,33365,24525,24014,24090,511,435
WAHLKREIS,23,Vorpommern-Rügen I,35151,24887,24323,24446,564,441
WAHLKREIS,24,Vorpommern-Rügen II - Stralsund III,27511,18668,18247,18284,421,384
WAHLKREIS,25,Vorpommern-Rügen III - Stralsund I,41983,28408,27749,27868,659,540
WAHLKREIS,26,Stralsund II,28167,19584,19186,19251,398,333
WAHLKREIS,27,Nordwestmecklenburg I,47237,33208,32703,32789,505,419
WAHLKREIS,28,Nordwestmecklenburg II,47593,34246,33677,33817,569,429
WAHLKREIS,29,Vorpommern-Greifswald II,36475,25118,24542,24659,576,459
WAHLKREIS,30,Vorpommern-Greifswald III,46340,32828,32014,32162,814,666
WAHLKREIS,31,Ludwigslust-Parchim IV,37731,26370,25824,25892,546,478
WAHLKREIS,32,Ludwigslust-Parchim V,36677,27211,26692,26839,519,372
WAHLKREIS,33,Vorpommern-Rügen IV,25639,17276,16911,16960,365,316
WAHLKREIS,34,Vorpommern-Rügen V,28030,18961,18542,18625,419,336
WAHLKREIS,35,Vorpommern-Greifswald IV,27708,18887,18376,18475,511,412
WAHLKREIS,36,Vorpommern-Greifswald V,25341,17341,16806,16927,535,414
GEMEINDE,13003000,"Rostock, Hanse- und Universitätsstadt",166899,121423,119213,119786,2210,1637
GEMEINDE,13004000,"Schwerin, Landeshauptstadt",75563,54465,53596,53706,869,759
GEMEINDE,13071001,Alt Schwerin,488,236,229,229,7,7
GEMEINDE,13071002,Altenhagen,249,142,137,137,5,5
GEMEINDE,13071003,Altenhof,290,178,176,175,2,3
GEMEINDE,13071004,"Altentreptow, Stadt",4389,1635,1599,1595,36,40
GEMEINDE,13071005,"Ankershagen, Schliemanngemeinde",448,260,251,253,9,7
GEMEINDE,13071006,Bartow,509,237,235,236,2,1
GEMEINDE,13071007,Basedow,581,305,297,297,8,8
GEMEINDE,13071008,Beggerow,416,225,215,218,10,7
GEMEINDE,13071009,Beseritz,95,74,71,71,3,3
GEMEINDE,13071010,Blankenhof,595,365,353,353,12,12
GEMEINDE,13071011,Blankensee,1340,735,708,713,27,22
GEMEINDE,13071012,Blumenholz,638,316,309,304,7,12
GEMEINDE,13071013,Bollewick,521,269,263,266,6,3
GEMEINDE,13071014,Borrentin,633,283,281,276,2,7
GEMEINDE,13071015,Bredenfelde,155,106,101,102,5,4
GEMEINDE,13071016,Breesen,437,230,218,223,12,7
GEMEINDE,13071018,Briggow,285,132,129,130,3,2
GEMEINDE,13071019,Brunn,842,523,498,504,25,19
GEMEINDE,13071020,Buchholz,111,80,77,77,3,3
GEMEINDE,13071021,"Burg Stargard, Stadt",4332,2124,2083,2080,41,44
GEMEINDE,13071022,Burow,809,363,352,351,11,12
GEMEINDE,13071023,Bütow,374,205,197,195,8,10
GEMEINDE,13071025,Carpin,708,371,366,368,5,3
GEMEINDE,13071026,Cölpin,661,382,374,372,8,10
GEMEINDE,13071027,"Dargun, Stadt",3650,2584,2535,2542,49,42
GEMEINDE,13071028,Datzetal,713,393,385,386,8,7
GEMEINDE,13071029,"Demmin, Hansestadt",9020,5211,5082,5100,129,111
GEMEINDE,13071032,Faulenrost,549,290,283,280,7,10
GEMEINDE,13071033,Feldberger Seenlandschaft,3804,2745,2699,2697,46,48
GEMEINDE,13071034,Fincken,441,237,227,227,10,10
GEMEINDE,13071035,"Friedland, Stadt",5365,2244,2166,2187,78,57
GEMEINDE,13071036,Fünfseen,896,463,453,455,10,8
GEMEINDE,13071037,Galenbeck,903,428,421,422,7,6
GEMEINDE,13071039,Gielow,905,455,449,447,6,8
GEMEINDE,13071041,Gnevkow,277,145,137,136,8,9
GEMEINDE,13071042,Godendorf,191,131,126,126,5,5
GEMEINDE,13071043,Göhren-Lebbin,470,224,217,218,7,6
GEMEINDE,13071044,Golchen,225,131,122,128,9,3
GEMEINDE,13071045,Gotthun,259,158,154,154,4,4
GEMEINDE,13071047,Grabowhöfe,1108,530,517,517,13,13
GEMEINDE,13071048,Grammentin,194,109,109,109,,
GEMEINDE,13071049,Grapzow,325,183,180,178,3,5
GEMEINDE,13071050,Grischow,204,123,122,122,1,1
GEMEINDE,13071053,Groß Kelle,87,52,50,49,2,3
GEMEINDE,13071054,Groß Miltzow,812,426,408,413,18,13
GEMEINDE,13071055,Groß Nemerow,977,565,557,557,8,8
GEMEINDE,13071056,Groß Plasten,856,449,446,444,3,5
GEMEINDE,13071057,Groß Teetzleben,578,300,290,290,10,10
GEMEINDE,13071058,Grünow,235,163,153,155,10,8
GEMEINDE,13071059,Gültz,421,222,218,219,4,3
GEMEINDE,13071060,Gülzow,349,192,189,189,3,3
GEMEINDE,13071063,Hohen Wangelin,439,218,204,203,14,15
GEMEINDE,13071065,Hohenmocker,403,200,199,199,1,1
GEMEINDE,13071066,Hohenzieritz,382,217,210,211,7,6
GEMEINDE,13071067,Holldorf,641,410,405,407,5,3
GEMEINDE,13071068,Ivenack,680,266,260,260,6,6
GEMEINDE,13071069,Jabel,535,315,310,310,5,5
GEMEINDE,13071070,Jürgenstorf,636,336,329,331,7,5
GEMEINDE,13071071,Kargow,544,264,262,262,2,2
GEMEINDE,13071072,Kentzlin,165,99,97,96,2,3
GEMEINDE,13071073,Kieve,134,78,76,76,2,2
GEMEINDE,13071074,Kittendorf,237,126,118,122,8,4
GEMEINDE,13071075,Klein Vielen,540,280,273,273,7,7
GEMEINDE,13071076,Kletzin,596,321,315,320,6,1
GEMEINDE,13071077,Klink,946,414,407,407,7,7
GEMEINDE,13071078,Klocksin,268,176,173,174,3,2
GEMEINDE,13071079,Knorrendorf,470,273,265,267,8,6
GEMEINDE,13071080,Kratzeburg,451,238,235,234,3,4
GEMEINDE,13071081,Kriesow,248,133,128,129,5,4
GEMEINDE,13071083,Kublank,130,92,89,89,3,3
GEMEINDE,13071084,Kummerow,482,262,252,251,10,11
GEMEINDE,13071087,Lärz,433,254,250,249,4,5
GEMEINDE,13071088,Leizen,408,204,193,199,11,5
GEMEINDE,13071089,Lindenberg,270,131,122,123,9,8
GEMEINDE,13071090,Lindetal,956,459,448,448,11,11
GEMEINDE,13071092,"Malchin, Stadt",6196,2580,2516,2507,64,73
GEMEINDE,13071093,"Malchow, Inselstadt",5436,2641,2575,2579,66,62
GEMEINDE,13071096,Meesiger,202,123,120,119,3,4
GEMEINDE,13071097,Melz,287,163,156,160,7,3
GEMEINDE,13071099,"Mirow, Stadt",3414,1366,1331,1335,35,31
GEMEINDE,13071100,Möllenbeck,597,279,272,274,7,5
GEMEINDE,13071101,Möllenhagen,1245,602,586,585,16,17
GEMEINDE,13071102,Mölln,421,234,231,233,3,1
GEMEINDE,13071103,Moltzow,696,298,292,293,6,5
GEMEINDE,13071104,Neddemin,288,158,151,154,7,4
GEMEINDE,13071105,Neetzka,177,117,114,115,3,2
GEMEINDE,13071107,"Neubrandenburg, Vier-Tore-Stadt",51652,35680,34791,35123,889,557
GEMEINDE,13071108,Neuenkirchen,979,573,566,564,7,9
