area_level,area_id,area_name,vote_type,party_name,votes,valid_votes
WAHLKREIS,1,Greifswald,Erststimmen,SPD,4248,32322
WAHLKREIS,1,Greifswald,Erststimmen,AfD,5079,32322
WAHLKREIS,1,Greifswald,Erststimmen,CDU,3263,32322
WAHLKREIS,1,Greifswald,Erststimmen,Die Linke,4719,32322
WAHLKREIS,1,Greifswald,Erststimmen,GRÜNE,2275,32322
WAHLKREIS,1,Greifswald,Erststimmen,NPD,1374,32322
WAHLKREIS,1,Greifswald,Erststimmen,FREiER HORIZONT,626,32322
WAHLKREIS,1,Greifswald,Erststimmen,Die PARTEI,394,32322
WAHLKREIS,1,Greifswald,Erststimmen,TIERSCHUTZ hier!,523,32322
WAHLKREIS,1,Greifswald,Erststimmen,DiB,141,32322
WAHLKREIS,1,Greifswald,Erststimmen,Einzelbewerber,455,32322
WAHLKREIS,1,Greifswald,Zweitstimmen,SPD,10867,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,AfD,4027,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,CDU,4055,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,Die Linke,3196,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,GRÜNE,4670,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,FDP,2234,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,NPD,123,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,Tierschutzpartei,1145,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,FREiER HORIZONT,47,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,Die PARTEI,459,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,FREIE WÄHLER,264,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,PIRATEN,142,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,DKP,28,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,Bündnis C,47,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,TIERSCHUTZ hier!,91,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,dieBasis,441,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,DiB,47,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,FPA,75,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,LKR,11,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,ÖDP,84,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,Die Humanisten,109,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,Gesundheitsforschung,104,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,Team Todenhöfer,90,32410
WAHLKREIS,1,Greifswald,Zweitstimmen,UNABHÄNGIGE,54,32410
WAHLKREIS,2,Neubrandenburg I,Erststimmen,SPD,3078,17334
WAHLKREIS,2,Neubrandenburg I,Erststimmen,AfD,2693,17334
WAHLKREIS,2,Neubrandenburg I,Erststimmen,CDU,3190,17334
WAHLKREIS,2,Neubrandenburg I,Erststimmen,Die Linke,898,17334
WAHLKREIS,2,Neubrandenburg I,Erststimmen,GRÜNE,1019,17334
WAHLKREIS,2,Neubrandenburg I,Erststimmen,TIERSCHUTZ hier!,455,17334
WAHLKREIS,2,Neubrandenburg I,Erststimmen,Einzelbewerber,279,17334
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,SPD,7396,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,AfD,2872,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,CDU,2007,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,Die Linke,2242,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,GRÜNE,710,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,FDP,885,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,NPD,118,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,Tierschutzpartei,239,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,FREiER HORIZONT,59,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,Die PARTEI,138,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,FREIE WÄHLER,135,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,PIRATEN,42,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,DKP,18,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,Bündnis C,10,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,TIERSCHUTZ hier!,86,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,dieBasis,313,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,DiB,7,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,FPA,3,17465
WAHLKREIS,2,Neubrandenburg I,Zweitstimmen,LKR,3,17465
