party,english_label,voting_method,party_list_votes,valid_party_list_votes,share_percent
AfD,AfD,In person,488221,953528,51.201537867792034
AfD,AfD,Postal,87816,361787,24.27284562463549
CDU,CDU,In person,138714,953528,14.547449052361335
CDU,CDU,Postal,87908,361787,24.2982749518363
SPD,SPD,In person,73339,953528,7.691331560268813
SPD,SPD,Postal,48964,361787,13.533930185440605
GRÜNE,Greens,In person,70937,953528,7.439424956582292
GRÜNE,Greens,Postal,46561,361787,12.869727215184625
Die Linke,The Left,In person,72633,953528,7.617290735038719
Die Linke,The Left,Postal,39908,361787,11.030799890543332
BSW,BSW,In person,47710,953528,5.0035237559882875
BSW,BSW,Postal,21581,361787,5.965112068703409
