Erläuterung zu CSV-Tabellen

Für die Weiterverarbeitung stellen wir die Inhalte der Layout-Tabellen auch in strukturierter Form ohne Formatierungen und ohne verbundene Zellen als CSV-Tabelle zur Verfügung. Fußnoten oder weitere Erläuterungen sind in den CSV-Tabellen nicht enthalten.
Für die weitere Verwendung der Daten finden Sie Copyright-Informationen im Impressum.

CSV-Klassenstufe | Zensus 2022 - Personen in schulischer Ausbildung nach Klassenstufen zum Stichtag 15.05.2022
CSV-Schulform | Zensus 2022 - Personen in schulischer Ausbildung nach Schulform zum Stichtag 15.05.2022
CSV-Hoechster_Schulabschluss | Zensus 2022 - Personen im Alter von 15 Jahren und älter nach höchstem schulischen Abschluss zum Stichtag 15.05.2022
CSV-Hoechster_berufl_Abschluss | Zensus 2022 - Personen im Alter von 15 Jahren und älter nach höchstem beruflichen Abschluss (ausführlich) zum Stichtag 15.05.2022
CSV-Erwerbsstatus | Zensus 2022 - Bevölkerung nach Erwerbstatus zum Stichtag 15.05.2022
CSV-ET_Alter | Zensus 2022 - Erwerbstätige Personen nach Altersklassen zum Stichtag 15.05.2022
CSV-ET_Hoechst_berufl_Abschl | Zensus 2022 - Erwerbstätige Personen nach höchstem beruflichen Abschluss zum Stichtag 15.05.2022
CSV-ET_Stellung_im_Beruf | Zensus 2022 - Erwerbstätige Personen nach Stellung im Beruf zum Stichtag 15.05.2022
CSV-ET_Beruf_Hauptgr_ISCO08 | Zensus 2022 - Erwerbstätige Personen nach Beruf (Hauptgruppen ISCO-08) zum Stichtag 15.05.2022
CSV-ET_Wirtschaftszweig | Zensus 2022 - Erwerbstätige Personen nach Wirtschaftszweig und Wirtschafts(unter)bereichen zum Stichtag 15.05.2022

Zeilenaufbau

– Erste Zeile: | Kopfzeile/Header 
Sie beschreibt die Inhalte des jeweiligen Elements. Hier werden keine Umlaute verwendet und Unterstriche ersetzen Leerzeichen.
– Weitere Zeilen: | Datenzeilen
Sie enthalten die in der Kopfzeile benannten Metadaten (Beschreibungen, gegebenenfalls mit Umlauten, Sonderzeichen und Leerzeichen) sowie die Werte selbst. Die Reihenfolge entspricht der Nennung in der Kopfzeile. Jeder einzelne Datenwert ist durch eine Reihe von Metadaten (Merkmale und deren Ausprägungen) genau beschrieben.

Spaltenaufbau

– Berichtszeitpunkt | Zensusergebnis zum Stichtag 15.05.2022 (Format JJJJMMTT)
– _RS | Amtlicher Regionalschlüssel (ARS)
– Name | Name der regionalen Einheit
– Regionalebene | Kategorie der regionalen Einheit
– SCHUELER_KLSS_STP | Personen in schulischer Ausbildung nach Klassenstufe "Insgesamt" insgesamt (Anzahl)
– SCHUELER_KLSS_STP__M | Personen in schulischer Ausbildung nach Klassenstufe "Insgesamt" männlich (Anzahl)
– SCHUELER_KLSS_STP__W | Personen in schulischer Ausbildung nach Klassenstufe "Insgesamt" weiblich (Anzahl)
– SCHUELER_KLSS_STP__1 | Personen in schulischer Ausbildung nach Klassenstufe "Klasse 1 bis 4" insgesamt (Anzahl)
– SCHUELER_KLSS_STP__1_M | Personen in schulischer Ausbildung nach Klassenstufe "Klasse 1 bis 4" männlich (Anzahl)
– SCHUELER_KLSS_STP__1_W | Personen in schulischer Ausbildung nach Klassenstufe "Klasse 1 bis 4" weiblich (Anzahl)
– SCHUELER_KLSS_STP__2 | Personen in schulischer Ausbildung nach Klassenstufe "Klasse 5 bis 9 bzw. 10" insgesamt (Anzahl)
– SCHUELER_KLSS_STP__2_M | Personen in schulischer Ausbildung nach Klassenstufe "Klasse 5 bis 9 bzw. 10" männlich (Anzahl)
– SCHUELER_KLSS_STP__2_W | Personen in schulischer Ausbildung nach Klassenstufe "Klasse 5 bis 9 bzw. 10" weiblich (Anzahl)
