area_level,area_id,area_name,eligible_voters,voters,invalid_first_votes,valid_first_votes,invalid_second_votes,valid_second_votes
WAHLKREIS,26,Dessau-Roßlau,41973,24568,477,24091,361,24207
WAHLKREIS,27,Dessau-Roßlau-Wittenberg,39652,24121,555,23566,412,23709
WAHLKREIS,28,Bitterfeld-Wolfen,51657,29535,581,28954,526,29009
WAHLKREIS,29,Saalekreis,44488,29363,502,28861,441,28922
WAHLKREIS,30,Eisleben,48531,26805,577,26228,513,26292
WAHLKREIS,31,Sangerhausen,44993,27381,593,26788,497,26884
WAHLKREIS,32,Querfurt,45947,28618,544,28074,445,28173
WAHLKREIS,33,Merseburg,40072,23316,542,22774,362,22954
WAHLKREIS,34,Bad Dürrenberg-Saalekreis,45464,29035,482,28553,427,28608
WAHLKREIS,35,Halle I,40402,21163,446,20717,383,20780
WAHLKREIS,36,Halle II,46468,30268,415,29853,356,29912
WAHLKREIS,37,Halle III,48166,34959,321,34638,281,34678
WAHLKREIS,38,Halle IV,46732,26307,498,25809,433,25874
WAHLKREIS,39,Weißenfels,43643,23838,282,23556,243,23595
WAHLKREIS,40,Naumburg,46779,27295,280,27015,271,27024
WAHLKREIS,41,Zeitz,45153,24795,328,24467,257,24538
GEMEINDE,15001000,Stadt Dessau-Roßlau,65076,37903,779,37124,553,37350
GEMEINDE,15002000,Stadt Halle (Saale),181768,112697,1680,111017,1453,111244
GEMEINDE,15003000,Landeshauptstadt Magdeburg,183678,118150,1425,116725,1303,116847
GEMEINDE,15081026,Gemeinde Flecken Apenburg-Winterfeld,1364,931,6,925,4,927
GEMEINDE,15081030,Stadt Arendsee (Altmark),5558,3509,58,3451,54,3455
GEMEINDE,15081045,Gemeinde Beetzendorf,2594,1539,15,1524,17,1522
GEMEINDE,15081095,Gemeinde Dähre,1200,734,8,726,5,729
GEMEINDE,15081105,Gemeinde Flecken Diesdorf,1862,1106,9,1097,9,1097
GEMEINDE,15081135,Hansestadt Gardelegen,18329,11268,182,11086,185,11083
GEMEINDE,15081225,Gemeinde Jübar,1316,946,12,934,13,933
GEMEINDE,15081240,Stadt Kalbe (Milde),6173,3807,68,3739,71,3736
GEMEINDE,15081280,Stadt Klötze,8296,5408,83,5325,84,5324
GEMEINDE,15081290,Gemeinde Kuhfelde,879,572,6,566,6,566
GEMEINDE,15081440,Gemeinde Rohrberg,879,587,11,576,11,576
GEMEINDE,15081455,Hansestadt Salzwedel,18935,11058,136,10922,136,10922
GEMEINDE,15081545,Gemeinde Wallstawe,718,469,7,462,5,464
GEMEINDE,15082005,Stadt Aken (Elbe),6410,3868,75,3793,61,3807
GEMEINDE,15082015,Stadt Bitterfeld-Wolfen,31626,16522,310,16212,299,16223
GEMEINDE,15082180,Stadt Köthen (Anhalt),20593,10919,214,10705,250,10669
GEMEINDE,15082241,Gemeinde Muldestausee,9977,6526,133,6393,96,6430
GEMEINDE,15082256,Gemeinde Osternienburger Land,7120,4301,84,4217,112,4189
GEMEINDE,15082301,Stadt Raguhn-Jeßnitz,7701,4950,93,4857,81,4869
GEMEINDE,15082340,Stadt Sandersdorf-Brehna,12298,7886,166,7720,127,7759
GEMEINDE,15082377,Stadt Südliches Anhalt,11079,7020,132,6888,148,6872
GEMEINDE,15082430,Stadt Zerbst/Anhalt,17494,10531,208,10323,204,10327
GEMEINDE,15082440,Stadt Zörbig,7733,5127,105,5022,100,5027
GEMEINDE,15083020,Gemeinde Altenhausen,908,616,5,611,7,609
GEMEINDE,15083025,Gemeinde Am Großen Bruch,1726,1091,9,1082,8,1083
GEMEINDE,15083030,Gemeinde Angern,1625,1165,11,1154,10,1155
GEMEINDE,15083035,Gemeinde Ausleben,1340,815,14,801,9,806
GEMEINDE,15083040,Gemeinde Barleben,7492,5366,63,5303,47,5319
GEMEINDE,15083060,Gemeinde Beendorf,666,406,10,396,11,395
GEMEINDE,15083115,Gemeinde Bülstringen,717,525,8,517,7,518
GEMEINDE,15083120,Gemeinde Burgstall,1268,851,13,838,10,841
GEMEINDE,15083125,Gemeinde Calvörde,2848,1802,31,1771,28,1774
GEMEINDE,15083130,Gemeinde Colbitz,2752,1948,28,1920,31,1917
GEMEINDE,15083190,Gemeinde Eilsleben,3107,1933,29,1904,27,1906
GEMEINDE,15083205,Gemeinde Erxleben,2308,1385,30,1355,30,1355
GEMEINDE,15083230,Gemeinde Flechtingen,2277,1414,9,1405,11,1403
GEMEINDE,15083245,Stadt Gröningen,2968,1825,30,1795,22,1803
GEMEINDE,15083270,Stadt Haldensleben,15511,8999,124,8875,113,8886
GEMEINDE,15083275,Gemeinde Harbke,1149,711,21,690,13,698
GEMEINDE,15083298,Gemeinde Hohe Börde,15325,9947,119,9828,121,9826
GEMEINDE,15083320,Gemeinde Hötensleben,2928,1745,22,1723,17,1728
GEMEINDE,15083323,Gemeinde Ingersleben,1112,733,13,720,14,719
GEMEINDE,15083355,Stadt Kroppenstedt,1132,708,5,703,6,702
GEMEINDE,15083361,Gemeinde Loitsche-Heinrichsberg,779,548,17,531,12,536
GEMEINDE,15083390,Gemeinde Niedere Börde,5815,3992,71,3921,64,3928
GEMEINDE,15083411,Stadt Oebisfelde-Weferlingen,11101,6881,124,6757,108,6773
GEMEINDE,15083415,Stadt Oschersleben (Bode),15996,8886,109,8777,94,8792
GEMEINDE,15083440,Gemeinde Rogätz,1803,1183,24,1159,19,1164
GEMEINDE,15083485,Gemeinde Sommersdorf,1163,769,7,762,7,762
GEMEINDE,15083490,Gemeinde Sülzetal,7415,5162,79,5083,66,5096
GEMEINDE,15083505,Gemeinde Ummendorf,773,494,2,492,2,492
GEMEINDE,15083515,Gemeinde Völpke,1039,594,8,586,5,589
GEMEINDE,15083531,Stadt Wanzleben-Börde,11657,7406,96,7310,76,7330
GEMEINDE,15083535,Gemeinde Wefensleben,1402,813,8,805,7,806
GEMEINDE,15083557,Gemeinde Westheide,1415,943,17,926,11,932
GEMEINDE,15083565,Stadt Wolmirstedt,9532,5879,72,5807,74,5805
GEMEINDE,15083580,Gemeinde Zielitz,1530,978,25,953,23,955
GEMEINDE,15084012,Gemeinde An der Poststraße,1353,831,23,808,16,815
GEMEINDE,15084013,Gemeinde Meineweh,812,482,3,479,3,479
GEMEINDE,15084015,Stadt Bad Bibra,2251,1316,33,1283,20,1296
GEMEINDE,15084025,Gemeinde Balgstädt,903,570,7,563,8,562
GEMEINDE,15084115,Gemeinde Droyßig,1610,1004,12,992,11,993
GEMEINDE,15084125,Stadt Eckartsberga,1894,1028,17,1011,18,1010
GEMEINDE,15084130,Gemeinde Elsteraue,6877,4190,48,4142,33,4157
GEMEINDE,15084132,Gemeinde Finne,955,556,10,546,9,547
GEMEINDE,15084133,Gemeinde Finneland,882,581,11,570,4,577
GEMEINDE,15084135,Stadt Freyburg (Unstrut),3870,2203,30,2173,30,2173
GEMEINDE,15084150,Gemeinde Gleina,996,665,18,647,18,647
GEMEINDE,15084170,Gemeinde Goseck,853,572,3,569,2,570
GEMEINDE,15084207,Gemeinde Gutenborn,1445,1004,16,988,9,995
GEMEINDE,15084235,Stadt Hohenmölsen,8142,4429,55,4374,43,4386
GEMEINDE,15084246,Gemeinde Kaiserpfalz,1311,768,11,757,8,760
GEMEINDE,15084250,Gemeinde Karsdorf,1233,720,7,713,8,712
GEMEINDE,15084275,Gemeinde Kretzschau,2031,1230,31,1199,10,1220
GEMEINDE,15084282,Gemeinde Lanitz-Hassel-Tal,874,564,8,556,6,558
GEMEINDE,15084285,Stadt Laucha an der Unstrut,2359,1420,23,1397,18,1402
GEMEINDE,15084315,Stadt Lützen,7056,4099,46,4053,39,4060
GEMEINDE,15084335,Gemeinde Mertendorf,1346,814,8,806,8,806
GEMEINDE,15084341,Gemeinde Molauer Land,878,502,6,496,7,495
GEMEINDE,15084355,Stadt Naumburg (Saale),26632,15118,148,14970,144,14974
GEMEINDE,15084360,Stadt Nebra (Unstrut),2571,1559,6,1553,6,1553
GEMEINDE,15084375,Stadt Osterfeld,1993,1167,11,1156,10,1157
GEMEINDE,15084442,Gemeinde Schnaudertal,758,535,8,527,8,527
GEMEINDE,15084445,Gemeinde Schönburg,847,573,4,569,4,569
GEMEINDE,15084470,Stadt Stößen,741,441,4,437,5,436
GEMEINDE,15084490,Stadt Teuchern,6679,3728,59,3669,43,3685
GEMEINDE,15084550,Stadt Weißenfels,29908,16011,177,15834,161,15850
GEMEINDE,15084560,Gemeinde Wethau,745,489,2,487,0,489
GEMEINDE,15084565,Gemeinde Wetterzeube,1455,946,13,933,12,934
GEMEINDE,15084590,Stadt Zeitz,22835,11457,145,11312,131,11326
GEMEINDE,15085040,Stadt Ballenstedt,7540,4459,65,4394,66,4393
GEMEINDE,15085055,Stadt Blankenburg (Harz),16819,9847,156,9691,119,9728
GEMEINDE,15085090,Gemeinde Ditfurt,1298,767,12,755,11,756
GEMEINDE,15085110,Stadt Falkenstein/Harz,4508,2812,32,2780,28,2784
GEMEINDE,15085125,Gemeinde Groß Quenstedt,761,441,6,435,10,431
GEMEINDE,15085135,Stadt Halberstadt,32180,17739,227,17512,207,17532
GEMEINDE,15085140,Gemeinde Harsleben,1817,1099,14,1085,10,1089
GEMEINDE,15085145,Stadt Harzgerode,6548,3951,55,3896,46,3905
GEMEINDE,15085160,Gemeinde Hedersleben,1133,633,10,623,9,624
GEMEINDE,15085185,Gemeinde Huy,5992,3599,59,3540,56,3543
GEMEINDE,15085190,Stadt Ilsenburg (Harz),8031,5155,54,5101,51,5104
GEMEINDE,15085227,Gemeinde Nordharz,6416,4151,42,4109,35,4116
GEMEINDE,15085228,Stadt Oberharz am Brocken,8909,5455,80,5375,73,5382
GEMEINDE,15085230,Stadt Osterwieck,9432,5662,77,5585,60,5602
GEMEINDE,15085235,Gemeinde Welterbestadt Quedlinburg,20335,11230,169,11061,144,11086
GEMEINDE,15085285,Stadt Schwanebeck,2004,1104,19,1085,18,1086
GEMEINDE,15085287,Gemeinde Selke-Aue,1178,733,8,725,6,727
GEMEINDE,15085330,Stadt Thale,14833,8467,109,8358,94,8373
GEMEINDE,15085365,Stadt Wegeleben,2127,1127,24,1103,29,1098
GEMEINDE,15085370,Stadt Wernigerode,27236,16669,221,16448,208,16461
GEMEINDE,15086005,Gemeinde Biederitz,7076,4928,83,4845,59,4869
GEMEINDE,15086015,Stadt Burg,18584,10501,227,10274,204,10297
GEMEINDE,15086035,Gemeinde Elbe-Parey,5492,3391,95,3296,79,3312
GEMEINDE,15086040,Stadt Genthin,11553,6369,154,6215,118,6251
GEMEINDE,15086055,Stadt Gommern,8784,5798,101,5697,81,5717
GEMEINDE,15086080,Stadt Jerichow,5784,3603,86,3517,72,3531
GEMEINDE,15086140,Stadt Möckern,10631,6887,154,6733,140,6747
GEMEINDE,15086145,Gemeinde Möser,6867,4962,47,4915,70,4892
GEMEINDE,15087010,Gemeinde Ahlsdorf,1337,817,11,806,8,809
GEMEINDE,15087015,Stadt Allstedt,6471,3964,95,3869,79,3885
GEMEINDE,15087031,Stadt Arnstein,5555,3520,83,3437,70,3450
GEMEINDE,15087045,Gemeinde Benndorf,1700,939,27,912,26,913
GEMEINDE,15087055,Gemeinde Berga,1365,838,16,822,12,826
GEMEINDE,15087070,Gemeinde Blankenheim,998,653,9,644,7,646
GEMEINDE,15087075,Gemeinde Bornstedt,688,455,14,441,13,442
GEMEINDE,15087101,Gemeinde Brücken-Hackpfüffel,835,617,15,602,16,601
GEMEINDE,15087125,Gemeinde Edersleben,819,548,7,541,7,541
GEMEINDE,15087130,Lutherstadt Eisleben,18815,10022,219,9803,199,9823
GEMEINDE,15087165,Stadt Gerbstedt,5939,3315,66,3249,48,3267
GEMEINDE,15087205,Gemeinde Helbra,3283,1882,29,1853,20,1862
GEMEINDE,15087210,Gemeinde Hergisdorf,1353,807,15,792,13,794
GEMEINDE,15087220,Stadt Hettstedt,11470,6175,131,6044,125,6050
GEMEINDE,15087250,Stadt Kelbra (Kyffhäuser),2841,1700,46,1654,35,1665
GEMEINDE,15087260,Gemeinde Klostermansfeld,1967,1155,43,1112,45,1110
GEMEINDE,15087275,Stadt Mansfeld,7375,4586,128,4458,98,4488
GEMEINDE,15087370,Stadt Sangerhausen,21884,12929,267,12662,227,12702
GEMEINDE,15087386,Gemeinde Seegebiet Mansfelder Land,7636,4760,121,4639,120,4640
GEMEINDE,15087412,Gemeinde Südharz,7784,4854,95,4759,83,4771
GEMEINDE,15087440,Gemeinde Wallhausen,2090,1309,19,1290,19,1290
GEMEINDE,15087470,Gemeinde Wimmelburg,981,585,13,572,9,576
GEMEINDE,15088020,Solestadt Bad Dürrenberg,9466,5498,87,5411,85,5413
GEMEINDE,15088025,Goethestadt Bad Lauchstädt,7308,4809,105,4704,88,4721
GEMEINDE,15088030,Gemeinde Barnstädt,830,554,4,550,5,549
GEMEINDE,15088065,Stadt Braunsbedra,8860,5316,124,5192,96,5220
GEMEINDE,15088100,Gemeinde Farnstädt,1244,788,3,785,2,786
GEMEINDE,15088150,Gemeinde Kabelsketal,7262,4529,61,4468,64,4465
GEMEINDE,15088195,Stadt Landsberg,12484,8260,150,8110,124,8136
GEMEINDE,15088205,Stadt Leuna,11515,7495,136,7359,109,7386
GEMEINDE,15088216,Stadt Wettin-Löbejün,8195,5280,62,5218,57,5223
GEMEINDE,15088220,Stadt Merseburg,26023,14720,359,14361,213,14507
GEMEINDE,15088235,Stadt Mücheln (Geiseltal),7121,4587,92,4495,70,4517
GEMEINDE,15088250,Gemeinde Nemsdorf-Göhrendorf,683,463,3,460,4,459
GEMEINDE,15088265,Gemeinde Obhausen,1889,1208,11,1197,9,1199
GEMEINDE,15088295,Gemeinde Petersberg,8093,5515,95,5420,87,5428
GEMEINDE,15088305,Stadt Querfurt,9009,5495,107,5388,101,5394
GEMEINDE,15088319,Gemeinde Salzatal,9954,6724,110,6614,90,6634
GEMEINDE,15088330,Gemeinde Schkopau,9213,6101,97,6004,86,6015
GEMEINDE,15088340,Stadt Schraplau,925,512,7,505,2,510
GEMEINDE,15088355,Gemeinde Steigra,947,594,4,590,4,590
GEMEINDE,15088365,Gemeinde Teutschenthal,11323,7516,124,7392,99,7417
GEMEINDE,15089005,Stadt Alsleben (Saale),2109,1134,9,1125,12,1122
GEMEINDE,15089015,Stadt Aschersleben,22161,11799,177,11622,138,11661
GEMEINDE,15089026,Stadt Barby,6910,4058,67,3991,63,3995
GEMEINDE,15089030,Stadt Bernburg (Saale),26635,14743,200,14543,163,14580
GEMEINDE,15089041,Gemeinde Bördeaue,1501,877,20,857,14,863
GEMEINDE,15089042,Gemeinde Bördeland,6300,3821,49,3772,42,3779
GEMEINDE,15089043,Gemeinde Börde-Hakel,2517,1429,20,1409,18,1411
GEMEINDE,15089045,Gemeinde Borne,1011,654,10,644,10,644
GEMEINDE,15089055,Stadt Calbe (Saale),7227,4012,102,3910,106,3906
GEMEINDE,15089075,Stadt Egeln,2727,1523,13,1510,15,1508
GEMEINDE,15089130,Gemeinde Giersleben,802,485,10,475,8,477
GEMEINDE,15089165,Stadt Güsten,3373,1822,41,1781,32,1790
GEMEINDE,15089175,Stadt Hecklingen,5760,2966,44,2922,43,2923
GEMEINDE,15089185,Gemeinde Ilberstedt,882,535,14,521,11,524
GEMEINDE,15089195,Stadt Könnern,6776,3772,45,3727,44,3728
GEMEINDE,15089235,Stadt Nienburg (Saale),5186,3409,78,3331,62,3347
GEMEINDE,15089245,Gemeinde Plötzkau,1054,623,9,614,7,616
GEMEINDE,15089305,Stadt Schönebeck (Elbe),25195,13323,170,13153,162,13161
GEMEINDE,15089307,Stadt Seeland,6630,3791,60,3731,69,3722
GEMEINDE,15089310,Stadt Staßfurt,21217,10968,159,10809,133,10835
GEMEINDE,15089365,Gemeinde Wolmirsleben,1118,713,14,699,12,701
GEMEINDE,15090003,Gemeinde Aland,1125,694,7,687,7,687
GEMEINDE,15090007,Gemeinde Altmärkische Höhe,1551,980,12,968,12,968
GEMEINDE,15090008,Gemeinde Altmärkische Wische,700,432,7,425,7,425
GEMEINDE,15090010,Stadt Arneburg,1277,771,16,755,15,756
GEMEINDE,15090070,Stadt Bismark (Altmark),6777,4374,65,4309,69,4305
GEMEINDE,15090135,Gemeinde Eichstedt (Altmark),723,501,5,496,4,497
GEMEINDE,15090180,Gemeinde Goldbeck,1166,714,10,704,8,706
GEMEINDE,15090220,Gemeinde Hassel,771,560,9,551,10,550
GEMEINDE,15090225,Hansestadt Havelberg,5454,3040,46,2994,46,2994
GEMEINDE,15090245,Gemeinde Hohenberg-Krusemark,1037,656,9,647,10,646
GEMEINDE,15090270,Gemeinde Iden,670,394,4,390,5,389
GEMEINDE,15090285,Gemeinde Kamern,1047,623,13,610,14,609
GEMEINDE,15090310,Gemeinde Klietz,1226,817,11,806,11,806
GEMEINDE,15090415,Hansestadt Osterburg (Altmark),8345,5062,77,4985,75,4987
GEMEINDE,15090435,Gemeinde Rochau,846,575,7,568,6,569
GEMEINDE,15090445,Stadt Sandau (Elbe),706,478,5,473,7,471
GEMEINDE,15090485,Gemeinde Schollene,973,551,8,543,7,544
GEMEINDE,15090500,Gemeinde Schönhausen (Elbe),1811,1222,18,1204,17,1205
GEMEINDE,15090520,Hansestadt Seehausen (Altmark),4109,2341,32,2309,35,2306
GEMEINDE,15090535,Hansestadt Stendal,31042,17597,247,17350,233,17364
GEMEINDE,15090546,Stadt Tangerhütte,8905,5765,124,5641,120,5645
GEMEINDE,15090550,Stadt Tangermünde,8731,5215,53,5162,56,5159
GEMEINDE,15090610,Hansestadt Werben (Elbe),890,550,19,531,16,534
GEMEINDE,15090631,Gemeinde Wust-Fischbeck,1034,705,8,697,10,695
GEMEINDE,15090635,Gemeinde Zehrental,726,442,3,439,5,437
GEMEINDE,15091010,Stadt Annaburg,5457,3456,117,3339,70,3386
GEMEINDE,15091020,Stadt Bad Schmiedeberg,7031,4520,117,4403,86,4434
GEMEINDE,15091060,Stadt Coswig (Anhalt),9800,6252,150,6102,110,6142
GEMEINDE,15091110,Stadt Gräfenhainichen,9654,5997,203,5794,130,5867
GEMEINDE,15091145,Stadt Jessen (Elster),11546,7181,200,6981,134,7047
GEMEINDE,15091160,Stadt Kemberg,8348,5632,134,5498,101,5531
GEMEINDE,15091241,Stadt Oranienbaum-Wörlitz,6749,4534,103,4431,110,4424
GEMEINDE,15091375,Lutherstadt Wittenberg,38095,22413,422,21991,411,22002
GEMEINDE,15091391,Stadt Zahna-Elster,7789,5192,97,5095,101,5091
