Listennummer,Partei,Sitze gesamt,Kreiswahlvorschlaege,Landeswahlvorschlaege
1,CDU,40,40,0
2,AfD,23,1,22
3,DIE LINKE,12,0,12
4,SPD,9,0,9
5,GRÜNE,6,0,6
6,FDP,7,0,7
,Insgesamt,97,41,56
