capture_index,commit,acquired_at_utc,acquired_at_local,valid_votes_zweit,reported_precincts,total_precincts,source_url,source_git_url,AfD_votes,AfD_percent,Die Linke_votes,Die Linke_percent,GRÜNE_votes,GRÜNE_percent,SPD_votes,SPD_percent,frame_start,frame_count,movie_start_seconds,movie_duration_seconds,image
11,c4a2b6ea69b6d59e61fa101152a9ce0283e30e50,2026-09-20T18:00:07.669576+00:00,2026-09-20T20:00:07.669576+02:00,497926,1252,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/c4a2b6ea69b6d59e61fa101152a9ce0283e30e50/data/2026-mv/latest,218320,43.84587267987612,27859,5.595008093572138,22967,4.612532785996312,164308,32.998477685439205,356,15,14.24,0.6,frames/capture-011.png
12,ab388dc9b90dc8725e70c2cdafd8dc3f12aa1348,2026-09-20T18:02:36.096442+00:00,2026-09-20T20:02:36.096442+02:00,497926,1252,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/ab388dc9b90dc8725e70c2cdafd8dc3f12aa1348/data/2026-mv/latest,218320,43.84587267987612,27859,5.595008093572138,22967,4.612532785996312,164308,32.998477685439205,371,17,14.84,0.68,frames/capture-012.png
13,387fb2dd71dfde5fa26f1d9990659c7cd8526142,2026-09-20T18:05:06.318505+00:00,2026-09-20T20:05:06.318505+02:00,543440,1325,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/387fb2dd71dfde5fa26f1d9990659c7cd8526142/data/2026-mv/latest,235468,43.32916237303106,31083,5.719674665096423,25859,4.758390990725747,180285,33.174775504195495,388,15,15.52,0.6,frames/capture-013.png
14,42a3d0a29f37fd0ef5facfd0e9f890f585694e54,2026-09-20T18:07:36.058470+00:00,2026-09-20T20:07:36.058470+02:00,543440,1325,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/42a3d0a29f37fd0ef5facfd0e9f890f585694e54/data/2026-mv/latest,235468,43.32916237303106,31083,5.719674665096423,25859,4.758390990725747,180285,33.174775504195495,403,17,16.12,0.68,frames/capture-014.png
15,3ca14e9a119413555fa86228124beab068266d74,2026-09-20T18:10:06.647352+00:00,2026-09-20T20:10:06.647352+02:00,587830,1395,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/3ca14e9a119413555fa86228124beab068266d74/data/2026-mv/latest,250761,42.6587618869401,34272,5.830257047105456,29057,4.943095793001378,196243,33.38431179082388,420,16,16.8,0.64,frames/capture-015.png
16,e927eebe82c07587da7dbbf5a9312c5ca34cd1d3,2026-09-20T18:12:36.197084+00:00,2026-09-20T20:12:36.197084+02:00,587830,1395,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/e927eebe82c07587da7dbbf5a9312c5ca34cd1d3/data/2026-mv/latest,250761,42.6587618869401,34272,5.830257047105456,29057,4.943095793001378,196243,33.38431179082388,436,16,17.44,0.64,frames/capture-016.png
17,e0e484cbe7bf75b30c0bb5ce6b93010c087ae888,2026-09-20T18:15:09.524052+00:00,2026-09-20T20:15:09.524052+02:00,632897,1461,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/e0e484cbe7bf75b30c0bb5ce6b93010c087ae888/data/2026-mv/latest,265077,41.88311842211292,37817,5.975221876545473,32359,5.112838265942168,213429,33.722548850760866,452,19,18.08,0.76,frames/capture-017.png
18,4eeb7616b51702ac854b4c044a931d4c085e8ae6,2026-09-20T18:18:06.358073+00:00,2026-09-20T20:18:06.358073+02:00,632897,1461,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/4eeb7616b51702ac854b4c044a931d4c085e8ae6/data/2026-mv/latest,265077,41.88311842211292,37817,5.975221876545473,32359,5.112838265942168,213429,33.722548850760866,471,16,18.84,0.64,frames/capture-018.png
19,08d2cc44796b762de67afa4d7560cdfa3b2dae4f,2026-09-20T18:20:36.433461+00:00,2026-09-20T20:20:36.433461+02:00,671397,1521,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/08d2cc44796b762de67afa4d7560cdfa3b2dae4f/data/2026-mv/latest,279250,41.59238125877834,40173,5.983494117489355,34648,5.160583082736443,227542,33.89082763253336,487,16,19.48,0.64,frames/capture-019.png
20,19fdf87394fb97384cc823ec1c6a52d6e9ab9581,2026-09-20T18:23:07.669610+00:00,2026-09-20T20:23:07.669610+02:00,671397,1521,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/19fdf87394fb97384cc823ec1c6a52d6e9ab9581/data/2026-mv/latest,279250,41.59238125877834,40173,5.983494117489355,34648,5.160583082736443,227542,33.89082763253336,503,16,20.12,0.64,frames/capture-020.png
