capture_index,commit,acquired_at_utc,acquired_at_local,valid_votes_zweit,reported_precincts,total_precincts,source_url,source_git_url,AfD_votes,AfD_percent,Die Linke_votes,Die Linke_percent,GRÜNE_votes,GRÜNE_percent,SPD_votes,SPD_percent,frame_start,frame_count,movie_start_seconds,movie_duration_seconds,image
31,552dcca980af647472f75ff5e7dc3746ee1362eb,2026-09-20T18:51:08.588957+00:00,2026-09-20T20:51:08.588957+02:00,828488,1746,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/552dcca980af647472f75ff5e7dc3746ee1362eb/data/2026-mv/latest,329314,39.74879539595021,52332,6.316567047440639,45483,5.489880360367319,287650,34.719875242610634,682,19,27.28,0.76,frames/capture-031.png
32,b3c019933fd73dfd9793e4fdb640567e9f923fbf,2026-09-20T18:54:07.054275+00:00,2026-09-20T20:54:07.054275+02:00,828488,1746,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/b3c019933fd73dfd9793e4fdb640567e9f923fbf/data/2026-mv/latest,329314,39.74879539595021,52332,6.316567047440639,45483,5.489880360367319,287650,34.719875242610634,701,20,28.04,0.8,frames/capture-032.png
33,df3b58c11ad7553070390b6e58c413f8e68fc32a,2026-09-20T18:57:08.868196+00:00,2026-09-20T20:57:08.868196+02:00,828488,1746,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/df3b58c11ad7553070390b6e58c413f8e68fc32a/data/2026-mv/latest,329314,39.74879539595021,52332,6.316567047440639,45483,5.489880360367319,287650,34.719875242610634,721,19,28.84,0.76,frames/capture-033.png
34,52933d0aa13ab7293b0c2fc9f26606143d54b3ba,2026-09-20T19:00:08.125958+00:00,2026-09-20T21:00:08.125958+02:00,871257,1798,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/52933d0aa13ab7293b0c2fc9f26606143d54b3ba/data/2026-mv/latest,342763,39.34120471915864,55573,6.378485337850944,47959,5.504575572993962,304604,34.96144076891204,740,20,29.6,0.8,frames/capture-034.png
35,c142b43afee9e3fb73260b717b2e8ac88eb8276a,2026-09-20T19:03:15.342177+00:00,2026-09-20T21:03:15.342177+02:00,871257,1798,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/c142b43afee9e3fb73260b717b2e8ac88eb8276a/data/2026-mv/latest,342763,39.34120471915864,55573,6.378485337850944,47959,5.504575572993962,304604,34.96144076891204,760,18,30.4,0.72,frames/capture-035.png
36,8209444d123161fd3303d49207ec62a57fee28d1,2026-09-20T19:06:07.734916+00:00,2026-09-20T21:06:07.734916+02:00,888252,1819,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/8209444d123161fd3303d49207ec62a57fee28d1/data/2026-mv/latest,348122,39.19180592894809,56843,6.399422686354773,49218,5.540995123005634,310920,35.00358006511666,778,19,31.12,0.76,frames/capture-036.png
37,1209bc074e3a5444b4151d21d8b870155e69b238,2026-09-20T19:09:07.573429+00:00,2026-09-20T21:09:07.573429+02:00,905707,1842,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/1209bc074e3a5444b4151d21d8b870155e69b238/data/2026-mv/latest,354117,39.0984059966413,58254,6.4318813921058355,50440,5.569129972496624,317367,35.04080237869422,797,19,31.88,0.76,frames/capture-037.png
38,25bd81b19d71a44b8f9e9febd2ea0ba8fce27e99,2026-09-20T19:12:06.938400+00:00,2026-09-20T21:12:06.938400+02:00,905707,1842,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/25bd81b19d71a44b8f9e9febd2ea0ba8fce27e99/data/2026-mv/latest,354117,39.0984059966413,58254,6.4318813921058355,50440,5.569129972496624,317367,35.04080237869422,816,17,32.64,0.68,frames/capture-038.png
39,fbcf1c513fdebe3f8e25c1ab38df7b092e0b32af,2026-09-20T19:14:38.243270+00:00,2026-09-20T21:14:38.243270+02:00,918265,1857,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/fbcf1c513fdebe3f8e25c1ab38df7b092e0b32af/data/2026-mv/latest,358367,39.02653373481511,59077,6.433545871834383,51244,5.580524140634784,321942,35.05981388814776,833,19,33.32,0.76,frames/capture-039.png
40,c012c2fd6330e3521cc38c117b9aa1dabe9b2bfe,2026-09-20T19:17:37.488375+00:00,2026-09-20T21:17:37.488375+02:00,918265,1857,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/c012c2fd6330e3521cc38c117b9aa1dabe9b2bfe/data/2026-mv/latest,358367,39.02653373481511,59077,6.433545871834383,51244,5.580524140634784,321942,35.05981388814776,852,19,34.08,0.76,frames/capture-040.png
41,5873362e5c4ed8be9bc25f57e785358ded56c946,2026-09-20T19:20:37.995281+00:00,2026-09-20T21:20:37.995281+02:00,924914,1864,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/5873362e5c4ed8be9bc25f57e785358ded56c946/data/2026-mv/latest,360169,38.94080963203066,59610,6.444923528025308,51844,5.605277896107098,324552,35.089965121081526,871,19,34.84,0.76,frames/capture-041.png
42,e968c9ff16f7620b8fefc9094e030483320f305e,2026-09-20T19:23:37.239499+00:00,2026-09-20T21:23:37.239499+02:00,924914,1864,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/e968c9ff16f7620b8fefc9094e030483320f305e/data/2026-mv/latest,360169,38.94080963203066,59610,6.444923528025308,51844,5.605277896107098,324552,35.089965121081526,890,19,35.6,0.76,frames/capture-042.png
43,73e6764f7b17f79c749801843f65e285d3779ebe,2026-09-20T19:26:37.421392+00:00,2026-09-20T21:26:37.421392+02:00,924914,1864,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/73e6764f7b17f79c749801843f65e285d3779ebe/data/2026-mv/latest,360169,38.94080963203066,59610,6.444923528025308,51844,5.605277896107098,324552,35.089965121081526,909,45,36.36,1.8,frames/capture-043.png
44,527a81cb9e3e70ea2461ecdc302501298f65bfc6,2026-09-20T19:33:34.135868+00:00,2026-09-20T21:33:34.135868+02:00,938402,1880,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/527a81cb9e3e70ea2461ecdc302501298f65bfc6/data/2026-mv/latest,364129,38.80309291753428,60616,6.459491774314206,52654,5.611028109488258,330034,35.16978864068917,954,34,38.16,1.36,frames/capture-044.png
45,523d056a9224e356cf973f303d8b9517cf136541,2026-09-20T19:38:52.129337+00:00,2026-09-20T21:38:52.129337+02:00,949435,1892,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/523d056a9224e356cf973f303d8b9517cf136541/data/2026-mv/latest,367309,38.68711391511794,61508,6.478379246604559,53297,5.613549110786941,334495,35.230953145818305,988,30,39.52,1.2,frames/capture-045.png
46,87de488950bb12e4ad100183b53d4513d95c76e6,2026-09-20T19:43:37.022014+00:00,2026-09-20T21:43:37.022014+02:00,968941,1917,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/87de488950bb12e4ad100183b53d4513d95c76e6/data/2026-mv/latest,374613,38.66210636148124,62807,6.4820252213499066,54200,5.593735841501186,341798,35.275419246373104,1018,29,40.72,1.16,frames/capture-046.png
47,58667d9e00a100463a02654375e13ee9e5bb07f4,2026-09-20T19:48:05.350482+00:00,2026-09-20T21:48:05.350482+02:00,968941,1917,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/58667d9e00a100463a02654375e13ee9e5bb07f4/data/2026-mv/latest,374613,38.66210636148124,62807,6.4820252213499066,54200,5.593735841501186,341798,35.275419246373104,1047,16,41.88,0.64,frames/capture-047.png
48,21900f44206350f5c45f442761f0abe5eddfc260,2026-09-20T19:50:37.039849+00:00,2026-09-20T21:50:37.039849+02:00,968941,1917,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/21900f44206350f5c45f442761f0abe5eddfc260/data/2026-mv/latest,374613,38.66210636148124,62807,6.4820252213499066,54200,5.593735841501186,341798,35.275419246373104,1063,32,42.52,1.28,frames/capture-048.png
49,de799270743f1fb0bd17ddfe3aa08b4d7386bd78,2026-09-20T19:55:35.777340+00:00,2026-09-20T21:55:35.777340+02:00,982376,1934,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/de799270743f1fb0bd17ddfe3aa08b4d7386bd78/data/2026-mv/latest,378962,38.57606456183783,63894,6.504026971342948,55048,5.603557090156926,346905,35.31285373421175,1095,28,43.8,1.12,frames/capture-049.png
50,0db8ecc91188d67263dd94113bbec38286664e78,2026-09-20T20:00:06.178808+00:00,2026-09-20T22:00:06.178808+02:00,986949,1940,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/0db8ecc91188d67263dd94113bbec38286664e78/data/2026-mv/latest,380103,38.51293227917552,64277,6.512697211304738,55482,5.621567071854777,348740,35.33515916222621,1123,29,44.92,1.16,frames/capture-050.png
51,5f27754ba6477fd493f4d0f538a9ab1b997f03d3,2026-09-20T20:04:35.928071+00:00,2026-09-20T22:04:35.928071+02:00,995476,1951,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/5f27754ba6477fd493f4d0f538a9ab1b997f03d3/data/2026-mv/latest,382777,38.45165528852529,64848,6.514270560013501,55936,5.619020448509055,352238,35.383876658000794,1152,32,46.08,1.28,frames/capture-051.png
52,b4ab71442d9244afe8dc2bc44a0e78bda9867790,2026-09-20T20:09:36.932936+00:00,2026-09-20T22:09:36.932936+02:00,998664,1954,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/b4ab71442d9244afe8dc2bc44a0e78bda9867790/data/2026-mv/latest,383530,38.40430815569601,65072,6.515905249413216,56220,5.629521040109586,353617,35.40900643259395,1184,29,47.36,1.16,frames/capture-052.png
53,cd34a92b5dea3da9748645b6c107f3620362181b,2026-09-20T20:14:05.320563+00:00,2026-09-20T22:14:05.320563+02:00,998664,1954,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/cd34a92b5dea3da9748645b6c107f3620362181b/data/2026-mv/latest,383530,38.40430815569601,65072,6.515905249413216,56220,5.629521040109586,353617,35.40900643259395,1213,29,48.52,1.16,frames/capture-053.png
54,292c6fa1c09ad3235ccfd4dde2b8482043f0cb82,2026-09-20T20:18:36.656639+00:00,2026-09-20T22:18:36.656639+02:00,998664,1954,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/292c6fa1c09ad3235ccfd4dde2b8482043f0cb82/data/2026-mv/latest,383530,38.40430815569601,65072,6.515905249413216,56220,5.629521040109586,353617,35.40900643259395,1242,29,49.68,1.16,frames/capture-054.png
55,fca3b96f1079ada800f831614408f7e6271b269a,2026-09-20T20:23:05.888089+00:00,2026-09-20T22:23:05.888089+02:00,998664,1954,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/fca3b96f1079ada800f831614408f7e6271b269a/data/2026-mv/latest,383530,38.40430815569601,65072,6.515905249413216,56220,5.629521040109586,353617,35.40900643259395,1271,25,50.84,1.0,frames/capture-055.png
56,e34b7eb40ee9b27543be4d8dc3ccdd64575c5b76,2026-09-20T20:27:05.499344+00:00,2026-09-20T22:27:05.499344+02:00,1000768,1957,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/e34b7eb40ee9b27543be4d8dc3ccdd64575c5b76/data/2026-mv/latest,384240,38.39451301400524,65251,6.52009256890708,56415,5.6371706529385435,354354,35.40820649740999,1296,32,51.84,1.28,frames/capture-056.png
57,cdf7d560a68fd818655f9246a64cbe21a5cf239a,2026-09-20T20:32:08.289077+00:00,2026-09-20T22:32:08.289077+02:00,1001725,1958,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/cdf7d560a68fd818655f9246a64cbe21a5cf239a/data/2026-mv/latest,384473,38.381092615238714,65321,6.520851531108837,56472,5.6374753550126036,354728,35.411714791983826,1328,32,53.12,1.28,frames/capture-057.png
58,929b144ba8a8241ead36e315af4cedba9a870303,2026-09-20T20:37:05.878728+00:00,2026-09-20T22:37:05.878728+02:00,1002768,1959,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/929b144ba8a8241ead36e315af4cedba9a870303/data/2026-mv/latest,384601,38.35393630430967,65466,6.528529031640419,56674,5.6517559395593,355142,35.41616804684633,1360,33,54.4,1.32,frames/capture-058.png
59,251b4fca5274fa5d51ca9ed7e10ed2d321937369,2026-09-20T20:42:09.995712+00:00,2026-09-20T22:42:09.995712+02:00,1003435,1960,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/251b4fca5274fa5d51ca9ed7e10ed2d321937369/data/2026-mv/latest,384691,38.33741099323823,65529,6.5304678429594345,56763,5.656868656166069,355480,35.42631062300996,1393,28,55.72,1.12,frames/capture-059.png
60,b8d2b489e60697f68ca37d336a4052f99b462da7,2026-09-20T20:46:37.861542+00:00,2026-09-20T22:46:37.861542+02:00,1003435,1960,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/b8d2b489e60697f68ca37d336a4052f99b462da7/data/2026-mv/latest,384691,38.33741099323823,65529,6.5304678429594345,56763,5.656868656166069,355480,35.42631062300996,1421,31,56.84,1.24,frames/capture-060.png
61,49ef1b59f2a1d9b49ae5d83495a78547f3b15e8b,2026-09-20T20:51:25.582181+00:00,2026-09-20T22:51:25.582181+02:00,1007318,1965,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/49ef1b59f2a1d9b49ae5d83495a78547f3b15e8b/data/2026-mv/latest,385648,38.284633055301306,65806,6.532793020674703,57129,5.671396718811736,357127,35.45325309385914,1452,30,58.08,1.2,frames/capture-061.png
62,7357d2894d51f027eede41854cd5c2a02873fd2d,2026-09-20T20:56:07.422448+00:00,2026-09-20T22:56:07.422448+02:00,1007318,1965,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/7357d2894d51f027eede41854cd5c2a02873fd2d/data/2026-mv/latest,385648,38.284633055301306,65806,6.532793020674703,57129,5.671396718811736,357127,35.45325309385914,1482,23,59.28,0.92,frames/capture-062.png
63,c14e3de52b89343bf3906282db314d0e8dc52d03,2026-09-20T20:59:41.223207+00:00,2026-09-20T22:59:41.223207+02:00,1007318,1965,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/c14e3de52b89343bf3906282db314d0e8dc52d03/data/2026-mv/latest,385648,38.284633055301306,65806,6.532793020674703,57129,5.671396718811736,357127,35.45325309385914,1505,28,60.2,1.12,frames/capture-063.png
64,450d6c752bffc6f002e3da247a60330631a47c90,2026-09-20T21:04:08.478994+00:00,2026-09-20T23:04:08.478994+02:00,1007845,1966,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/450d6c752bffc6f002e3da247a60330631a47c90/data/2026-mv/latest,385898,38.28941950399119,65829,6.53165913409304,57133,5.668828043994861,357302,35.452078444602094,1533,31,61.32,1.24,frames/capture-064.png
65,5e0d5476d30b195a3e435006ed01cd2130ad502b,2026-09-20T21:08:58.667304+00:00,2026-09-20T23:08:58.667304+02:00,1009066,1968,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/5e0d5476d30b195a3e435006ed01cd2130ad502b/data/2026-mv/latest,386300,38.282926983963385,65976,6.538323558617573,57179,5.666527263826152,357757,35.45427157391092,1564,31,62.56,1.24,frames/capture-065.png
66,72fa5c9ec3a6a8cee65e8cf1dfc337dc65f68261,2026-09-20T21:13:51.516648+00:00,2026-09-20T23:13:51.516648+02:00,1009562,1969,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/72fa5c9ec3a6a8cee65e8cf1dfc337dc65f68261/data/2026-mv/latest,386405,38.27451904885485,66008,6.538280957484533,57226,5.668398770952155,357996,35.46052644612218,1595,34,63.8,1.36,frames/capture-066.png
67,6731dc7526558a28d0a030c19936a92b0603776e,2026-09-20T21:19:09.958176+00:00,2026-09-20T23:19:09.958176+02:00,1013501,1971,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/6731dc7526558a28d0a030c19936a92b0603776e/data/2026-mv/latest,387514,38.23518674377233,66251,6.53684604159246,57432,5.666693964781485,359654,35.48629947084413,1629,12,65.16,0.48,frames/capture-067.png
68,ec295ce6ab16143d5a2423ff36b4e96ac3f35033,2026-09-20T21:20:55.140483+00:00,2026-09-20T23:20:55.140483+02:00,1013501,1971,1974,https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlbezirke.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_gemeinden.csv;https://wahlen.mvnet.de/dateien/ergebnisse.2026/landtagswahl/csv/l_wahlkreise.csv,https://github.com/volzinnovation/wahl-monitor.de/tree/ec295ce6ab16143d5a2423ff36b4e96ac3f35033/data/2026-mv/latest,387514,38.23518674377233,66251,6.53684604159246,57432,5.666693964781485,359654,35.48629947084413,1641,36,65.64,1.44,frames/capture-068.png
