ags,metadata_name,geometry_name,geometry_found,result_found,winner_party,winner_percent
08119083,Weissach im Tal,"Weissach im Tal, Gemeinde",True,True,CDU,30.753
08119084,"Welzheim, Stadt","Welzheim, Stadt",True,True,CDU,30.537
08119085,"Winnenden, Stadt","Winnenden, Stadt",True,True,GRÜNE,31.801
08119086,Winterbach,"Winterbach, Gemeinde",True,True,GRÜNE,34.118
08119087,Aspach,"Aspach, Gemeinde",True,True,CDU,31.479
08119089,Berglen,"Berglen, Gemeinde",True,True,CDU,32.008
08119090,Remshalden,"Remshalden, Gemeinde",True,True,GRÜNE,32.342
08119091,"Weinstadt, Stadt","Weinstadt, Stadt",True,True,GRÜNE,33.662
08119093,Kernen im Remstal,"Kernen im Remstal, Gemeinde",True,True,GRÜNE,32.544
08121000,"Heilbronn, Universitätsstadt","Heilbronn, Stadt",True,True,GRÜNE,26.910
08125001,Abstatt,"Abstatt, Gemeinde",True,True,CDU,29.447
08125005,"Bad Friedrichshall, Stadt","Bad Friedrichshall, Stadt",True,True,AfD,28.029
08125006,"Bad Rappenau, Stadt","Bad Rappenau, Stadt",True,True,CDU,30.105
08125007,"Bad Wimpfen, Stadt","Bad Wimpfen, Stadt",True,True,GRÜNE,30.042
08125008,"Beilstein, Stadt","Beilstein, Stadt",True,True,CDU,31.319
08125013,"Brackenheim, Stadt","Brackenheim, Stadt",True,True,CDU,28.334
08125017,Cleebronn,"Cleebronn, Gemeinde",True,True,CDU,37.113
08125021,Eberstadt,"Eberstadt, Gemeinde",True,True,CDU,29.632
08125024,Ellhofen,"Ellhofen, Gemeinde",True,True,CDU,32.061
08125026,"Eppingen, Stadt","Eppingen, Stadt",True,True,AfD,29.734
08125027,Erlenbach,"Erlenbach, Gemeinde",True,True,CDU,37.590
08125030,Flein,"Flein, Gemeinde",True,True,CDU,31.299
08125034,Gemmingen,"Gemmingen, Gemeinde",True,True,CDU,28.526
08125038,"Güglingen, Stadt","Güglingen, Stadt",True,True,AfD,29.219
08125039,"Gundelsheim, Stadt","Gundelsheim, Stadt",True,True,CDU,35.401
08125046,Ilsfeld,"Ilsfeld, Gemeinde",True,True,CDU,31.490
08125047,Ittlingen,"Ittlingen, Gemeinde",True,True,CDU,32.140
08125048,Jagsthausen,"Jagsthausen, Gemeinde",True,True,CDU,32.673
08125049,Kirchardt,"Kirchardt, Gemeinde",True,True,AfD,33.480
08125056,"Lauffen am Neckar, Stadt","Lauffen am Neckar, Stadt",True,True,GRÜNE,32.223
08125057,Lehrensteinsfeld,"Lehrensteinsfeld, Gemeinde",True,True,CDU,28.865
08125058,"Leingarten, Stadt","Leingarten, Stadt",True,True,CDU,30.260
08125059,"Löwenstein, Stadt","Löwenstein, Stadt",True,True,CDU,27.444
08125061,Massenbachhausen,"Massenbachhausen, Gemeinde",True,True,CDU,34.373
08125063,"Möckmühl, Stadt","Möckmühl, Stadt",True,True,AfD,32.219
08125065,"Neckarsulm, Stadt","Neckarsulm, Stadt",True,True,CDU,28.151
08125066,Neckarwestheim,"Neckarwestheim, Gemeinde",True,True,CDU,34.501
08125068,"Neudenau, Stadt","Neudenau, Stadt",True,True,CDU,32.346
08125069,"Neuenstadt am Kocher, Stadt","Neuenstadt am Kocher, Stadt",True,True,CDU,30.445
08125074,Nordheim,"Nordheim, Gemeinde",True,True,CDU,28.609
08125078,Oedheim,"Oedheim, Gemeinde",True,True,CDU,35.160
08125079,Offenau,"Offenau, Gemeinde",True,True,CDU,29.265
08125081,Pfaffenhofen,"Pfaffenhofen, Gemeinde",True,True,AfD,30.438
08125084,Roigheim,"Roigheim, Gemeinde",True,True,AfD,32.336
08125086,"Schwaigern, Stadt","Schwaigern, Stadt",True,True,CDU,30.705
08125087,Siegelsbach,"Siegelsbach, Gemeinde",True,True,AfD,31.579
08125094,Talheim,"Talheim, Gemeinde",True,True,CDU,32.368
08125096,Untereisesheim,"Untereisesheim, Gemeinde",True,True,CDU,27.404
08125098,Untergruppenbach,"Untergruppenbach, Gemeinde",True,True,CDU,30.433
08125102,"Weinsberg, Stadt","Weinsberg, Stadt",True,True,GRÜNE,29.922
08125103,"Widdern, Stadt","Widdern, Stadt",True,True,CDU,30.246
08125107,Wüstenrot,"Wüstenrot, Gemeinde",True,True,AfD,29.711
08125108,Zaberfeld,"Zaberfeld, Gemeinde",True,True,AfD,33.216
08125110,Obersulm,"Obersulm, Gemeinde",True,True,CDU,28.233
08125111,Hardthausen am Kocher,"Hardthausen am Kocher, Gemeinde",True,True,CDU,29.918
08125113,Langenbrettach,"Langenbrettach, Gemeinde",True,True,CDU,29.888
08126011,Bretzfeld,"Bretzfeld, Gemeinde",True,True,CDU,29.805
08126020,Dörzbach,"Dörzbach, Gemeinde",True,True,CDU,37.606
08126028,"Forchtenberg, Stadt","Forchtenberg, Stadt",True,True,CDU,31.885
08126039,"Ingelfingen, Stadt","Ingelfingen, Stadt",True,True,CDU,34.645
08126045,"Krautheim, Stadt","Krautheim, Stadt",True,True,CDU,41.191
08126046,"Künzelsau, Stadt","Künzelsau, Stadt",True,True,CDU,30.085
08126047,Kupferzell,"Kupferzell, Gemeinde",True,True,CDU,32.643
08126056,Mulfingen,"Mulfingen, Gemeinde",True,True,CDU,42.299
08126058,"Neuenstein, Stadt","Neuenstein, Stadt",True,True,CDU,30.486
08126060,"Niedernhall, Stadt","Niedernhall, Stadt",True,True,CDU,26.414
08126066,"Öhringen, Stadt","Öhringen, Stadt",True,True,CDU,27.319
08126069,Pfedelbach,"Pfedelbach, Gemeinde",True,True,CDU,31.151
08126072,Schöntal,"Schöntal, Gemeinde",True,True,CDU,42.923
08126085,"Waldenburg, Stadt","Waldenburg, Stadt",True,True,CDU,30.831
08126086,Weißbach,"Weißbach, Gemeinde",True,True,CDU,32.181
08126094,Zweiflingen,"Zweiflingen, Gemeinde",True,True,CDU,35.539
08127008,Blaufelden,"Blaufelden, Gemeinde",True,True,CDU,40.618
08127009,Braunsbach,"Braunsbach, Gemeinde",True,True,CDU,30.800
08127012,Bühlertann,"Bühlertann, Gemeinde",True,True,CDU,33.654
08127013,Bühlerzell,"Bühlerzell, Gemeinde",True,True,CDU,37.739
08127014,"Crailsheim, Stadt","Crailsheim, Stadt",True,True,CDU,33.468
08127023,Fichtenberg,"Fichtenberg, Gemeinde",True,True,CDU,28.607
08127025,"Gaildorf, Stadt","Gaildorf, Stadt",True,True,CDU,28.908
08127032,"Gerabronn, Stadt","Gerabronn, Stadt",True,True,CDU,30.631
08127043,"Ilshofen, Stadt","Ilshofen, Stadt",True,True,CDU,34.322
08127046,"Kirchberg an der Jagst, Stadt","Kirchberg an der Jagst, Stadt",True,True,CDU,28.512
08127047,"Langenburg, Stadt","Langenburg, Stadt",True,True,CDU,33.102
08127052,Mainhardt,"Mainhardt, Gemeinde",True,True,CDU,30.245
08127056,Michelbach an der Bilz,"Michelbach an der Bilz, Gemeinde",True,True,GRÜNE,33.201
08127059,Michelfeld,"Michelfeld, Gemeinde",True,True,CDU,33.210
08127062,Oberrot,"Oberrot, Gemeinde",True,True,CDU,29.967
08127063,Obersontheim,"Obersontheim, Gemeinde",True,True,CDU,30.055
08127071,Rot am See,"Rot am See, Gemeinde",True,True,CDU,38.386
08127073,Satteldorf,"Satteldorf, Gemeinde",True,True,CDU,33.275
08127075,"Schrozberg, Stadt","Schrozberg, Stadt",True,True,CDU,37.504
08127076,"Schwäbisch Hall, Stadt","Schwäbisch Hall, Stadt",True,True,GRÜNE,37.137
08127079,Sulzbach-Laufen,"Sulzbach-Laufen, Gemeinde",True,True,CDU,30.086
08127086,Untermünkheim,"Untermünkheim, Gemeinde",True,True,CDU,36.773
08127089,"Vellberg, Stadt","Vellberg, Stadt",True,True,CDU,33.398
08127091,Wallhausen,"Wallhausen, Gemeinde",True,True,CDU,34.293
08127099,Wolpertshausen,"Wolpertshausen, Gemeinde",True,True,GRÜNE,29.484
08127100,Rosengarten,"Rosengarten, Gemeinde",True,True,CDU,31.074
08127101,Kreßberg,"Kreßberg, Gemeinde",True,True,CDU,35.605
08127102,Fichtenau,"Fichtenau, Gemeinde",True,True,CDU,36.723
08127103,Frankenhardt,"Frankenhardt, Gemeinde",True,True,CDU,33.037
08127104,Stimpfach,"Stimpfach, Gemeinde",True,True,CDU,40.814
08128006,Assamstadt,"Assamstadt, Gemeinde",True,True,CDU,43.897
08128007,"Bad Mergentheim, Stadt","Bad Mergentheim, Stadt",True,True,CDU,34.998
08128014,"Boxberg, Stadt","Boxberg, Stadt",True,True,CDU,30.805
08128020,"Creglingen, Stadt","Creglingen, Stadt",True,True,CDU,38.507
08128039,"Freudenberg, Stadt","Freudenberg, Stadt",True,True,CDU,44.392
08128045,Großrinderfeld,"Großrinderfeld, Gemeinde",True,True,CDU,42.930
08128047,"Grünsfeld, Stadt","Grünsfeld, Stadt",True,True,CDU,39.880
08128058,Igersheim,"Igersheim, Gemeinde",True,True,CDU,36.902
08128061,Königheim,"Königheim, Gemeinde",True,True,CDU,46.705
08128064,"Külsheim, Stadt","Külsheim, Stadt",True,True,CDU,42.446
08128082,"Niederstetten, Stadt","Niederstetten, Stadt",True,True,CDU,34.405
08128115,"Tauberbischofsheim, Stadt","Tauberbischofsheim, Stadt",True,True,CDU,39.731
08128126,"Weikersheim, Stadt","Weikersheim, Stadt",True,True,CDU,34.675
08128128,Werbach,"Werbach, Gemeinde",True,True,CDU,38.132
08128131,"Wertheim, Stadt","Wertheim, Stadt",True,True,CDU,30.623
08128137,Wittighausen,"Wittighausen, Gemeinde",True,True,CDU,39.445
08128138,Ahorn,"Ahorn, Gemeinde",True,True,CDU,36.146
08128139,"Lauda-Königshofen, Stadt","Lauda-Königshofen, Stadt",True,True,CDU,36.441
08135010,Dischingen,"Dischingen, Gemeinde",True,True,CDU,39.088
08135015,Gerstetten,"Gerstetten, Gemeinde",True,True,CDU,30.124
08135016,"Giengen an der Brenz, Stadt","Giengen an der Brenz, Stadt",True,True,AfD,29.203
08135019,"Heidenheim an der Brenz, Stadt","Heidenheim an der Brenz, Stadt",True,True,GRÜNE,28.057
08135020,"Herbrechtingen, Stadt","Herbrechtingen, Stadt",True,True,CDU,27.366
08135021,Hermaringen,"Hermaringen, Gemeinde",True,True,CDU,31.168
08135025,Königsbronn,"Königsbronn, Gemeinde",True,True,CDU,27.483
08135026,Nattheim,"Nattheim, Gemeinde",True,True,CDU,32.786
08135027,"Niederstotzingen, Stadt","Niederstotzingen, Stadt",True,True,CDU,32.285
08135031,Sontheim an der Brenz,"Sontheim an der Brenz, Gemeinde",True,True,CDU,32.845
08135032,Steinheim am Albuch,"Steinheim am Albuch, Gemeinde",True,True,CDU,31.563
08136002,Abtsgmünd,"Abtsgmünd, Gemeinde",True,True,CDU,34.577
08136003,Adelmannsfelden,"Adelmannsfelden, Gemeinde",True,True,CDU,33.845
08136007,Bartholomä,"Bartholomä, Gemeinde",True,True,CDU,33.770
08136009,Böbingen an der Rems,"Böbingen an der Rems, Gemeinde",True,True,CDU,31.381
08136010,"Bopfingen, Stadt","Bopfingen, Stadt",True,True,CDU,35.321
08136015,Durlangen,"Durlangen, Gemeinde",True,True,CDU,35.309
08136018,Ellenberg,"Ellenberg, Gemeinde",True,True,CDU,47.328
08136019,"Ellwangen (Jagst), Stadt","Ellwangen (Jagst), Stadt",True,True,CDU,40.214
08136020,Eschach,"Eschach, Gemeinde",True,True,CDU,31.318
08136021,Essingen,"Essingen, Gemeinde",True,True,CDU,35.733
08136024,Göggingen,"Göggingen, Gemeinde",True,True,CDU,33.810
08136027,Gschwend,"Gschwend, Gemeinde",True,True,CDU,33.204
08136028,"Heubach, Stadt","Heubach, Stadt",True,True,CDU,30.100
08136029,Heuchlingen,"Heuchlingen, Gemeinde",True,True,CDU,39.587
08136033,Hüttlingen,"Hüttlingen, Gemeinde",True,True,CDU,38.303
