ags,municipality_name,source
08111000,Stuttgart-Landeshauptstadt,legacy-2025
08115001,Aidlingen,legacy-2025
08115002,Altdorf,legacy-2025
08115003,Böblingen-Stadt,legacy-2025
08115004,Bondorf,legacy-2025
08115010,Deckenpfronn,legacy-2025
08115013,Ehningen,legacy-2025
08115015,Gärtringen,legacy-2025
08115016,Gäufelden,legacy-2025
08115021,Herrenberg-Stadt,legacy-2025
08115022,Hildrizhausen,legacy-2025
08115024,Holzgerlingen-Stadt,legacy-2025
08115028,Leonberg-Stadt,legacy-2025
08115029,Magstadt,legacy-2025
08115034,Mötzingen,legacy-2025
08115037,Nufringen,legacy-2025
08115041,Renningen-Stadt,legacy-2025
08115042,Rutesheim-Stadt,legacy-2025
08115044,Schönaich,legacy-2025
08115045,Sindelfingen-Stadt,legacy-2025
08115046,Steinenbronn,legacy-2025
08115048,Waldenbuch-Stadt,legacy-2025
08115050,Weil der Stadt-Stadt,legacy-2025
08115051,Weil im Schönbuch,legacy-2025
08115052,Weissach,legacy-2025
08115053,Jettingen,legacy-2025
08115054,Grafenau,legacy-2025
08116004,Altbach,legacy-2025
08116005,Altdorf,legacy-2025
08116006,Altenriet,legacy-2025
08116007,Baltmannsweiler,legacy-2025
08116008,Bempflingen,legacy-2025
08116011,Beuren,legacy-2025
08116012,Bissingen an der Teck,legacy-2025
08116014,Deizisau,legacy-2025
08116015,Denkendorf,legacy-2025
08116016,Dettingen unter Teck,legacy-2025
08116018,Erkenbrechtsweiler,legacy-2025
08116019,Esslingen am Neckar-Stadt,legacy-2025
08116020,Frickenhausen,legacy-2025
08116022,Großbettlingen,legacy-2025
08116027,Hochdorf,legacy-2025
08116029,Holzmaden,legacy-2025
08116033,Kirchheim unter Teck-Stadt,legacy-2025
08116035,Köngen,legacy-2025
08116036,Kohlberg,legacy-2025
08116037,Lichtenwald,legacy-2025
08116041,Neckartailfingen,legacy-2025
08116042,Neckartenzlingen,legacy-2025
08116043,Neidlingen,legacy-2025
08116046,Neuffen-Stadt,legacy-2025
08116047,Neuhausen auf den Fildern,legacy-2025
08116048,Notzingen,legacy-2025
08116049,Nürtingen-Stadt,legacy-2025
08116050,Oberboihingen,legacy-2025
08116053,Ohmden,legacy-2025
08116054,Owen-Stadt,legacy-2025
08116056,Plochingen-Stadt,legacy-2025
08116058,Reichenbach an der Fils,legacy-2025
08116063,Schlaitdorf,legacy-2025
08116068,Unterensingen,legacy-2025
08116070,Weilheim an der Teck-Stadt,legacy-2025
08116071,Wendlingen am Neckar-Stadt,legacy-2025
08116072,Wernau (Neckar)-Stadt,legacy-2025
08116073,Wolfschlugen,legacy-2025
08116076,Aichwald,legacy-2025
08116077,Filderstadt-Stadt,legacy-2025
08116078,Leinfelden-Echterdingen-Stadt,legacy-2025
08116079,Lenningen,legacy-2025
08116080,Ostfildern-Stadt,legacy-2025
08116081,Aichtal-Stadt,legacy-2025
08117001,Adelberg,legacy-2025
08117002,Aichelberg,legacy-2025
08117003,Albershausen,legacy-2025
08117006,Bad Ditzenbach,legacy-2025
08117007,Bad Überkingen,legacy-2025
08117009,Birenbach,legacy-2025
08117010,Böhmenkirch,legacy-2025
08117011,Börtlingen,legacy-2025
08117012,Bad Boll,legacy-2025
08117014,Deggingen,legacy-2025
08117015,Donzdorf-Stadt,legacy-2025
08117016,Drackenstein,legacy-2025
08117017,Dürnau,legacy-2025
08117018,Ebersbach an der Fils-Stadt,legacy-2025
08117019,Eislingen/Fils-Stadt,legacy-2025
08117020,Eschenbach,legacy-2025
08117023,Gammelshausen,legacy-2025
08117024,Geislingen an der Steige-Stadt,legacy-2025
08117025,Gingen an der Fils,legacy-2025
08117026,Göppingen-Stadt,legacy-2025
08117028,Gruibingen,legacy-2025
08117029,Hattenhofen,legacy-2025
08117030,Heiningen,legacy-2025
08117031,Hohenstadt,legacy-2025
08117033,Kuchen,legacy-2025
08117035,Mühlhausen im Täle,legacy-2025
08117037,Ottenbach,legacy-2025
08117038,Rechberghausen,legacy-2025
08117042,Salach,legacy-2025
08117043,Schlat,legacy-2025
08117044,Schlierbach,legacy-2025
08117049,Süßen-Stadt,legacy-2025
08117051,Uhingen-Stadt,legacy-2025
08117053,Wäschenbeuren,legacy-2025
08117055,Wangen,legacy-2025
