party,briefwahl_votes,briefwahl_share_percent,urnenwahl_votes,urnenwahl_share_percent,briefwahl_valid_second_votes,urnenwahl_valid_second_votes,briefwahl_wahlbezirke,urnenwahl_wahlbezirke,source_url
AfD,1487,26.9824,9259,52.6528,5511,17585,6,49,https://wahl-monitor.de/2026-mv/wahlkreis/14-mecklenburgische-seenplatte-ii.html
SPD,2478,44.9646,4966,28.2400,5511,17585,6,49,https://wahl-monitor.de/2026-mv/wahlkreis/14-mecklenburgische-seenplatte-ii.html
BSW,308,5.5888,1017,5.7833,5511,17585,6,49,https://wahl-monitor.de/2026-mv/wahlkreis/14-mecklenburgische-seenplatte-ii.html
CDU,460,8.3469,709,4.0318,5511,17585,6,49,https://wahl-monitor.de/2026-mv/wahlkreis/14-mecklenburgische-seenplatte-ii.html
Die Linke,385,6.9860,721,4.1001,5511,17585,6,49,https://wahl-monitor.de/2026-mv/wahlkreis/14-mecklenburgische-seenplatte-ii.html
