geo_id,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28,column_29,column_30,column_31,column_32,column_33,column_34,column_35,column_36,column_37,column_38,column_39,column_40,column_41,column_42,column_43,column_44,column_45,column_46,column_47,column_48,column_49,column_50,column_51,column_52,column_53,column_54,column_55,column_56,column_57,column_58,column_59,column_60,column_61,column_62,column_63,column_64,column_65,column_66,column_67,column_68,column_69,column_70,column_71,column_72,column_73,column_74,column_75,column_76,column_77,column_78,column_79,column_80,column_81,column_82,column_83,column_84,column_85,column_86,column_87,column_88,column_89,column_90,column_91,column_92,column_93
1101,1,Mitte,Bezirk,34640,17670,16980,12220,6220,6000,17010,8780,8230,5420,2670,2750,34640,17670,16980,16290,8400,7890,760,590,/,2730,1450,1280,1140,610,530,2100,1090,1010,2480,1060,1420,9140,4470,4680,296550,150550,146000,9960,4830,5130,248870,126240,122620,28850,15110,13740,9830,4810,5020,40070,20650,19420,170110,85670,84440,37720,19480,18250,296550,150550,146000,194880,97250,97630,53810,29050,24760,17600,7590,10010,4550,1700,2850,29920,14130,15790,31080,15130,15950,46650,23070,23590,11260,6590,4670,101680,53300,48370
1102,2,Friedrichshain-Kreuzberg,Bezirk,25200,12470,12730,8950,4280,4670,11940,6200,5730,4310,1980,2330,25200,12470,12730,11950,5750,6200,360,/,/,2190,1180,1010,530,280,250,1300,700,590,2270,1030,1240,6610,3370,3240,223150,112690,110460,7490,3550,3940,191500,96570,94930,17950,9470,8480,8250,4060,4190,26020,13360,12660,139280,69680,69600,24160,12580,11580,223150,112690,110460,153900,76380,77530,38310,21370,16940,13350,5450,7910,3300,1160,2140,25290,12470,12820,24610,11300,13310,40140,19890,20250,8910,4750,4160,69250,36310,32940
1103,3,Pankow,Bezirk,44750,22540,22210,15500,7530,7980,21880,11470,10410,7370,3540,3820,44750,22540,22210,20430,10030,10400,520,350,/,3150,1560,1590,830,580,260,2370,1320,1050,3720,2150,1570,13740,6570,7170,329110,158260,170840,12850,6570,6280,301090,143840,157260,25470,12410,13060,47040,22660,24380,43950,21520,22430,184640,87250,97390,15160,7860,7310,329110,158260,170840,258360,121000,137360,81710,41880,39830,26130,10560,15570,18010,6340,11670,25720,11480,14250,27660,12630,15040,65710,31130,34580,13410,6990,6420,70750,37260,33490
1104,4,Charlottenburg-Wilmersdorf,Bezirk,28360,14110,14260,8730,4300,4440,13960,7260,6690,5680,2550,3130,28360,14110,14260,11690,5760,5930,220,/,/,2000,1090,920,650,370,270,1410,810,600,2100,1110,980,10300,4840,5450,271590,127980,143610,9770,4800,4980,242590,113740,128850,29120,14320,14800,4840,2260,2580,49640,21140,28500,158980,76010,82970,19230,9450,9780,271590,127980,143610,197780,91800,105980,66330,31240,35100,19640,6690,12950,2170,660,1510,21580,9750,11830,19340,9440,9890,56250,26900,29360,12460,7120,5340,73820,36180,37630
1105,5,Spandau,Bezirk,27590,13930,13660,9940,4960,4980,13540,6980,6550,4120,1990,2120,27590,13930,13660,12920,6300,6630,490,290,/,2070,1160,910,1310,730,580,1770,940,830,2450,1340,1110,6590,3180,3410,194120,93510,100610,8620,4600,4020,164260,78490,85770,36740,18040,18710,6390,2780,3610,53130,23630,29500,67990,34040,33950,21250,10420,10830,194120,93510,100610,125760,60140,65620,66930,32600,34330,19640,7340,12310,2320,870,1460,8270,4260,4010,5180,2480,2710,20810,11110,9710,2600,1500,1100,68360,33370,34990
1106,6,Steglitz-Zehlendorf,Bezirk,31950,16330,15610,9940,4830,5110,15520,8210,7310,6480,3290,3190,31950,16330,15610,13230,6460,6770,450,280,/,2050,1200,860,680,370,310,1410,880,530,2840,1470,1370,11290,5680,5610,247720,114260,133460,10600,5490,5110,224080,102360,121710,28160,13130,15030,6040,2530,3510,53940,21870,32060,135940,64830,71110,13040,6410,6630,247720,114260,133460,187300,84930,102370,68970,30720,38250,22550,8130,14410,3090,890,2200,13400,5760,7640,12450,5630,6820,52740,25210,27530,14110,8600,5520,60420,29330,31100
1107,7,Tempelhof-Schöneberg,Bezirk,32760,16540,16220,10630,5370,5260,16550,8450,8100,5580,2730,2850,32760,16540,16220,14710,7330,7380,400,230,/,2720,1530,1190,1180,620,560,2130,1180,950,3010,1630,1380,8610,4030,4590,277330,133000,144320,10660,5290,5370,242540,115540,126990,39450,19360,20090,6160,2470,3690,60960,27350,33610,135970,66370,69600,24130,12170,11960,277330,133000,144320,195790,92870,102910,81420,39400,42020,23710,9550,14160,2820,1010,1810,16950,7940,9010,16070,7500,8570,46300,23020,23280,8520,4460,4060,81540,40130,41410
1108,8,Neukölln,Bezirk,31390,15760,15630,10440,5280,5160,15980,8290,7690,4970,2190,2780,31390,15760,15630,13950,6910,7040,890,640,240,2980,1480,1500,1150,560,600,2200,1260,930,3410,1980,1430,6820,2930,3900,256090,125450,130650,9900,4980,4920,208430,101460,106970,43740,22500,21240,5340,2610,2730,52650,23880,28770,106700,52470,54230,37760,19000,18760,256090,125450,130650,159760,77150,82620,69700,35300,34400,19700,7970,11730,2140,770,1360,18760,8650,10110,17060,7910,9160,27820,14190,13630,4580,2360,2220,96330,48300,48030
1109,9,Treptow-Köpenick,Bezirk,26990,13460,13530,9860,4580,5280,12980,6810,6170,4160,2070,2080,26990,13460,13530,13310,6250,7060,560,390,/,2790,1490,1290,520,280,240,1460,950,510,2130,1010,1120,6220,3090,3130,229420,110490,118930,7370,3820,3550,209470,100150,109320,25370,11770,13600,39970,18410,21560,40170,19380,20790,103960,50590,53370,12580,6520,6050,229420,110490,118930,179520,85040,94480,74240,36900,37340,20930,8660,12270,16150,5690,10460,14120,6440,7680,11280,5340,5940,37330,18740,18590,5480,3280,2200,49900,25450,24450
1110,10,Marzahn-Hellersdorf,Bezirk,30050,14780,15280,10880,5440,5440,15700,7780,7920,3480,1560,1920,30050,14780,15280,14550,7470,7080,470,220,250,2840,1310,1540,970,580,390,2300,1190,1110,2270,1220,1050,6650,2780,3860,222560,108330,114230,8140,3990,4150,196880,95090,101790,27840,14300,13540,53640,25340,28300,45290,21820,23470,70100,33620,36480,17540,9250,8290,222560,108330,114230,164300,79450,84850,82860,43300,39570,19700,7610,12090,19690,7500,12190,7420,3340,4080,4760,2500,2260,26840,13490,13350,3030,1710,1320,58260,28880,29380
