Berichtszeitpunkt,_RS,Name,Regionalebene,GEBAEUDEART_SYS_1,GEBAEUDEART_SYS_11,GEBAEUDEART_SYS_111,GEBAEUDEART_SYS_112,GEBAEUDEART_SYS_12,ZAHLWOHNGN_HHG__1,ZAHLWOHNGN_HHG__2,ZAHLWOHNGN_HHG__3,ZAHLWOHNGN_HHG__4,ZAHLWOHNGN_HHG__5,BAUJAHR_10JA__01,BAUJAHR_10JA__02,BAUJAHR_10JA__03,BAUJAHR_10JA__04,BAUJAHR_10JA__05,BAUJAHR_10JA__06,BAUJAHR_10JA__07,BAUJAHR_10JA__08,BAUJAHR_10JA__09,BAUJAHR_10JA__10,EIGENTUM__1,EIGENTUM__2,EIGENTUM__3,EIGENTUM__4,EIGENTUM__5,EIGENTUM__6,EIGENTUM__7,EIGENTUM__8,HEIZTYP__1,HEIZTYP__2,HEIZTYP__3,HEIZTYP__4,HEIZTYP__5,HEIZTYP__6,ENERGIETRAEGER__1,ENERGIETRAEGER__2,ENERGIETRAEGER__3,ENERGIETRAEGER__4,ENERGIETRAEGER__5,ENERGIETRAEGER__6,ENERGIETRAEGER__7,NERGIETRAEGER__8,ENERGIETRAEGER__9,NUTZUNG__01,NUTZUNG__02,NUTZUNG__03,NUTZUNG__04,MIETE_EURM2_2__01,MIETE_EURM2_2__02,MIETE_EURM2_2__03,MIETE_EURM2_2__04,MIETE_EURM2_2__05,MIETE_EURM2_2__06,MIETE_EURM2_2__07,MIETE_EURM2_2__08,MIETE_EURM2_2__09,MIETE_EURM2_2__10,WOHNFLAECHE_20S__01,WOHNFLAECHE_20S__02,WOHNFLAECHE_20S__03,WOHNFLAECHE_20S__04,WOHNFLAECHE_20S__05,WOHNFLAECHE_20S__06,WOHNFLAECHE_20S__07,WOHNFLAECHE_20S__08,WOHNFLAECHE_20S__09,WOHNFLAECHE_20S__10,RAUMANZAHL__01,RAUMANZAHL__02,RAUMANZAHL__03,RAUMANZAHL__04,RAUMANZAHL__05,RAUMANZAHL__06,RAUMANZAHL__07,QMMIETE,LEQ,ETQ,FLAECHE,LEERSTAND_INSGESAMT,LEERSTAND_DAUER__1,LEERSTAND_DAUER__2,LEERSTAND_DAUER__3,LEERSTAND_DAUER__4,LEERSTAND_GRUND__1,LEERSTAND_GRUND__2,LEERSTAND_GRUND__3,LEERSTAND_GRUND__4,LEERSTAND_GRUND__5,LEERSTAND_GRUND__6,geo_id
20220515,130715153,Malchin am Kummerower See,Gemeindeverband,7311,7174,7151,20,140,2827,756,1423,1930,374,1446,948,642,1325,941,697,727,368,119,103,544,4196,919,1386,122,125,6,7,2224,350,35,4208,350,142,3090,1153,314,–,143,170,72,2224,142,2955,3496,164,700,508,2501,414,67,3,–,–,–,–,–,441,2134,1657,919,841,650,273,133,111,144,182,955,2023,2009,1146,606,388,5.14,9.51,46.09,82.53,700,108,74,73,444,170,342,4,40,21,117,130715153
20220515,130715154,Malchow,Gemeindeverband,6504,6376,6368,7,123,2744,712,1437,1145,460,1135,1219,237,695,605,747,631,758,193,277,478,4199,323,1458,12,18,–,8,1192,221,70,4543,336,136,3682,745,429,–,114,115,89,1192,136,2584,2963,480,474,410,1753,649,91,28,4,20,7,–,3,511,1466,1598,907,749,607,298,143,86,141,413,1140,1674,1471,903,462,432,5.54,7.78,46.69,84.08,474,57,55,44,320,279,76,6,22,31,63,130715154
20220515,130715155,Mecklenburgische Kleinseenplatte,Gemeindeverband,5011,4912,4872,37,102,2512,573,970,757,199,901,1116,177,373,574,384,712,460,147,165,305,3611,179,735,33,54,5,95,417,230,60,3673,419,209,2652,1034,287,13,174,177,43,417,209,2376,1946,366,323,262,1351,263,57,9,–,–,–,–,3,293,1102,1091,772,625,586,206,110,88,138,98,504,1320,1463,861,428,337,5.2,6.66,55.57,88.54,323,31,22,29,237,98,95,8,32,23,69,130715155
20220515,130715156,Neustrelitz-Land,Gemeindeverband,3947,3895,3895,–,50,2553,569,472,327,27,930,555,396,311,266,318,713,324,69,74,168,3347,14,256,–,11,147,7,85,216,61,2989,477,118,1297,1564,454,6,144,216,62,85,118,2606,930,210,203,306,543,65,3,6,4,–,–,–,3,134,555,609,627,675,604,318,150,112,159,26,277,723,1006,888,570,457,4.68,5.2,73.84,102.85,203,30,19,17,135,79,48,–,16,13,45,130715156
20220515,130715157,Neverin,Gemeindeverband,4282,4240,4215,24,42,2943,427,287,609,14,472,378,274,541,128,264,1498,500,102,122,156,3497,–,601,–,17,–,8,511,336,52,3136,212,36,2149,1148,130,3,131,153,25,511,36,3054,1006,19,201,232,641,123,6,3,–,–,–,–,–,83,471,563,609,946,842,379,157,81,154,27,148,632,1170,1201,673,428,4.86,4.28,75.37,107.5,201,16,7,18,161,119,32,3,16,6,28,130715157
20220515,130715158,Penzliner Land,Gemeindeverband,3878,3811,3811,–,70,1880,431,594,778,197,765,480,376,539,313,405,464,313,84,153,124,2670,83,569,352,71,3,8,861,183,37,2226,475,94,1178,997,249,89,74,301,38,861,94,1920,1411,84,465,299,952,132,18,3,5,–,–,–,–,153,956,755,560,520,432,202,113,96,99,39,357,916,1103,769,374,322,4.84,11.99,57.81,90.06,465,36,34,24,369,233,89,14,21,19,90,130715158
20220515,130715159,Röbel-Müritz,Gemeindeverband,8394,8204,8197,9,187,4156,914,1189,1805,331,1446,1426,587,1011,1338,531,891,684,240,234,480,5754,–,1989,19,140,3,9,671,439,148,6618,374,144,4769,1882,573,15,111,150,77,671,144,3997,3427,366,597,517,2377,451,55,16,6,5,–,–,–,404,1859,1664,1159,1181,1111,412,206,151,241,272,1191,2090,1838,1444,819,739,5.12,7.09,53.96,91.06,597,77,48,77,397,217,176,18,36,38,115,130715159
20220515,130715160,Seenlandschaft Waren,Gemeindeverband,5115,5020,5009,10,100,2784,586,664,994,90,949,609,408,877,424,398,730,439,139,146,186,3756,–,1019,71,69,4,10,185,268,63,4036,467,101,2095,1857,473,3,99,204,95,185,101,2828,1650,161,483,404,1044,179,6,6,10,–,–,–,–,213,868,1015,748,793,701,294,187,104,201,44,359,1035,1480,1173,562,464,4.79,9.74,63.47,98.13,483,131,26,41,282,145,71,5,18,18,225,130715160
20220515,130715161,Stargarder Land,Gemeindeverband,5118,5016,5016,–,103,2726,504,799,952,130,940,439,284,448,550,466,1215,499,164,112,322,3860,182,326,293,122,–,14,576,313,67,3697,340,123,2866,946,155,40,146,205,63,576,123,2940,1725,108,342,320,1140,210,26,32,–,–,–,–,–,204,856,972,757,856,768,309,175,74,151,73,395,1038,1515,1130,555,414,5.05,6.63,63.56,96.82,342,78,17,36,205,125,118,8,25,10,54,130715161
20220515,130715162,Stavenhagen,Gemeindeverband,6084,5929,5900,29,154,2796,576,1035,1564,111,1254,800,451,701,977,509,775,348,158,108,377,3891,234,1415,25,115,4,23,1798,295,50,3512,329,103,2022,1499,235,127,84,148,69,1798,103,2782,2726,78,493,585,1796,279,26,18,3,3,11,–,–,222,1286,1611,792,816,718,300,119,75,145,103,358,1378,2049,1199,577,420,4.83,8.1,50.98,88.28,493,57,41,41,353,220,106,6,48,20,95,130715162
