Berichtszeitpunkt,_RS,Name,Reg_Ebene,0_Insgesamt_,HH_SIZE_NAT__1,HH_SIZE_NAT__2,HH_SIZE_NAT__3,HH_SIZE_NAT__4,HH_SIZE_NAT__5,HH_SIZE_NAT__6,HHTYP_FAM__1,HHTYP_FAM__2,HHTYP_FAM__3,HHTYP_FAM__4,HHTYP_FAM__5,HHTYP_LEB__1,HHTYP_LEB__2,HHTYP_LEB__3,HHTYP_LEB__4,HHTYP_LEB__5,HHTYP_LEB__6,HHTYP_LEB__7,HHTYP_SENIOR_HH__1,HHTYP_SENIOR_HH__2,HHTYP_SENIOR_HH__3,geo_id
20220515,130715153,Malchin am Kummerower See,Gemeindeverband,6190,2839,2116,691,385,97,54,2839,1753,934,552,111,2839,2301,–,377,436,117,111,2110,533,3543,130715153
20220515,130715154,Malchow,Gemeindeverband,5269,2377,1833,604,325,76,49,2377,1567,840,397,85,2377,1981,3,422,324,72,85,1575,427,3261,130715154
20220515,130715155,Mecklenburgische Kleinseenplatte,Gemeindeverband,4311,1860,1549,501,283,74,36,1860,1347,696,328,75,1860,1715,3,328,272,54,75,1415,488,2406,130715155
20220515,130715156,Neustrelitz-Land,Gemeindeverband,3495,1173,1351,494,335,101,48,1173,1204,774,290,58,1173,1687,4,285,227,64,58,915,463,2118,130715156
20220515,130715157,Neverin,Gemeindeverband,4029,1108,1771,619,407,94,30,1108,1640,985,250,49,1108,2239,–,385,196,52,49,1090,472,2475,130715157
20220515,130715158,Penzliner Land,Gemeindeverband,3160,1172,1139,442,283,79,46,1172,966,710,256,48,1172,1398,–,278,208,46,48,839,316,2012,130715158
20220515,130715159,Röbel-Müritz,Gemeindeverband,7142,3036,2556,855,484,144,66,3036,2155,1208,618,124,3036,2834,4,524,493,122,124,2133,743,4265,130715159
20220515,130715160,Seenlandschaft Waren,Gemeindeverband,4355,1606,1582,591,407,118,54,1606,1351,962,358,80,1606,1920,3,392,266,93,80,1040,504,2812,130715160
20220515,130715161,Stargarder Land,Gemeindeverband,4524,1468,1725,689,473,117,56,1468,1529,1095,372,57,1468,2205,–,413,313,60,57,1079,490,2954,130715161
20220515,130715162,Stavenhagen,Gemeindeverband,5329,2235,1913,644,356,124,56,2235,1634,918,444,98,2235,2123,–,424,371,76,98,1528,482,3316,130715162
20220515,130715163,Treptower Tollensewinkel,Gemeindeverband,6495,2650,2236,884,490,170,60,2650,1873,1280,567,119,2650,2648,3,500,431,138,119,1801,727,3962,130715163
20220515,130715164,Woldegk,Gemeindeverband,3053,1215,1075,414,255,63,31,1215,936,619,235,42,1215,1297,–,262,191,41,42,856,334,1862,130715164
20220515,130720006006,"Bad Doberan, Stadt",Gemeinde,6809,3159,2192,758,511,149,45,3159,1805,1150,570,125,3159,2487,3,463,503,68,125,2132,469,4203,13072006
20220515,130720029029,Dummerstorf,Gemeinde,3283,1006,1309,506,326,103,33,1006,1141,831,250,60,1006,1636,3,338,193,54,60,734,323,2231,13072029
20220515,130720036036,"Graal-Müritz, Ostseeheilbad",Gemeinde,2554,1168,1028,191,115,40,19,1168,952,280,118,39,1168,1079,3,152,102,19,39,1159,245,1150,13072036
20220515,130720043043,"Güstrow, Barlachstadt",Gemeinde,15827,8163,5065,1469,793,206,133,8163,4087,1928,1346,301,8163,4948,3,1062,1167,182,301,4777,941,10105,13072043
20220515,130720058058,"Kröpelin, Stadt",Gemeinde,2382,952,830,325,197,58,18,952,671,443,276,44,952,914,–,197,236,37,44,600,250,1534,13072058
20220515,130720060060,"Kühlungsborn, Ostseebad, Stadt",Gemeinde,4634,2013,1788,482,253,62,39,2013,1606,650,282,83,2013,1941,–,315,241,39,83,1749,451,2426,13072060
20220515,130720074074,"Neubukow, Schliemannstadt",Gemeinde,2039,901,693,242,137,46,21,901,581,352,179,32,901,783,–,150,159,19,32,608,151,1280,13072074
