Wahlkreisnummer,Wahlkreisname,Wahlberechtigte,Wahlberechtigte_ohne_Wahlschein,Wahlberechtigte_mit_Wahlschein,Wahlberechtigte_nach_§25_Abs.2_BWO,Wähler(innen),Wähler(innen)_mit_Wahlschein,Ungültige_Erststimmen,Gültige_Erststimmen,CDU_Erststimmen,SPD_Erststimmen,GRÜNE_Erststimmen,FDP_Erststimmen,AfD_Erststimmen,Die_Linke_Erststimmen,dieBasis_Erststimmen,FREIE_WÄHLER_Erststimmen,Tierschutzpartei_Erststimmen,Die_PARTEI_Erststimmen,Volt_Erststimmen,ÖDP_Erststimmen,Bündnis_C_Erststimmen,MLPD_Erststimmen,BÜNDNIS_DEUTSCHLAND_Erststimmen,BSW_Erststimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen,Initiative_Gegenwind_Erststimmen,Parteilos_Erststimmen,Volkmar_Raidt_Erststimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen,Ungültige_Zweitstimmen,Gültige_Zweitstimmen,CDU_Zweitstimmen,SPD_Zweitstimmen,GRÜNE_Zweitstimmen,FDP_Zweitstimmen,AfD_Zweitstimmen,Die_Linke_Zweitstimmen,dieBasis_Zweitstimmen,FREIE_WÄHLER_Zweitstimmen,Tierschutzpartei_Zweitstimmen,Die_PARTEI_Zweitstimmen,Volt_Zweitstimmen,ÖDP_Zweitstimmen,Bündnis_C_Zweitstimmen,MLPD_Zweitstimmen,BÜNDNIS_DEUTSCHLAND_Zweitstimmen,BSW_Zweitstimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen,Parteilos_Zweitstimmen,Volkmar_Raidt_Zweitstimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen
258,Stuttgart_I,188918,109577,79308,33,162105,76564,910,161195,45662,25231,45667,9327,13843,14203,,1981,,1572,3426,,,283,,,,,,,,412,161693,42314,24129,40878,11759,14421,17530,307,878,828,687,2058,260,133,94,111,5306,,,,,
259,Stuttgart_II,174909,116755,58132,22,139575,55774,1072,138503,42061,22057,29438,5789,20166,12414,,1790,,1657,2200,,,344,,,,,,,587,626,138949,37213,22569,24215,8087,19979,15095,351,975,987,692,1423,218,138,145,117,6745,,,,,
260,Böblingen,243100,168466,74634,0,204946,71220,1364,203582,76033,34198,27409,12438,34826,9936,,6046,,,1826,,,280,,,590,,,,,926,204020,67755,29383,28451,14311,35769,12167,456,2981,1372,778,1323,328,421,109,223,8193,,,,,
261,Esslingen,165367,110649,54717,1,139386,52297,778,138608,51329,22446,21500,6021,21754,9177,1104,3479,,,1798,,,,,,,,,,,584,138802,45133,21535,20809,7967,22298,9942,493,1877,1124,571,1098,223,153,83,137,5359,,,,,
262,Nürtingen,203455,136289,67163,3,173192,64346,1057,172135,64951,28298,24795,9105,30579,9264,,5143,,,,,,,,,,,,,,761,172431,58091,24364,23393,11503,31028,9952,697,2660,1466,769,1180,314,339,58,171,6446,,,,,
263,Göppingen,174712,122196,52516,0,143877,50336,1193,142684,52947,24232,13239,5839,32264,6812,1653,4449,,,1072,,,177,,,,,,,,832,143045,47872,20544,13447,7925,33280,7796,729,2137,1229,604,676,256,169,68,153,6160,,,,,
264,Waiblingen,219692,151742,67950,0,184918,64925,1177,183741,69225,31595,22702,10519,33168,9726,2092,4714,,,,,,,,,,,,,,819,184099,61352,26985,23496,12485,34225,10731,890,2350,1686,709,1161,329,372,80,215,7033,,,,,
265,Ludwigsburg,212465,144067,68398,0,179881,65316,1075,178806,65326,27111,28680,9149,30176,11154,1467,3175,,,1762,806,,,,,,,,,,715,179166,57436,27032,26654,11468,30246,12303,648,2125,1314,711,1317,360,228,61,167,7096,,,,,
266,Neckar-Zaber,228598,155455,73137,6,195890,70474,1266,194624,76390,29184,22572,7695,37967,9925,2043,5081,,,2775,992,,,,,,,,,,873,195017,64632,28171,23637,12296,39634,10386,1003,2854,1636,806,1471,459,329,61,193,7449,,,,,
267,Heilbronn,238592,173762,64801,29,194676,61927,1675,193001,67516,29914,16637,9852,48360,11484,1915,4328,,,1997,,,314,684,,,,,,,1219,193457,56937,27713,18307,12028,49241,11921,1003,2649,1978,927,1241,369,359,86,257,8441,,,,,
