Wahlkreisnummer,Wahlkreisname,Wahlberechtigte,Wahlberechtigte_ohne_Wahlschein,Wahlberechtigte_mit_Wahlschein,Wahlberechtigte_nach_§25_Abs.2_BWO,Wähler(innen),Wähler(innen)_mit_Wahlschein,Ungültige_Erststimmen,Gültige_Erststimmen,CDU_Erststimmen,SPD_Erststimmen,GRÜNE_Erststimmen,FDP_Erststimmen,AfD_Erststimmen,Die_Linke_Erststimmen,dieBasis_Erststimmen,FREIE_WÄHLER_Erststimmen,Tierschutzpartei_Erststimmen,Die_PARTEI_Erststimmen,Volt_Erststimmen,ÖDP_Erststimmen,Bündnis_C_Erststimmen,MLPD_Erststimmen,BÜNDNIS_DEUTSCHLAND_Erststimmen,BSW_Erststimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen,Initiative_Gegenwind_Erststimmen,Parteilos_Erststimmen,Volkmar_Raidt_Erststimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen,Ungültige_Zweitstimmen,Gültige_Zweitstimmen,CDU_Zweitstimmen,SPD_Zweitstimmen,GRÜNE_Zweitstimmen,FDP_Zweitstimmen,AfD_Zweitstimmen,Die_Linke_Zweitstimmen,dieBasis_Zweitstimmen,FREIE_WÄHLER_Zweitstimmen,Tierschutzpartei_Zweitstimmen,Die_PARTEI_Zweitstimmen,Volt_Zweitstimmen,ÖDP_Zweitstimmen,Bündnis_C_Zweitstimmen,MLPD_Zweitstimmen,BÜNDNIS_DEUTSCHLAND_Zweitstimmen,BSW_Zweitstimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen,Parteilos_Zweitstimmen,Volkmar_Raidt_Zweitstimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen
258,Stuttgart_I,188917,,,,162092,,912,161180,45652,25231,45668,9327,13843,14200,,1980,,1570,3426,,,283,,,,,,,,415,161677,42315,24194,40810,11751,14422,17528,307,878,828,685,2058,260,148,94,108,5291,,,,,
259,Stuttgart_II,174909,,,,139573,,1076,138497,42059,22055,29438,5789,20165,12414,,1789,,1657,2200,,,344,,,,,,,587,631,138942,37214,22564,24215,8085,19979,15095,351,975,986,692,1423,219,138,145,151,6710,,,,,
260,Böblingen,243100,,,,204959,,1381,203578,76031,34197,27409,12438,34826,9936,,6045,,,1826,,,280,,,590,,,,,942,204017,67755,29381,28451,14312,35769,12167,456,2980,1372,778,1323,329,422,109,221,8192,,,,,
261,Esslingen,165367,,,,139385,,777,138608,51329,22446,21500,6021,21754,9177,1104,3479,,,1798,,,,,,,,,,,583,138802,45134,21533,20809,7966,22299,9942,493,1877,1124,572,1098,222,153,83,137,5360,,,,,
262,Nürtingen,203453,,,,173210,,1080,172130,64951,28298,24794,9105,30578,9264,,5140,,,,,,,,,,,,,,780,172430,58091,24364,23392,11503,31029,9951,697,2660,1466,769,1180,314,339,58,171,6446,,,,,
263,Göppingen,174712,,,,143878,,1197,142681,52945,24232,13239,5839,32263,6812,1653,4449,,,1072,,,177,,,,,,,,839,143039,47870,20544,13447,7925,33279,7797,729,2137,1228,604,674,257,168,68,175,6137,,,,,
264,Waiblingen,219692,,,,184963,,1227,183736,69223,31594,22702,10519,33167,9725,2092,4714,,,,,,,,,,,,,,868,184095,61351,26984,23496,12485,34225,10731,893,2350,1686,705,1161,329,373,79,215,7032,,,,,
265,Ludwigsburg,212479,,,,179564,,1138,178426,65151,27089,28624,9136,30109,11130,1458,3164,,,1765,800,,,,,,,,,,773,178791,57281,27023,26602,11448,30184,12277,645,2114,1310,704,1312,359,228,60,169,7075,,,,,
266,Neckar-Zaber,228597,,,,195892,,1272,194620,76390,29182,22573,7695,37965,9924,2043,5081,,,2775,992,,,,,,,,,,879,195013,64629,28171,23637,12296,39633,10386,1003,2854,1636,806,1471,459,329,82,193,7428,,,,,
267,Heilbronn,238592,,,,194706,,1705,193001,67516,29914,16637,9853,48360,11484,1915,4328,,,1997,,,313,684,,,,,,,1256,193450,56936,27713,18307,12027,49239,11923,1003,2649,1977,927,1239,370,359,86,304,8391,,,,,
268,Schwäbisch_Hall-Hohenlohe,224446,,,,186104,,1415,184689,67217,27498,18528,8307,44361,8902,2067,4614,,1718,1477,,,,,,,,,,,1092,185012,58817,24445,18083,10582,46423,9845,1115,2862,1524,896,1105,460,529,69,266,7991,,,,,
269,Backnang-Schwäbisch_Gmünd,175503,,,,146412,,1272,145140,53070,23853,15498,5844,33945,7486,,3174,,2040,,,,230,,,,,,,,727,145685,47465,20169,15531,7846,33898,8422,566,1732,1243,809,795,287,348,62,222,6290,,,,,
270,Aalen-Heidenheim,217828,,,,180562,,1738,178824,74007,25137,14872,6425,41336,8987,,4984,,,1878,,,,1198,,,,,,,1009,179553,62269,25288,16827,8745,41365,9696,581,2930,1362,701,918,334,219,68,339,7911,,,,,
271,Karlsruhe-Stadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Karlsruhe-Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Rastatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Heidelberg,218284,,,,186540,,1156,185384,54060,29464,51423,6767,22182,13225,,2566,,2271,3251,,,175,,,,,,,,799,185741,48787,31556,40599,10535,22414,18830,318,1377,1323,913,2100,221,171,52,157,6388,,,,,
275,Mannheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Odenwald-Tauber,206482,,,,171412,,1520,169892,72796,24015,13335,5336,39072,7689,1892,5757,,,,,,,,,,,,,,1079,170333,61951,22572,14283,8157,40149,8330,698,3245,1475,698,778,437,235,31,196,7098,,,,,
277,Rhein-Neckar,195506,,,,163944,,1465,162479,55932,33082,17909,7029,33084,8276,,4754,,,2413,,,,,,,,,,,928,163016,50684,25577,20053,9194,33689,10194,422,2214,1538,740,1437,222,288,35,180,6549,,,,,
278,Bruchsal-Schwetzingen,194214,,,,162110,,1641,160469,57953,26193,17222,6690,35699,8289,,5664,,,2759,,,,,,,,,,,973,161137,51746,23130,17612,8450,36132,9271,497,2544,2048,797,1258,218,182,35,208,7009,,,,,
279,Pforzheim,212982,,,,174317,,2290,172027,63758,36222,,9382,46265,11022,,,,,5378,,,,,,,,,,,979,173338,52835,22823,18236,10769,43959,9320,526,1988,2042,705,1343,263,589,51,229,7660,,,,,
280,Calw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Freiburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Lörrach-Müllheim,229946,,,,187831,,1465,186366,61900,32288,29238,5810,32848,11325,,10174,,,2783,,,,,,,,,,,1052,186779,54618,29798,28450,9156,33960,12651,601,3622,2005,922,1528,351,508,66,198,8345,,,,,
