Wahlkreisnummer,Wahlkreisname,Wahlberechtigte,Wahlberechtigte_ohne_Wahlschein,Wahlberechtigte_mit_Wahlschein,Wahlberechtigte_nach_§25_Abs.2_BWO,Wähler(innen),Wähler(innen)_mit_Wahlschein,Ungültige_Erststimmen,Gültige_Erststimmen,CDU_Erststimmen,SPD_Erststimmen,GRÜNE_Erststimmen,FDP_Erststimmen,AfD_Erststimmen,Die_Linke_Erststimmen,dieBasis_Erststimmen,FREIE_WÄHLER_Erststimmen,Tierschutzpartei_Erststimmen,Die_PARTEI_Erststimmen,Volt_Erststimmen,ÖDP_Erststimmen,Bündnis_C_Erststimmen,MLPD_Erststimmen,BÜNDNIS_DEUTSCHLAND_Erststimmen,BSW_Erststimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen,Initiative_Gegenwind_Erststimmen,Parteilos_Erststimmen,Volkmar_Raidt_Erststimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen,Ungültige_Zweitstimmen,Gültige_Zweitstimmen,CDU_Zweitstimmen,SPD_Zweitstimmen,GRÜNE_Zweitstimmen,FDP_Zweitstimmen,AfD_Zweitstimmen,Die_Linke_Zweitstimmen,dieBasis_Zweitstimmen,FREIE_WÄHLER_Zweitstimmen,Tierschutzpartei_Zweitstimmen,Die_PARTEI_Zweitstimmen,Volt_Zweitstimmen,ÖDP_Zweitstimmen,Bündnis_C_Zweitstimmen,MLPD_Zweitstimmen,BÜNDNIS_DEUTSCHLAND_Zweitstimmen,BSW_Zweitstimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen,Parteilos_Zweitstimmen,Volkmar_Raidt_Zweitstimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen_rel,Parteilos_Erststimmen_rel,Ungültige_Zweitstimmen_rel,Volt_Erststimmen_rel,Volt_Zweitstimmen_rel,BÜNDNIS_DEUTSCHLAND_Zweitstimmen_rel,Initiative_Gegenwind_Erststimmen_rel,BSW_Zweitstimmen_rel,CDU_Erststimmen_rel,dieBasis_Erststimmen_rel,FREIE_WÄHLER_Zweitstimmen_rel,MLPD_Erststimmen_rel,Bündnis_C_Erststimmen_rel,dieBasis_Zweitstimmen_rel,ÖDP_Erststimmen_rel,BÜNDNIS_DEUTSCHLAND_Erststimmen_rel,Tierschutzpartei_Erststimmen_rel,SPD_Erststimmen_rel,Die_PARTEI_Erststimmen_rel,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen_rel,Ungültige_Erststimmen_rel,Bündnis_C_Zweitstimmen_rel,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen_rel,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen_rel,Gültige_Erststimmen_rel,FDP_Erststimmen_rel,Tierschutzpartei_Zweitstimmen_rel,CDU_Zweitstimmen_rel,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen_rel,MLPD_Zweitstimmen_rel,ÖDP_Zweitstimmen_rel,SPD_Zweitstimmen_rel,Volkmar_Raidt_Erststimmen_rel,Die_Linke_Erststimmen_rel,FREIE_WÄHLER_Erststimmen_rel,Die_Linke_Zweitstimmen_rel,FDP_Zweitstimmen_rel,Parteilos_Zweitstimmen_rel,GRÜNE_Zweitstimmen_rel,GRÜNE_Erststimmen_rel,AfD_Zweitstimmen_rel,Gültige_Zweitstimmen_rel,Die_PARTEI_Zweitstimmen_rel,BSW_Erststimmen_rel,Volkmar_Raidt_Zweitstimmen_rel,AfD_Erststimmen_rel
258,Stuttgart_I,188918,109577,79308,33,162105,76564,910,161195,45662,25231,45667.0,9327,13843,14203,,1981.0,,1572.0,3426.0,,,283.0,,,,,,,,412,161693,42314,24129,40878,11759,14421,17530,307,878,828,687,2058,260,133,94,111,5306,,,,,,,,0.002548038566913843,0.021253760972734886,0.012727823715312352,0.000686486118755914,,0.032815273388458376,0.2832718136418623,,0.005430043353762995,0.0017556375818108501,,0.0018986598059285188,,,,0.15652470610130587,0.009752163528645429,,0.005645336393808741,0.0008225464305814104,,,1.0,0.05786159620335618,0.005120815372341413,0.26169345611745715,,0.0005813486050725758,0.001607985503392231,0.14922723927442746,,0.08811067340798412,0.01228946307267595,0.10841533028640696,0.07272423667072786,,0.2528124284910293,0.28330283197369643,0.08918753440161294,1.0,0.004248792464732549,,,0.08587735351592791
259,Stuttgart_II,174909,116755,58132,22,139575,55774,1072,138503,42061,22057,29438.0,5789,20166,12414,,1790.0,,1657.0,2200.0,,,344.0,,,,,,,587.0,626,138949,37213,22569,24215,8087,19979,15095,351,975,987,692,1423,218,138,145,117,6745,,,,,,,,0.004505250127744712,0.015884132473664832,0.010241167622652916,0.0008420355670065995,,0.04854299059367106,0.3036829527158256,,0.00701696305838833,0.0024837007140639552,,0.002526106701019799,,,,0.15925286816892054,0.011963639776755738,,0.007739904550803953,0.000993170155956502,0.004238175346382389,,1.0,0.04179692858638441,0.0071033256806454165,0.2678176885044153,,0.0010435483522731363,0.0015689209710037495,0.16242650181001664,,0.08962982751276145,0.01292390778539093,0.10863698191422752,0.05820121051608863,,0.17427257482961375,0.21254413261806604,0.14378656917286198,1.0,0.004980244550158691,,,0.14559973430178408
260,Böblingen,243100,168466,74634,0,204946,71220,1364,203582,76033,34198,27409.0,12438,34826,9936,,6046.0,,,1826.0,,,280.0,,,590.0,,,,,926,204020,67755,29383,28451,14311,35769,12167,456,2981,1372,778,1323,328,421,109,223,8193,,,,,,,,0.004538770708754043,0.008969358784175418,0.0064846583668267815,0.001093030095088717,,0.040157827663954516,0.3734760440510458,,0.014611312616410155,0.001375367173915179,,0.0022350749926477796,,,,0.16798145219125463,,0.0028980951164641277,0.006700002947215373,0.0020635231840015686,,,1.0,0.06109577467556071,0.006724830898931477,0.33209979413782964,,0.0005342613469267719,0.0016076855210273504,0.14402019409861777,,0.04880588657150436,0.02969810690532562,0.05963631016567003,0.07014508381531222,,0.13945201450838154,0.13463371024943266,0.17532104695618075,1.0,0.003813351632192922,,,0.17106620428132152
261,Esslingen,165367,110649,54717,1,139386,52297,778,138608,51329,22446,21500.0,6021,21754,9177,1104.0,3479.0,,,1798.0,,,,,,,,,,,584,138802,45133,21535,20809,7967,22298,9942,493,1877,1124,571,1098,223,153,83,137,5359,,,,,,,,0.00420743216956528,0.012971834237562046,0.0079105488393539,0.0009870174781343207,,0.03860895376147318,0.3703177305783216,0.007964908230405172,0.013522859901154162,,,0.0035518220198556215,,,,0.16193870483666167,,,0.005612951633383354,0.0011022895923689861,,,1.0,0.043439051137019506,0.008097866024985231,0.32516102073457154,,0.0005979740925923258,0.0016066050921456462,0.1551490612527197,,0.06620829966524298,0.025099561352880065,0.0716272099825651,0.057398308381723606,,0.14991858906932176,0.15511370195082536,0.1606461002002853,1.0,0.0041137735767496145,,,0.1569462080110816
262,Nürtingen,203455,136289,67163,3,173192,64346,1057,172135,64951,28298,24795.0,9105,30579,9264,,5143.0,,,,,,,,,,,,,,761,172431,58091,24364,23393,11503,31028,9952,697,2660,1466,769,1180,314,339,58,171,6446,,,,,,,,0.004413359546717238,,0.006843317036959711,0.0009917010282373818,,0.037383069169696866,0.3773259360385744,,0.015426460439248163,,,0.00404219658878044,,,,0.16439422546257298,,,0.006140529235774247,0.0019660037928214765,,,1.0,0.05289453045574694,0.008501951505239778,0.3368941779610395,,0.0003363664306302231,0.0018210182623774147,0.14129709854956476,,0.053818224068318474,0.029877712260725595,0.05771583995917207,0.06671074226792166,,0.1356658605471174,0.14404391901705058,0.17994444154473382,1.0,0.004459754916459337,,,0.17764545269701107
263,Göppingen,174712,122196,52516,0,143877,50336,1193,142684,52947,24232,13239.0,5839,32264,6812,1653.0,4449.0,,,1072.0,,,177.0,,,,,,,,832,143045,47872,20544,13447,7925,33280,7796,729,2137,1229,604,676,256,169,68,153,6160,,,,,,,,0.005816351497780418,0.00751310588433181,0.00472578559194659,0.0010695934845677934,,0.04306337166625887,0.37107874744189956,0.011585041069776569,0.014939354748505714,0.001240503490230159,,0.005096298367646545,,,,0.16982983375851532,,,0.008361133694037173,0.0011814463979866476,,,1.0,0.04092259818900507,0.008591701911985739,0.33466391694921177,,0.0004753748820301304,0.0017896466147016674,0.1436191408298088,,0.047741863138123404,0.03118079111883603,0.05450033206333671,0.055402146177776224,,0.09400538292145828,0.09278545597263883,0.23265405991121674,1.0,0.004222447481561746,,,0.22612205993664322
264,Waiblingen,219692,151742,67950,0,184918,64925,1177,183741,69225,31595,22702.0,10519,33168,9726,2092.0,4714.0,,,,,,,,,,,,,,819,184099,61352,26985,23496,12485,34225,10731,890,2350,1686,709,1161,329,372,80,215,7033,,,,,,,,0.004448693366069343,,0.006306389496955443,0.0011678499068436005,,0.038202271603865315,0.37675314709291885,0.011385591675238515,0.012764871074802144,,,0.004834355428329323,,,,0.17195400046805012,,,0.006405755928181516,0.00202065193184102,,,1.0,0.05724906253911756,0.00915811601366656,0.3332554766728771,,0.000434548802546456,0.0017870819504723003,0.14657874295895143,,0.05293320489166816,0.025655678373362505,0.05828929000157524,0.06781677249740628,,0.12762698330789413,0.12355435096140763,0.1859054095894057,1.0,0.003851188762567966,,,0.18051496399823666
265,Ludwigsburg,212465,144067,68398,0,179881,65316,1075,178806,65326,27111,28680.0,9149,30176,11154,1467.0,3175.0,,,1762.0,806.0,,,,,,,,,,715,179166,57436,27032,26654,11468,30246,12303,648,2125,1314,711,1317,360,228,61,167,7096,,,,,,,,0.003990712523581483,0.009854255450040827,0.0073507250259535846,0.0009320964915218289,,0.039605728765502383,0.3653456819122401,0.008204422670380188,0.011860509248406505,,,0.003616757643749372,0.004507678713242285,,,0.1516224287775578,,,0.0060121025021531715,0.0012725628746525568,,,1.0,0.051167186783441274,0.007333980777602893,0.3205742160901064,,0.0003404663831307279,0.0020093098020829846,0.15087684047196454,,0.06238045703164324,0.017756674831940763,0.068668162486186,0.06400768002857685,,0.14876706517977742,0.16039730210395625,0.16881551187167207,1.0,0.003968386859113895,,,0.1687639117255573
266,Neckar-Zaber,228598,155455,73137,6,195890,70474,1266,194624,76390,29184,22572.0,7695,37967,9925,2043.0,5081.0,,,2775.0,992.0,,,,,,,,,,873,195017,64632,28171,23637,12296,39634,10386,1003,2854,1636,806,1471,459,329,61,193,7449,,,,,,,,0.004476532815087916,0.014258262084840514,0.0075429321546326734,0.0009896573119266526,,0.03819667003389448,0.392500411048997,0.010497163761920421,0.014634621597091536,,,0.005143141367162863,0.005097007563301546,,,0.14995067412035515,,,0.006504850378165077,0.0016870324125589052,,,1.0,0.03953777540282802,0.008389012239958568,0.33141726105929226,,0.00031279324366593683,0.0023536409646338526,0.14445407323464107,,0.050995766195330486,0.026106749424531405,0.05325689555269541,0.06305091351010425,,0.12120481804150407,0.11597747451496218,0.20323356425337277,1.0,0.0041329730228646736,,,0.19507871588293324
267,Heilbronn,238592,173762,64801,29,194676,61927,1675,193001,67516,29914,16637.0,9852,48360,11484,1915.0,4328.0,,,1997.0,,,314.0,684.0,,,,,,,1219,193457,56937,27713,18307,12028,49241,11921,1003,2649,1978,927,1241,369,359,86,257,8441,,,,,,,,0.006301141855812919,0.010347096647167632,0.006414862217443669,0.001328460588141034,,0.04363243511478003,0.3498220216475562,0.009922228382236362,0.013692965361811669,0.001626934575468521,,0.005184614668892829,,0.003544023087963275,,0.15499401557504883,,,0.00867871150926679,0.0018557095375199657,,,1.0,0.05104636763540085,0.010224494332073794,0.2943134650077278,,0.0004445432318292954,0.0019074006109884884,0.14325147190331702,,0.05950228237159393,0.02242475427588458,0.061620928681825934,0.06217402316793913,,0.09463084819882454,0.0862016258983114,0.25453201486635274,1.0,0.0047917625105320565,,,0.25056864990336836
